County,Andrew M. Cuomo and Kathy C. Hochul (DEM),Marc Molinaro and Julie Killian (REP),Marc Molinaro and Julie Killian (CON),Howie Hawkins and Jia Lee (GRE),Andrew M. Cuomo and Kathy C. Hochul (WOR),Andrew M. Cuomo and Kathy C. Hochul (IND),Andrew M. Cuomo and Kathy C. Hochul (WEP),Marc Molinaro and Julie Killian (REF),Larry Sharpe and Andrew C. Hollister (LBT),Stephanie A. Miner and Michael J. Volpe (SAM),Blank,Void,Scattering,Total Votes by County
Albany County ,54909,38357,6725,3543,2489,1408,886,835,1867,3007,2807,268,195,"117,296"
Allegany County ,3254,9234,833,183,80,106,46,65,963,117,462,3,7,"15,353"
Broome County ,29065,32865,3244,1320,1144,931,379,474,2000,802,1981,252,50,#REF!
Cattaraugus County ,6545,13240,1629,307,146,265,78,159,1060,192,977,19,4,"24,621"
Cayuga County ,9112,12728,1799,520,232,333,106,179,1023,787,1276,55,21,"28,171"
Chautauqua County ,14260,22435,3108,461,395,594,198,280,1413,315,854,163,29,"44,505"
Chemung County ,9588,15635,1468,354,199,298,106,191,1604,260,741,0,20,"30,464"
Chenango County ,4714,9442,715,269,139,155,61,102,766,223,575,11,10,"17,182"
Clinton County ,10591,12037,1000,391,361,434,99,190,733,283,985,15,15,"27,134"
Columbia County ,12451,11985,2009,669,709,315,190,259,340,296,579,52,46,"29,900"
Cortland County ,5963,7029,795,291,154,187,79,129,932,677,619,0,8,"16,863"
Delaware County ,5373,9075,766,311,192,129,102,93,930,140,289,4,15,"17,419"
Dutchess County ,48125,50983,7246,1311,1533,995,526,902,1179,453,771,76,82,#REF!
Erie County ,162772,120645,28049,6108,5514,4418,2062,1985,5346,2868,6191,0,0,"345,958"
Essex County ,6050,6166,461,240,168,196,75,78,262,167,906,0,18,"14,787"
Franklin County ,5132,6463,463,236,119,177,44,81,1053,257,356,4,5,"14,390"
Fulton County ,3846,10717,1079,203,85,101,48,105,476,159,636,24,7,"17,486"
Genesee County ,5019,11888,1937,270,129,176,76,142,1242,195,466,10,7,"21,557"
Greene County ,5557,10337,1602,386,270,170,116,149,370,194,910,31,19,"20,111"
Hamilton County ,676,1606,172,23,19,17,10,14,210,31,82,4,0,"2,864"
Herkimer County ,5584,12855,1340,325,106,172,62,179,831,287,823,16,12,"22,592"
Jefferson County ,8284,17092,1737,401,178,293,107,235,867,605,776,80,18,"30,673"
Lewis County ,1718,5945,534,102,34,71,31,74,412,130,333,0,5,"9,389"
Livingston County ,7062,12639,1827,415,228,215,132,161,1339,311,405,55,17,"24,806"
Madison County ,8323,12538,1875,510,232,324,127,203,961,802,517,17,13,"26,442"
Monroe County ,134046,98869,18458,4392,3584,3594,1886,1582,9540,4161,6920,464,154,#REF!
Montgomery County ,4081,8704,1315,210,109,138,56,134,398,188,450,17,8,"15,808"
Nassau County ,271363,185912,17008,4067,4596,3695,2076,1479,2879,1946,11781,1204,296,#REF!
Niagara County ,26057,34059,6692,956,716,903,275,491,1467,679,1340,0,38,#REF!
Oneida County ,25878,40038,4426,1084,672,1085,296,474,3180,1504,2493,0,28,#REF!
