County,Kirsten E. Gillibrand (DEM),Chele Chiavacci Farley (REP),Chele Chiavacci Farley (CON),Kirsten E. Gillibrand (WOR),Kirsten E. Gillibrand (IND),Kirsten E. Gillibrand (WEP),Chele Chiavacci Farley (REF),Blank,Void,Scattering,Total Votes by County,
Albany County ,"70,182","29,825","6,034","3,883","2,655","1,395",597,"2,545",56,124,"117,296",
Allegany County ,"4,844","8,305",892,295,222,99,64,626,3,3,"15,353",
Broome County ,"37,053","27,656","2,910","1,907","1,588",597,331,"2,503",34,48,,
Cattaraugus County ,"9,199","11,586","1,556",497,556,179,114,918,11,5,"24,621",
Cayuga County ,"12,339","11,318","1,772",591,666,227,142,"1,093",11,9,"28,168",
Chautauqua County ,"18,362","19,330","2,856",998,"1,108",342,175,"1,361",26,13,"44,571",
Chemung County ,"13,032","13,508","1,275",550,582,183,119,"1,254",0,14,"30,517",
Chenango County ,"6,453","8,279",612,375,323,135,105,885,5,10,"17,182",
Clinton County ,"14,143","9,184",715,787,778,222,113,"1,186",4,2,"27,134",
Columbia County ,"15,963","9,155","1,752","1,132",703,339,148,762,10,21,"29,985",
Cortland County ,"8,143","6,244",750,383,408,179,105,640,0,11,"16,863",
Delaware County ,"7,016","8,225",763,411,295,149,78,469,4,9,"17,419",
Dutchess County ,"58,175","40,157","6,684","2,635","1,994",871,427,"3,369",51,48,,
Erie County ,"187,978","101,349","25,077","8,269","6,541","3,236","1,434","13,017",0,0,"346,901",
Essex County ,"7,472","5,178",371,368,331,123,42,895,0,7,"14,787",
Franklin County ,"7,466","5,170",353,324,353,102,53,605,3,2,"14,431",
Fulton County ,"6,235","8,719",994,282,261,118,77,793,3,4,"17,486",
Genesee County ,"7,237","10,576","1,855",384,372,156,121,839,7,10,"21,557",
Greene County ,"7,788","8,695","1,490",555,387,214,108,857,3,14,"20,111",
Hamilton County ,962,"1,487",160,53,39,24,15,120,2,2,"2,864",
Herkimer County ,"8,308","10,533","1,110",465,471,151,99,"1,436",10,9,"22,592",
Jefferson County ,"13,137","13,340","1,417",616,790,198,127,"1,016",17,15,"30,673",
Lewis County ,"3,260","4,593",490,197,193,57,37,559,0,3,"9,389",
Livingston County ,"10,096","10,812","1,823",523,462,230,147,732,4,7,"24,836",
Madison County ,"11,417","10,950","1,767",519,651,230,177,747,5,24,"26,487",
Monroe County ,"160,167","85,819","18,123","5,676","5,963","2,982","1,256","7,960",54,111,"288,111",
Montgomery County ,"6,240","6,886","1,148",344,339,101,97,640,7,6,"15,808",
Nassau County ,"280,180","184,867","18,709","6,196","4,799","3,011","1,299","10,145",315,184,,
Niagara County ,"31,813","29,701","6,037","1,383","1,507",522,350,"2,331",0,29,,
Oneida County ,"34,684","33,095","4,015","1,282","2,189",458,336,"5,071",0,28,,
Onondaga County ,"98,804","55,240","10,455","3,833","4,855","1,709",904,"4,474",0,145,"180,419",
