precinct,DEM,REP,CON,GRE,WOR,IND,WEP,REF,SAM,LBT
12/1,327,353,52,9,2,10,1,4,27,11
12/2,256,283,31,9,5,9,2,1,19,21
12/3,210,293,33,10,3,3,0,4,13,6
13/1,192,244,35,16,6,9,5,8,15,18
13/2,279,278,34,6,2,9,4,4,18,11
13/3,160,197,16,11,4,7,4,5,8,16
14/1,184,225,22,13,7,5,7,9,17,12
14/2,94,113,12,1,4,3,3,2,6,8
15/1,256,249,29,8,3,11,5,6,12,8
15/2,209,293,21,8,7,14,3,2,10,16
15/3,74,80,13,1,2,2,2,2,13,4
Adams 1,153,277,30,12,1,3,0,2,10,26
Adams 2,90,231,29,4,3,3,2,3,1,10
Adams 3,170,456,57,14,3,8,2,9,11,34
Alexandria 1,132,187,16,6,7,3,0,5,10,8
Alexandria 2,131,321,47,3,4,3,0,6,9,10
Alexandria 3,164,433,42,9,1,4,0,6,8,30
Antwerp 1,45,106,11,1,1,2,0,1,7,6
Antwerp 2,75,234,29,4,3,2,0,3,8,9
Brownville 1,82,270,30,2,1,5,1,1,7,9
Brownville 2,89,196,23,4,3,2,0,1,7,11
Brownville 3,120,297,29,2,2,5,2,5,12,17
Brownville 4,85,198,9,4,1,3,2,2,9,14
Brownville 5,127,308,36,8,1,3,0,6,13,14
Cape Vincent 1,105,220,21,7,2,5,4,4,7,5
Cape Vincent 2,166,458,48,9,3,3,3,4,17,18
Champion 1,162,511,38,11,5,10,2,6,12,18
Champion 2,122,231,27,4,2,6,2,1,14,12
Clayton 1,69,294,38,5,1,4,0,3,4,37
Clayton 2,214,348,37,11,4,7,2,1,19,32
Clayton 3,203,462,47,12,9,10,2,5,17,32
Ellisburg 1,33,88,6,4,1,1,0,0,1,8
Elllisburg 2,69,276,18,4,0,4,2,1,8,12
Ellisburg 3,25,52,5,2,3,0,1,0,0,2
Ellisburg 4,117,315,29,6,5,3,1,4,10,18
Henderson 1,181,403,37,5,3,3,1,3,18,6
Hounsfield 1,230,237,30,14,4,0,1,6,13,14
Hounsfield 2,192,427,54,9,4,9,7,10,14,28
LeRay 1,44,131,9,0,1,0,0,1,7,4
LeRay 2,21,70,9,1,1,1,0,0,0,1
LeRay 3,44,99,8,2,0,0,0,2,2,7
LeRay 4,173,261,22,6,1,6,2,1,8,9
LeRay 5,70,128,9,3,2,4,0,3,12,4
LeRay 6,30,65,8,0,1,3,1,2,0,4
LeRay 7,29,24,3,1,0,0,0,0,1,1
LeRay 8,120,200,20,5,2,4,3,1,11,9
Lorraine 1,45,247,20,3,2,2,1,4,9,16
Lyme 1,80,219,24,7,3,3,1,2,15,5
Lyme 2,141,251,39,4,2,3,0,7,7,7
Lyme 3,64,145,16,1,2,3,1,1,7,8
Orleans 1,113,408,28,4,2,5,1,6,8,21
Orleans 2,120,224,20,8,1,4,1,7,8,6
Pamelia 1,97,344,31,7,2,9,3,3,7,12
Pamelia 2,137,292,28,6,2,10,1,4,10,17
Philadelphia 1,65,146,11,3,2,0,0,5,4,8
Philadelphia 2,61,163,18,3,1,2,1,6,2,9
Rodman 1,77,308,29,9,2,3,0,4,8,18
Rutland 1,79,284,24,6,2,2,4,1,2,16
Rutland 2,56,229,22,5,1,3,2,2,1,9
Rutland 3,36,61,10,2,2,1,1,1,0,2
Theresa 1,193,530,38,13,7,8,2,10,9,23
Watertown 1,294,444,45,9,2,8,3,3,13,10
Watertown 2,162,509,47,6,6,8,1,5,13,32
Wilna 1,210,335,39,8,4,4,3,5,9,19
Wilna 2,6,10,0,3,0,1,0,0,0,2
Wilna 3,15,45,3,2,0,0,0,0,1,6
Wilna 4,18,133,15,0,1,1,1,1,2,2
Wilna 5,73,267,15,3,2,1,1,1,4,7
Worth 1,19,76,6,3,0,1,0,2,1,2
