precinct,DEM,REP,CON,GRE,WOR,IND,WEP,REF
12/1,372,361,51,13,6,10,7,1
12/2,306,283,29,17,9,12,3,2
12/3,247,298,25,5,4,3,1,1
13/1,243,251,25,9,16,17,6,0
13/2,310,276,28,13,10,16,1,1
13/3,199,194,13,11,4,8,7,1
14/1,193,231,12,21,12,18,12,2
14/2,109,112,11,5,7,2,2,1
15/1,260,270,22,18,7,10,8,1
15/2,241,278,19,12,16,12,7,1
15/3,91,80,13,5,4,3,1,1
Adams 1,189,273,29,16,4,11,0,1
Adams 2,111,231,20,6,3,6,3,1
Adams 3,225,427,51,25,11,23,5,1
Alexandria 1,178,175,8,11,8,4,3,3
Alexandria 2,176,290,36,13,12,6,3,1
Alexandria 3,217,402,35,13,13,16,2,7
Antwerp 1,61,103,10,5,2,3,0,1
Antwerp 2,97,229,28,15,4,5,0,3
Brownville 1,110,250,24,10,7,9,3,0
Brownville 2,108,193,18,12,2,9,2,2
Brownville 3,151,283,30,16,7,4,3,0
Brownville 4,122,178,10,6,8,4,2,0
Brownville 5,172,307,30,15,4,4,2,0
Cape Vincent 1,160,189,15,4,5,4,5,2
Cape Vincent 2,257,413,34,20,5,9,3,3
Champion 1,222,481,40,19,11,12,3,3
Champion 2,123,251,25,13,3,11,3,2
Clayton 1,97,296,28,14,11,8,3,0
Clayton 2,277,349,26,6,5,14,6,0
Clayton 3,278,456,27,19,16,15,4,3
Ellisburg 1,43,83,7,2,0,4,1,0
Elllisburg 2,108,254,15,7,4,9,2,0
Ellisburg 3,26,54,4,4,2,0,0,0
Ellisburg 4,158,300,24,6,11,11,5,1
Henderson 1,223,377,33,12,8,8,3,3
Hounsfield 1,245,250,21,11,7,10,7,2
Hounsfield 2,231,433,48,22,8,14,7,0
LeRay 1,56,127,13,5,0,0,1,1
LeRay 2,22,72,7,2,2,1,0,0
LeRay 3,54,97,8,5,1,2,0,0
LeRay 4,181,266,17,8,3,13,4,0
LeRay 5,81,128,11,10,5,4,1,0
LeRay 6,42,60,9,1,0,3,0,1
LeRay 7,29,31,2,0,0,0,0,0
LeRay 8,140,187,19,15,7,7,3,4
Lorraine 1,76,234,21,12,2,6,2,0
Lyme 1,110,198,25,10,7,10,1,2
Lyme 2,161,240,34,16,7,5,1,0
Lyme 3,78,139,14,11,5,5,1,0
Orleans 1,169,377,28,12,2,16,2,2
Orleans 2,143,220,18,13,4,7,3,1
Pamelia 1,114,347,27,13,10,9,1,2
Pamelia 2,150,313,20,14,5,16,1,3
Philadelphia 1,93,139,10,6,2,4,1,2
Philadelphia 2,91,159,12,4,1,7,1,2
Rodman 1,108,315,25,7,2,7,3,2
Rutland 1,109,276,16,8,7,2,6,2
Rutland 2,66,220,24,7,8,5,2,2
Rutland 3,42,64,3,3,2,2,1,1
Theresa 1,238,526,43,17,14,18,5,2
Watertown 1,326,438,38,16,6,17,3,2
Watertown 2,205,510,45,13,11,16,4,1
Wilna 1,226,350,29,14,6,12,2,3
Wilna 2,8,10,1,3,0,0,0,0
Wilna 3,20,44,1,3,2,0,0,0
Wilna 4,31,123,16,4,2,0,0,2
Wilna 5,95,253,15,5,1,5,1,1
Worth 1,23,70,7,5,0,1,1,1
