precinct,DEM,REP,CON,WOR,IND,WEP,REF
12/1,454,274,35,14,21,6,1
12/2,353,230,24,13,20,3,5
12/3,308,228,22,7,10,3,0
13/1,286,197,22,16,21,8,3
13/2,374,203,29,4,23,4,1
13/3,229,152,10,4,18,10,2
14/1,250,176,18,15,26,8,1
14/2,128,94,7,8,4,2,2
15/1,322,193,21,17,25,10,2
15/2,291,230,16,13,21,6,1
15/3,104,66,12,1,8,1,2
Adams 1,242,220,26,8,8,2,1
Adams 2,136,195,19,7,8,4,2
Adams 3,285,379,49,14,25,6,3
Alexandria 1,209,126,8,11,8,1,3
Alexandria 2,213,243,39,12,15,2,2
Alexandria 3,281,334,29,22,15,2,2
Antwerp 1,85,77,10,3,4,0,1
Antwerp 2,144,171,25,10,11,1,1
Brownville 1,151,198,21,15,16,2,1
Brownville 2,157,138,23,6,5,0,3
Brownville 3,185,243,19,12,12,2,5
Brownville 4,163,135,7,11,7,1,1
Brownville 5,214,248,32,7,16,1,2
Cape Vincent 1,180,161,14,5,12,5,1
Cape Vincent 2,315,350,32,11,13,1,1
Champion 1,299,403,40,15,18,0,6
Champion 2,183,177,20,17,12,3,3
Clayton 1,148,234,32,8,15,3,3
Clayton 2,340,264,26,14,21,3,0
Clayton 3,354,368,27,18,25,5,6
Ellisburg 1,50,72,5,2,8,0,0
Elllisburg 2,139,218,15,8,9,3,1
Ellisburg 3,35,43,4,4,0,1,0
Ellisburg 4,213,232,24,17,10,1,3
Henderson 1,284,309,37,10,10,4,3
Hounsfield 1,301,186,24,11,13,5,2
Hounsfield 2,317,335,45,14,31,5,2
LeRay 1,80,102,11,5,2,1,0
LeRay 2,35,59,6,1,0,0,0
LeRay 3,70,75,7,3,4,1,2
LeRay 4,227,226,13,3,13,3,2
LeRay 5,108,101,11,3,9,3,1
LeRay 6,51,42,7,5,4,1,0
LeRay 7,29,27,2,1,2,0,0
LeRay 8,182,152,21,4,6,10,2
Lorraine 1,104,196,19,10,9,3,2
Lyme 1,155,156,21,9,11,0,1
Lyme 2,216,184,39,8,9,2,2
Lyme 3,102,110,15,11,5,2,0
Orleans 1,241,300,25,11,13,1,2
Orleans 2,185,179,15,9,10,2,1
Pamelia 1,169,291,26,9,13,3,2
Pamelia 2,218,244,21,3,20,0,4
Philadelphia 1,112,109,14,3,4,4,2
Philadelphia 2,112,119,9,9,12,0,3
Rodman 1,150,254,29,6,7,2,4
Rutland 1,148,219,20,12,2,6,3
Rutland 2,83,189,21,8,9,2,2
Rutland 3,56,44,5,4,3,1,2
Theresa 1,320,424,41,20,25,7,4
Watertown 1,390,370,39,14,17,3,2
Watertown 2,281,416,51,14,22,7,1
Wilna 1,320,249,30,10,7,4,4
Wilna 2,10,9,1,0,0,0,0
Wilna 3,26,35,1,2,0,2,1
Wilna 4,57,98,15,5,0,1,0
Wilna 5,140,208,10,7,7,2,0
Worth 1,38,51,4,3,1,1,0
