precinct,DEM,REP,CON,WOR,IND,WEP,REF
City of Oneida 1,373,346,47,17,14,9,5
City of Oneida 2,322,295,36,9,22,8,7
City of Oneida 3,389,283,44,17,20,5,6
City of Oneida 4,127,116,20,4,7,3,1
City of Oneida 5,178,173,20,7,9,6,12
City of Oneida 6,209,213,40,13,21,4,5
Town of Brookfield 1,85,105,33,5,6,2,0
Town of Brookfield 2,136,186,16,9,10,6,1
Town of Brookfield 3,91,120,22,6,8,2,4
Town of Cazenovia 1,188,214,28,11,10,8,2
Town of Cazenovia 2,274,168,26,4,14,8,3
Town of Cazenovia 3,331,138,21,14,11,8,1
Town of Cazenovia 4,375,217,48,6,18,6,1
Town of Cazenovia 5,374,320,50,6,14,5,4
Town of Cazenovia 6,296,175,26,1,10,4,1
Town of DeRuyter 1,204,278,57,12,15,4,7
Town of Eaton 1,232,231,39,17,19,12,3
Town of Eaton 2,243,281,51,17,9,2,11
Town of Fenner 1,273,310,68,19,19,6,6
Town of Georgetown 1,69,154,24,5,0,2,0
Town of Hamilton 1,295,80,14,24,6,6,1
Town of Hamilton 2,454,114,11,21,11,10,1
Town of Hamilton 3,93,97,9,3,2,4,0
Town of Hamilton 4,260,214,40,5,10,5,3
Town of Lebanon 1,69,92,9,7,7,1,0
Town of Lebanon 2,160,130,13,8,11,2,0
Town of Lenox 1,230,338,37,14,12,8,9
Town of Lenox 2,194,244,32,14,13,4,7
Town of Lenox 3,211,212,36,13,11,7,5
Town of Lenox 4,199,201,28,6,9,2,0
Town of Lenox 5,269,310,47,15,20,5,4
Town of Lenox 6,108,152,18,6,8,2,3
Town of Lincoln 1,125,181,33,3,8,1,2
Town of Lincoln 2,118,209,22,9,9,7,2
Town of Madison 1,305,283,43,11,14,8,3
Town of Madison 2,237,182,34,6,16,5,3
Town of Nelson 1,218,183,41,9,15,5,1
Town of Nelson 2,202,202,26,7,12,5,2
Town of Smithfield 1,134,185,46,11,10,1,7
Town of Stockbridge 1,120,165,18,8,7,1,4
Town of Stockbridge 2,133,188,15,18,10,2,5
Town of Sullivan 1,445,380,64,14,25,9,4
Town of Sullivan 2,265,331,63,13,19,3,5
Town of Sullivan 3,202,264,35,9,14,3,4
Town of Sullivan 4,126,131,23,4,9,0,2
Town of Sullivan 5,284,296,49,12,18,2,4
Town of Sullivan 6,277,278,44,7,22,5,1
Town of Sullivan 7,211,279,53,6,12,2,4
Town of Sullivan 8,184,126,19,5,11,0,0
Town of Sullivan 9,152,203,43,8,14,2,1
Town of Sullivan 10,183,185,45,14,19,1,5
Town of Sullivan 11,185,192,41,10,11,2,5
