Madison County,,Official Results,,,,"General Election / November 6, 2018",,,,,,
UNITED STATES SENATOR,,(Vote for 1),,,,,,,,,,
,,,,Chele,Chele,,,,Chele,,,
ED,"Registered
Voters","Whole
Vote
Cast","Kirsten E.
Gillibrand
DEM","Chiavacci
Farley
REP","Chiavacci
Farley
CON","Kirsten E.
Gillibrand
WOR","Kirsten E.
Gillibrand
IND","Kirsten E.
Gillibrand
WEP","Chiavacci
Farley
REF",Write-ins,Voids,Blanks
City of Oneida 1,1202,835,373,346,47,17,14,9,5,1,0,23
City of Oneida 2,1088,720,322,295,36,9,22,8,7,1,0,20
City of Oneida 3,1197,779,389,283,44,17,20,5,6,0,0,15
City of Oneida 4,602,287,127,116,20,4,7,3,1,1,0,8
City of Oneida 5,876,417,178,173,20,7,9,6,12,0,0,12
City of Oneida 6,935,527,209,213,40,13,21,4,5,0,0,22
Town of Brookfield 1,396,247,85,105,33,5,6,2,0,0,0,11
Town of Brookfield 2,599,395,136,186,16,9,10,6,1,0,0,31
Town of Brookfield 3,397,267,91,120,22,6,8,2,4,0,0,14
Town of Cazenovia 1,670,470,188,214,28,11,10,8,2,0,0,9
Town of Cazenovia 2,661,501,274,168,26,4,14,8,3,0,0,4
Town of Cazenovia 3,741,527,331,138,21,14,11,8,1,1,0,2
Town of Cazenovia 4,917,679,375,217,48,6,18,6,1,0,1,7
Town of Cazenovia 5,1066,779,374,320,50,6,14,5,4,1,0,5
Town of Cazenovia 6,679,527,296,175,26,1,10,4,1,0,2,12
Town of DeRuyter 1,965,607,204,278,57,12,15,4,7,1,2,27
Town of Eaton 1,983,564,232,231,39,17,19,12,3,1,0,10
Town of Eaton 2,1014,629,243,281,51,17,9,2,11,0,0,15
Town of Fenner 1,1080,718,273,310,68,19,19,6,6,1,0,16
Town of Georgetown 1,425,268,69,154,24,5,0,2,0,0,0,14
Town of Hamilton 1,574,433,295,80,14,24,6,6,1,1,0,6
Town of Hamilton 2,949,644,454,114,11,21,11,10,1,2,0,20
Town of Hamilton 3,354,218,93,97,9,3,2,4,0,0,0,10
Town of Hamilton 4,833,562,260,214,40,5,10,5,3,1,0,24
Town of Lebanon 1,305,195,69,92,9,7,7,1,0,1,0,9
Town of Lebanon 2,533,341,160,130,13,8,11,2,0,0,0,17
Town of Lenox 1,1048,668,230,338,37,14,12,8,9,0,0,20
Town of Lenox 2,948,531,194,244,32,14,13,4,7,0,0,23
Town of Lenox 3,925,533,211,212,36,13,11,7,5,1,0,37
Town of Lenox 4,762,465,199,201,28,6,9,2,0,0,0,20
Town of Lenox 5,1039,695,269,310,47,15,20,5,4,2,0,23
Town of Lenox 6,467,305,108,152,18,6,8,2,3,0,0,8

,,,,Chele,Chele,,,,Chele,,,
ED,"Registered
Voters","Whole
Vote
Cast","Kirsten E.
Gillibrand
DEM","Chiavacci
Farley
REP","Chiavacci
Farley
CON","Kirsten E.
Gillibrand
WOR","Kirsten E.
Gillibrand
IND","Kirsten E.
Gillibrand
WEP","Chiavacci
Farley
REF",Write-ins,Voids,Blanks
Town of Lincoln 1,561,365,125,181,33,3,8,1,2,0,0,12
Town of Lincoln 2,652,386,118,209,22,9,9,7,2,2,0,8
Town of Madison 1,993,681,305,283,43,11,14,8,3,0,0,14
Town of Madison 2,850,511,237,182,34,6,16,5,3,0,0,28
Town of Nelson 1,705,481,218,183,41,9,15,5,1,1,0,8
Town of Nelson 2,672,464,202,202,26,7,12,5,2,0,0,8
Town of Smithfield 1,710,412,134,185,46,11,10,1,7,0,0,18
Town of Stockbridge 1,519,330,120,165,18,8,7,1,4,0,0,7
Town of Stockbridge 2,659,397,133,188,15,18,10,2,5,0,0,26
Town of Sullivan 1,1398,949,445,380,64,14,25,9,4,0,0,8
Town of Sullivan 2,1090,718,265,331,63,13,19,3,5,0,0,19
Town of Sullivan 3,810,541,202,264,35,9,14,3,4,0,0,10
Town of Sullivan 4,480,298,126,131,23,4,9,0,2,0,0,3
Town of Sullivan 5,1087,685,284,296,49,12,18,2,4,0,0,20
Town of Sullivan 6,966,648,277,278,44,7,22,5,1,1,0,13
Town of Sullivan 7,908,581,211,279,53,6,12,2,4,1,0,13
Town of Sullivan 8,582,355,184,126,19,5,11,0,0,1,0,9
Town of Sullivan 9,724,438,152,203,43,8,14,2,1,0,0,15
Town of Sullivan 10,721,460,183,185,45,14,19,1,5,0,0,8
Town of Sullivan 11,763,454,185,192,41,10,11,2,5,2,0,6
TOTAL,41080,26487,11417,10950,1767,519,651,230,177,24,5,747
