precinct,DEM,REP,CON,GRE,WOR,IND,WEP,REF,SAM,SAM,SAM,LBT
Middletown - Ward 1-1,151,72,9,5,3,5,0,1,1,0,1,2
Middletown - Ward 1-2,76,32,4,1,1,0,1,0,0,0,0,3
Middletown - Ward 1-3,147,64,3,1,3,1,0,2,2,0,2,5
Middletown - Ward 1-4,35,20,1,1,0,2,0,0,0,0,0,1
Middletown - Ward 1-5,134,59,7,1,0,0,0,2,1,0,1,2
Middletown - Ward 1-6,106,48,1,1,2,3,1,0,6,0,6,3
Middletown - Ward 2-1,124,61,11,2,2,2,1,1,1,0,1,0
Middletown - Ward 2-2,100,55,9,4,3,2,1,1,3,0,3,2
Middletown - Ward 2-3,144,66,5,12,1,1,0,1,5,0,5,7
Middletown - Ward 2-4,200,54,10,7,4,0,2,2,1,2,3,1
Middletown - Ward 2-5,116,58,4,1,1,2,3,0,0,0,0,1
Middletown - Ward 2-6,126,56,4,0,3,1,2,2,0,0,0,1
Middletown - Ward 2-7,80,47,7,1,0,1,0,2,0,0,0,1
Middletown - Ward 3-1,170,106,12,9,1,5,1,2,2,1,3,2
Middletown - Ward 3-2,120,75,12,7,3,4,2,4,1,0,1,5
Middletown - Ward 3-3,92,34,7,4,3,1,0,1,0,0,0,1
Middletown - Ward 3-4,211,79,7,4,4,4,2,1,3,0,3,7
Middletown - Ward 3-5,169,51,2,2,1,1,2,1,0,1,1,0
Middletown - Ward 3-6,0,0,0,0,0,0,0,0,0,0,0,0
Middletown - Ward 4-1,225,101,9,9,3,6,3,1,3,0,3,3
Middletown - Ward 4-2,236,72,9,3,2,3,1,0,2,0,2,1
Middletown - Ward 4-3,114,29,2,3,3,0,2,1,0,0,0,0
Middletown - Ward 4-4,237,94,11,9,7,2,1,2,1,0,1,3
Middletown - Ward 4-5,219,98,14,6,2,4,5,2,3,0,3,5
Middletown - Ward 4-6,361,104,17,5,4,4,3,0,4,0,4,4
Middletown - Ward 4-7,278,53,4,2,5,5,1,1,3,0,3,3
Middletown - Ward 4-8,20,4,0,0,1,1,0,0,1,0,1,0
City of Newburgh 1-1,159,12,1,1,7,3,1,0,1,0,1,0
City of Newburgh 1-2,309,27,2,10,7,4,2,0,2,1,3,0
City of Newburgh 1-3,188,29,4,1,3,1,2,1,3,0,3,4
City of Newburgh 1-4,235,96,9,6,15,6,6,6,4,1,5,2
City of Newburgh 2-1,315,42,4,7,7,3,2,2,0,0,0,2
City of Newburgh 2-2,359,50,4,6,18,1,1,0,3,0,3,5
City of Newburgh 3-1,229,134,15,2,4,2,1,4,3,0,3,7
City of Newburgh 3-2,285,102,10,7,11,7,3,4,4,0,4,2
City of Newburgh 3-3,364,42,2,1,2,4,2,1,1,0,1,1
City of Newburgh 3-4,150,93,7,7,4,2,1,1,0,0,0,0
City of Newburgh 4-1,46,2,2,0,0,1,0,0,0,0,0,0
City of Newburgh 4-2,189,40,5,3,4,0,1,1,0,0,0,1
City of Newburgh 4-3,234,68,9,10,6,2,3,1,1,0,1,4
City of Newburgh 4-4,239,89,8,7,5,5,3,0,3,0,3,3
City of Newburgh 4-5,124,14,0,1,4,1,1,0,0,0,0,1
Port Jervis 1-1,173,182,21,9,2,6,0,2,7,0,7,1
Port Jervis 1-2,27,22,4,0,1,4,1,1,1,0,1,0
Port Jervis 2-1,101,150,10,3,5,2,2,3,1,0,1,6
Port Jervis 2-2,87,108,11,5,4,4,0,1,2,0,2,3
