,DEM,REP,CON,WOR,IND,WEP,REF
Middletown - Ward 1-1,168,59,7,3,6,2,1
Middletown - Ward 1-2,82,29,3,1,2,0,0
Middletown - Ward 1-3,160,44,5,3,1,0,2
Middletown - Ward 1-4,35,18,0,2,2,0,0
Middletown - Ward 1-5,144,46,7,5,1,0,0
Middletown - Ward 1-6,115,41,1,3,4,0,0
Middletown - Ward 2-1,133,49,9,6,3,1,1
Middletown - Ward 2-2,108,49,8,5,3,3,1
Middletown - Ward 2-3,165,61,1,7,1,3,2
Middletown - Ward 2-4,206,47,10,5,2,4,1
Middletown - Ward 2-5,128,47,5,1,1,2,0
Middletown - Ward 2-6,138,43,4,3,2,1,2
Middletown - Ward 2-7,89,39,5,1,1,0,1
Middletown - Ward 3-1,195,83,9,7,8,1,1
Middletown - Ward 3-2,146,57,10,8,6,4,0
Middletown - Ward 3-3,95,26,5,4,2,2,1
Middletown - Ward 3-4,228,69,7,3,6,2,2
Middletown - Ward 3-5,175,34,5,5,2,2,0
Middletown - Ward 3-6,0,0,0,0,0,0,0
Middletown - Ward 4-1,256,88,5,4,7,3,2
Middletown - Ward 4-2,250,55,8,4,4,2,0
Middletown - Ward 4-3,119,19,1,5,1,3,2
Middletown - Ward 4-4,250,81,10,10,3,3,1
Middletown - Ward 4-5,250,86,18,4,7,2,0
Middletown - Ward 4-6,370,98,14,13,5,4,0
Middletown - Ward 4-7,288,44,1,6,7,4,2
Middletown - Ward 4-8,20,3,1,0,1,0,0
City of Newburgh 1-1,161,7,1,6,2,2,1
City of Newburgh 1-2,311,22,0,10,6,2,0
City of Newburgh 1-3,193,22,4,2,3,2,1
City of Newburgh 1-4,260,81,10,15,6,3,4
City of Newburgh 2-1,306,35,2,12,6,5,0
City of Newburgh 2-2,379,35,1,19,1,1,0
City of Newburgh 3-1,238,116,15,13,4,3,2
City of Newburgh 3-2,300,88,8,14,8,3,1
City of Newburgh 3-3,346,36,2,6,6,1,1
City of Newburgh 3-4,171,77,6,5,2,1,2
City of Newburgh 4-1,40,1,1,1,1,1,0
City of Newburgh 4-2,181,33,7,6,0,1,1
City of Newburgh 4-3,253,62,6,7,1,6,1
City of Newburgh 4-4,244,77,9,9,7,4,0
City of Newburgh 4-5,113,10,0,5,3,0,0
Port Jervis 1-1,206,149,16,7,8,0,3
Port Jervis 1-2,37,15,5,1,3,1,0
Port Jervis 2-1,112,136,7,6,6,4,1
Port Jervis 2-2,107,90,11,7,4,2,2
Port Jervis 3-1,139,143,12,7,3,3,0
Port Jervis 3-2,153,143,14,5,12,0,0
Port Jervis 4-1,138,91,9,5,8,5,0
Port Jervis 4-2,142,106,14,8,10,4,0
Blooming Grove 1-1,116,68,11,2,1,0,3
Blooming Grove 1-2,260,175,20,10,10,5,6
Blooming Grove 1-3,217,148,20,7,8,0,10
Blooming Grove 1-4,20,32,3,0,0,0,2
Blooming Grove 2-1,87,69,13,3,1,3,5
Blooming Grove 2-2,203,176,31,7,6,5,2
Blooming Grove 2-3,166,153,21,7,7,1,7
Blooming Grove 3-1,166,168,37,9,7,2,10
Blooming Grove 3-2,140,104,15,5,4,2,5
Blooming Grove 3-3,127,109,20,12,6,1,4
Blooming Grove 3-4,19,3,2,2,2,0,2
Blooming Grove 4-1,98,102,14,2,15,0,16
Blooming Grove 4-2,159,120,19,6,9,3,11
Blooming Grove 4-3,107,104,16,7,5,0,20
Blooming Grove 5-1,153,166,46,12,7,1,3
Blooming Grove 5-2,14,25,4,2,3,2,0
Blooming Grove 5-3,170,175,26,9,9,5,13
Blooming Grove 5-4,145,149,22,3,2,0,5
Blooming Grove 5-5,29,16,10,0,1,0,0
Blooming Grove 6-1,132,149,17,5,7,2,3
Blooming Grove 6-2,152,194,34,2,10,7,7
Blooming Grove 6-3,217,197,43,12,4,6,11
Blooming Grove 6-4,11,12,5,0,0,0,1
Chester 1,270,180,29,10,14,3,9
Chester 2,159,117,14,5,7,6,2
Chester 3,220,250,30,7,8,2,10
Chester 4,259,235,35,4,7,4,5
Chester 5,169,200,54,9,10,3,10
Chester 6,162,113,30,4,4,0,1
Chester 7,247,229,24,14,6,1,7
Chester 8,234,111,12,6,4,4,3
Chester 9,130,58,3,2,1,1,1
Chester 10,167,133,23,10,8,4,3
Chester 11,124,133,16,4,6,0,8
Chester 12,207,201,34,6,8,1,3
Cornwall 1,259,147,28,14,8,3,4
Cornwall 2,170,129,18,8,5,1,2
Cornwall 3,216,153,23,12,6,4,1
Cornwall 4,239,188,38,16,14,8,2
Cornwall 5,140,156,12,7,4,4,2
Cornwall 6,199,161,30,6,11,8,1
Cornwall 7,106,123,14,7,3,2,1
Cornwall 8,283,199,44,11,6,7,4
Cornwall 9,193,122,19,12,7,6,2
Cornwall 10,139,152,26,6,4,1,0
Cornwall 11,254,219,26,9,13,6,2
Cornwall 12,226,155,18,3,3,0,2
Cornwall 13,142,104,9,10,7,5,2
Cornwall 14,183,180,23,9,12,4,1
Crawford 1,155,204,23,5,8,1,1
Crawford 2,125,204,17,3,5,0,1
Crawford 3,197,288,50,6,9,1,3
Crawford 4,146,230,32,12,2,3,0
Crawford 5,146,218,46,6,6,1,5
Crawford 6,184,271,40,8,12,3,4
Crawford 7,162,188,33,4,11,2,1
Crawford 8,151,163,15,3,3,2,2
Deerpark 1,96,156,30,0,8,4,2
Deerpark 2,108,185,20,7,6,2,2
Deerpark 3,140,191,12,7,5,1,0
Deerpark 4,138,201,37,4,8,1,2
Deerpark 5,106,241,30,5,6,1,1
Deerpark 6,84,110,20,7,8,0,1
Deerpark 7,95,239,19,8,6,1,3
Goshen 1,228,135,20,7,9,4,2
Goshen 2,126,57,14,3,4,0,1
Goshen 3,216,154,27,5,6,5,3
Goshen 4,296,240,38,13,10,9,1
Goshen 5,255,217,31,4,4,10,3
Goshen 6,153,149,21,1,3,2,3
Goshen 7,228,251,33,8,2,7,2
Goshen 8,157,173,23,6,4,6,3
Goshen 9,264,233,53,11,9,6,2
Goshen 10,209,203,34,9,4,6,4
Goshen 11,232,125,25,6,6,0,1
Goshen 12,126,142,17,6,4,1,0
Goshen 13,22,14,3,1,2,0,0
Greenville 1,118,260,30,6,4,1,4
Greenville 2,196,266,30,13,6,5,0
Greenville 3,109,174,27,10,4,3,1
Greenville 4,157,211,39,1,6,0,2
Hamptonburgh 1,199,190,27,6,4,1,3
Hamptonburgh 2,194,291,27,7,10,3,5
Hamptonburgh 3,175,198,30,8,8,3,2
Hamptonburgh 4,169,164,15,13,8,2,2
Hamptonburgh 5,153,231,36,8,6,3,5
Highlands 1,224,140,15,3,4,4,2
Highlands 2,181,50,8,10,6,3,3
Highlands 3,198,110,11,9,11,3,0
Highlands 4,174,172,19,4,6,2,1
Highlands 5,132,112,6,8,3,1,0
Highlands 6,153,113,18,12,7,3,1
Minisink 1,133,272,35,5,8,1,2
Minisink 2,164,245,35,12,7,3,2
Minisink 3,107,176,28,6,4,2,0
Minisink 4,148,192,24,3,6,2,2
Monroe 1,255,201,30,7,8,5,0
Monroe 2,203,185,23,5,4,5,5
Monroe 3,171,141,21,2,6,6,2
Monroe 4,230,190,16,15,6,1,6
Monroe 5,222,171,11,7,4,2,1
Monroe 6,177,152,23,2,8,1,3
Monroe 7,230,226,32,9,10,7,3
Monroe 8,151,95,11,8,7,3,1
Monroe 9,140,80,9,4,5,1,1
Monroe 10,206,192,34,10,9,4,5
Monroe 11,134,169,18,2,2,2,3
Monroe 12,184,184,27,6,6,5,2
Monroe 13,181,136,21,11,7,5,0
Monroe 14,141,166,25,7,6,1,2
Monroe 15,300,212,33,9,4,12,5
Monroe 16,141,139,15,9,4,3,2
Monroe 17,174,170,31,7,3,5,2
Monroe 18,22,26,2,1,16,0,0
Monroe 19,136,63,4,4,0,5,0
Monroe 20,0,0,0,0,0,0,0
Monroe 21,0,0,0,0,0,0,0
Montgomery 1,173,219,39,8,6,1,6
Montgomery 2,310,213,28,12,10,3,5
Montgomery 3,305,200,21,9,9,2,2
Montgomery 4,140,221,28,10,5,2,2
Montgomery 5,207,193,24,11,9,8,4
Montgomery 6,177,144,9,11,8,5,2
Montgomery 7,196,187,27,5,9,1,2
Montgomery 8,218,113,20,5,4,2,1
Montgomery 9,137,176,27,7,5,0,3
Montgomery 10,127,199,38,1,12,1,3
Montgomery 11,140,198,27,8,7,3,3
Montgomery 12,221,123,22,6,6,3,3
Montgomery 13,195,258,41,11,4,6,2
Montgomery 14,114,145,29,5,6,0,0
Montgomery 15,225,170,26,12,11,5,0
Montgomery 16,218,210,32,13,8,2,0
Montgomery 17,201,188,20,8,3,2,1
Montgomery 18,231,296,34,5,10,6,2
Mount Hope 1,141,158,22,8,5,7,0
Mount Hope 2,190,242,45,15,10,0,6
Mount Hope 3,203,243,46,14,17,5,6
Mount Hope 4,196,261,36,13,7,5,3
New Windsor 1,155,90,15,3,4,3,0
New Windsor 2,166,86,19,6,5,5,1
New Windsor 3,136,135,10,7,4,2,1
New Windsor 4,190,134,26,7,8,3,1
New Windsor 5,227,272,34,13,14,5,10
New Windsor 6,207,113,13,7,9,3,2
New Windsor 7,147,110,13,2,10,2,1
New Windsor 8,211,173,17,2,6,3,2
New Windsor 9,155,94,13,4,2,1,1
New Windsor 10,342,155,22,5,14,7,3
New Windsor 11,238,165,27,6,5,4,2
New Windsor 12,185,80,8,3,4,2,0
New Windsor 13,243,141,20,6,8,5,2
New Windsor 14,240,159,22,9,5,6,2
New Windsor 15,347,211,23,9,5,2,1
New Windsor 16,305,336,46,13,11,2,0
New Windsor 17,132,73,3,4,3,2,0
New Windsor 18,299,168,17,9,8,3,2
New Windsor 19,379,156,27,16,9,7,2
New Windsor 20,163,155,32,13,7,3,3
New Windsor 21,157,198,27,6,6,0,5
New Windsor 22,103,72,20,1,3,1,0
Newburgh Town 1,152,106,13,4,4,4,1
Newburgh Town 2,189,132,16,6,4,4,1
Newburgh Town 3,214,170,24,9,3,5,1
Newburgh Town 4,294,163,19,11,8,3,3
Newburgh Town 5,221,206,33,8,4,1,0
Newburgh Town 6,172,81,9,7,4,0,0
Newburgh Town 7,138,130,20,8,4,6,1
Newburgh Town 8,186,214,24,5,7,4,2
Newburgh Town 9,253,136,23,7,6,4,0
Newburgh Town 10,184,128,17,5,2,2,0
Newburgh Town 11,202,155,26,11,6,2,1
Newburgh Town 12,189,175,29,7,6,3,0
Newburgh Town 13,304,182,21,8,8,2,0
Newburgh Town 14,229,236,30,9,10,3,2
Newburgh Town 15,317,191,19,14,8,6,0
Newburgh Town 16,184,176,36,8,8,7,4
Newburgh Town 17,234,278,49,5,7,5,1
Newburgh Town 18,221,213,34,3,6,2,4
Newburgh Town 19,233,272,36,10,7,3,3
Newburgh Town 20,114,75,13,6,2,2,0
Newburgh Town 21,208,285,31,7,3,5,3
Newburgh Town 22,180,154,19,8,7,3,2
Newburgh Town 23,414,110,16,9,7,4,0
Newburgh Town 24,206,192,23,3,11,1,2
Newburgh Town 25,339,186,26,7,10,7,3
Newburgh Town 26,97,133,15,2,7,3,0
Newburgh Town 27,156,33,0,2,6,1,0
Palm Tree 1,18,14,2,1,147,0,0
Palm Tree 2,32,20,7,5,449,0,1
Palm Tree 3,15,6,1,2,144,0,0
Palm Tree 4,40,19,2,2,190,2,0
Palm Tree 5,46,16,1,2,235,2,0
Palm Tree 6,1,5,3,0,68,0,0
Palm Tree 7,38,14,1,2,261,1,1
Palm Tree 8,59,22,1,1,298,1,0
Palm Tree 9,48,9,0,2,137,1,0
Palm Tree 10,39,20,1,4,187,4,0
Palm Tree 11,45,11,2,1,161,0,0
Palm Tree 12,39,14,5,2,167,1,0
Palm Tree 13,73,23,2,1,253,2,0
Palm Tree 14,71,4,4,4,197,1,0
Palm Tree 15,53,21,3,2,249,1,0
Palm Tree 16,43,20,5,2,181,1,0
Palm Tree 17,38,31,4,2,415,1,1
Palm Tree 18,0,6,0,1,12,0,0
Palm Tree 19,3,0,0,0,7,0,0
Tuxedo 1,149,121,11,6,9,1,3
Tuxedo 2,201,177,22,12,4,4,0
Tuxedo 3,165,124,13,1,2,3,3
Tuxedo 4,219,228,25,2,2,4,5
Wallkill 1-1,167,132,29,10,5,6,1
Wallkill 1-2,202,206,45,13,15,6,3
Wallkill 1-3,209,52,9,12,3,2,3
Wallkill 1-4,116,87,17,6,6,1,0
Wallkill 1-5,60,83,5,3,1,5,1
Wallkill 1-6,236,72,13,2,5,1,1
Wallkill 1-7,92,111,17,4,5,7,2
Wallkill 2-1,168,108,17,0,4,1,1
Wallkill 2-2,188,107,9,6,5,1,2
Wallkill 2-3,129,69,11,2,2,1,2
Wallkill 2-4,256,62,8,5,2,1,1
Wallkill 2-5,174,54,9,3,5,3,1
Wallkill 2-6,134,81,15,1,6,0,0
Wallkill 2-7,126,66,4,5,3,2,0
Wallkill 3-1,310,126,15,9,3,3,2
Wallkill 3-2,237,105,7,8,8,3,0
Wallkill 3-3,426,169,25,9,9,2,2
Wallkill 3-4,258,78,8,3,4,1,0
Wallkill 3-5,199,99,11,8,9,2,3
Wallkill 3-6,302,175,24,13,8,2,0
Wallkill 3-7,408,110,13,11,6,2,1
Wallkill 4-1,181,202,30,10,13,5,2
Wallkill 4-2,98,78,16,7,6,1,0
Wallkill 4-3,156,74,7,9,8,4,1
Wallkill 4-4,227,195,35,14,8,4,5
Wallkill 4-5,173,212,29,7,13,2,2
Warwick 1,161,167,16,11,10,0,2
Warwick 2,194,243,37,7,4,6,9
Warwick 3,208,139,18,4,4,1,1
Warwick 4,287,215,40,15,4,4,1
Warwick 5,226,133,30,6,5,4,4
Warwick 6,139,130,23,10,6,2,0
Warwick 7,149,160,28,2,7,4,1
Warwick 8,305,182,20,7,7,9,1
Warwick 9,215,208,27,4,8,4,3
Warwick 10,155,186,26,5,8,3,2
Warwick 11,170,183,28,10,9,6,2
Warwick 12,205,198,31,13,9,4,2
Warwick 13,233,151,14,11,6,2,1
Warwick 14,158,170,18,12,6,1,3
Warwick 15,132,143,18,7,12,2,0
Warwick 16,219,221,41,8,4,9,0
Warwick 17,167,156,23,7,4,0,2
Warwick 18,149,150,24,6,2,2,1
Warwick 19,196,202,40,11,5,0,2
Warwick 20,218,217,43,12,5,5,2
Warwick 21,311,236,49,3,5,3,0
Warwick 22,263,115,19,7,4,0,5
Warwick 23,234,198,48,7,5,5,4
Warwick 24,226,234,38,8,6,7,3
Warwick 25,199,144,20,6,11,6,9
Warwick 26,247,193,38,3,10,2,3
Warwick 27,218,213,44,9,10,4,3
Warwick 28,198,177,30,5,12,3,2
Warwick 29,295,53,10,8,4,2,0
Warwick 30,110,147,20,5,2,2,2
Warwick 31,114,119,12,1,2,1,3
Wawayanda 1,179,236,37,12,12,4,3
Wawayanda 2,235,174,20,13,9,4,1
Wawayanda 3,203,203,29,4,9,3,1
Wawayanda 4,178,177,24,4,9,3,0
Wawayanda 5,143,201,21,5,10,1,4
Wawayanda 6,217,267,31,9,4,7,2
Woodbury 1,159,141,28,10,11,3,4
Woodbury 2,202,151,21,3,10,5,1
Woodbury 3,235,171,15,5,10,7,3
Woodbury 4,168,123,16,6,9,6,2
Woodbury 5,317,193,22,4,7,4,2
Woodbury 6,208,173,32,10,5,5,2
Woodbury 7,190,120,14,5,9,5,1
Woodbury 8,183,198,23,0,7,3,3
Woodbury 9,128,36,6,2,1,1,0
Woodbury 10,332,199,35,14,3,5,5
