Orange County Official Results,,,,,,,,,,,,
US SENATOR (Vote for One),,,,,,,,,,Amended - 12/11/18,,
General Election - 11/6/18,,,,,,,,,,,,
DISTRICT,TO,,,,,,,,,,,
,,,,DEM,REP,CON,WOR,IND,WEP,REF,,
Middletown - Ward 1-1,257,564,45.57%,168,59,7,3,6,2,1,0,11
Middletown - Ward 1-2,120,275,43.64%,82,29,3,1,2,0,0,0,3
Middletown - Ward 1-3,235,435,54.02%,160,44,5,3,1,0,2,0,20
Middletown - Ward 1-4,61,205,29.76%,35,18,0,2,2,0,0,0,4
Middletown - Ward 1-5,216,467,46.25%,144,46,7,5,1,0,0,0,13
Middletown - Ward 1-6,176,419,42.00%,115,41,1,3,4,0,0,0,12
Middletown - Ward 2-1,209,381,54.86%,133,49,9,6,3,1,1,0,7
Middletown - Ward 2-2,185,484,38.22%,108,49,8,5,3,3,1,0,8
Middletown - Ward 2-3,251,443,56.66%,165,61,1,7,1,3,2,0,11
Middletown - Ward 2-4,290,611,47.46%,206,47,10,5,2,4,1,0,15
Middletown - Ward 2-5,190,334,56.89%,128,47,5,1,1,2,0,0,6
Middletown - Ward 2-6,196,316,62.03%,138,43,4,3,2,1,2,0,3
Middletown - Ward 2-7,141,212,66.51%,89,39,5,1,1,0,1,0,5
Middletown - Ward 3-1,320,647,49.46%,195,83,9,7,8,1,1,0,16
Middletown - Ward 3-2,242,464,52.16%,146,57,10,8,6,4,0,0,11
Middletown - Ward 3-3,144,331,43.50%,95,26,5,4,2,2,1,0,9
Middletown - Ward 3-4,330,724,45.58%,228,69,7,3,6,2,2,0,13
Middletown - Ward 3-5,236,531,44.44%,175,34,5,5,2,2,0,1,12
Middletown - Ward 3-6,0,0,,0,0,0,0,0,0,0,0,0
Middletown - Ward 4-1,377,825,45.70%,256,88,5,4,7,3,2,0,12
Middletown - Ward 4-2,339,655,51.76%,250,55,8,4,4,2,0,0,16
Middletown - Ward 4-3,160,364,43.96%,119,19,1,5,1,3,2,0,10
Middletown - Ward 4-4,375,714,52.52%,250,81,10,10,3,3,1,0,17
Middletown - Ward 4-5,373,682,54.69%,250,86,18,4,7,2,0,0,6
Middletown - Ward 4-6,522,1082,48.24%,370,98,14,13,5,4,0,0,18
Middletown - Ward 4-7,362,745,48.59%,288,44,1,6,7,4,2,0,10
Middletown - Ward 4-8,27,51,52.94%,20,3,1,0,1,0,0,0,2
City of Newburgh 1-1,197,624,31.57%,161,7,1,6,2,2,1,0,17
City of Newburgh 1-2,382,936,40.81%,311,22,0,10,6,2,0,1,30
City of Newburgh 1-3,261,572,45.63%,193,22,4,2,3,2,1,0,34
City of Newburgh 1-4,409,657,62.25%,260,81,10,15,6,3,4,0,30
City of Newburgh 2-1,404,998,40.48%,306,35,2,12,6,5,0,0,38
City of Newburgh 2-2,477,1132,42.14%,379,35,1,19,1,1,0,0,41
City of Newburgh 3-1,419,778,53.86%,238,116,15,13,4,3,2,0,28
City of Newburgh 3-2,455,989,46.01%,300,88,8,14,8,3,1,0,33
City of Newburgh 3-3,453,1056,42.90%,346,36,2,6,6,1,1,0,55
City of Newburgh 3-4,282,550,51.27%,171,77,6,5,2,1,2,0,18
City of Newburgh 4-1,54,152,35.53%,40,1,1,1,1,1,0,0,9
City of Newburgh 4-2,248,484,51.24%,181,33,7,6,0,1,1,0,19
City of Newburgh 4-3,356,694,51.30%,253,62,6,7,1,6,1,0,20
City of Newburgh 4-4,369,665,55.49%,244,77,9,9,7,4,0,0,19
City of Newburgh 4-5,158,471,33.55%,113,10,0,5,3,0,0,0,27
Port Jervis 1-1,410,758,54.09%,206,149,16,7,8,0,3,0,21
Port Jervis 1-2,65,168,38.69%,37,15,5,1,3,1,0,0,3
Port Jervis 2-1,293,621,47.18%,112,136,7,6,6,4,1,0,21
Page 1/9,,,General Election Results - Certified - 12/3/18,,,,,,,,,

Orange County Official Results,,,,,,,,,,,,
US SENATOR (Vote for One),,,,,,,,,,Amended - 12/11/18,,
General Election - 11/6/18,,,,,,,,,,,,
DISTRICT,TO,,,,,,,,,,,
,,,,DEM,REP,CON,WOR,IND,WEP,REF,,
Port Jervis 2-2,234,636,36.79%,107,90,11,7,4,2,2,1,10
Port Jervis 3-1,330,630,52.38%,139,143,12,7,3,3,0,0,23
Port Jervis 3-2,344,710,48.45%,153,143,14,5,12,0,0,0,17
Port Jervis 4-1,264,646,40.87%,138,91,9,5,8,5,0,0,8
Port Jervis 4-2,298,663,44.95%,142,106,14,8,10,4,0,0,14
Blooming Grove 1-1,213,325,65.54%,116,68,11,2,1,0,3,0,12
Blooming Grove 1-2,500,915,54.64%,260,175,20,10,10,5,6,0,14
Blooming Grove 1-3,427,728,58.65%,217,148,20,7,8,0,10,0,17
Blooming Grove 1-4,61,97,62.89%,20,32,3,0,0,0,2,0,4
Blooming Grove 2-1,194,337,57.57%,87,69,13,3,1,3,5,0,13
Blooming Grove 2-2,457,800,57.13%,203,176,31,7,6,5,2,0,27
Blooming Grove 2-3,383,707,54.17%,166,153,21,7,7,1,7,0,21
Blooming Grove 3-1,408,646,63.16%,166,168,37,9,7,2,10,0,9
Blooming Grove 3-2,289,544,53.13%,140,104,15,5,4,2,5,0,14
Blooming Grove 3-3,292,506,57.71%,127,109,20,12,6,1,4,0,13
Blooming Grove 3-4,30,51,58.82%,19,3,2,2,2,0,2,0,0
Blooming Grove 4-1,280,559,50.09%,98,102,14,2,15,0,16,0,33
Blooming Grove 4-2,346,599,57.76%,159,120,19,6,9,3,11,1,18
Blooming Grove 4-3,277,513,54.00%,107,104,16,7,5,0,20,0,18
Blooming Grove 5-1,406,623,65.17%,153,166,46,12,7,1,3,0,18
Blooming Grove 5-2,52,90,57.78%,14,25,4,2,3,2,0,0,2
Blooming Grove 5-3,422,709,59.52%,170,175,26,9,9,5,13,0,15
Blooming Grove 5-4,340,542,62.73%,145,149,22,3,2,0,5,1,13
Blooming Grove 5-5,60,105,57.14%,29,16,10,0,1,0,0,0,4
Blooming Grove 6-1,325,528,61.55%,132,149,17,5,7,2,3,0,10
Blooming Grove 6-2,418,715,58.46%,152,194,34,2,10,7,7,0,12
Blooming Grove 6-3,506,818,61.86%,217,197,43,12,4,6,11,0,16
Blooming Grove 6-4,32,51,62.75%,11,12,5,0,0,0,1,0,3
Chester 1,542,941,57.60%,270,180,29,10,14,3,9,0,27
Chester 2,332,530,62.64%,159,117,14,5,7,6,2,0,22
Chester 3,549,869,63.18%,220,250,30,7,8,2,10,0,22
Chester 4,574,881,65.15%,259,235,35,4,7,4,5,0,25
Chester 5,489,686,71.28%,169,200,54,9,10,3,10,0,34
Chester 6,329,498,66.06%,162,113,30,4,4,0,1,0,15
Chester 7,543,874,62.13%,247,229,24,14,6,1,7,0,15
Chester 8,395,695,56.83%,234,111,12,6,4,4,3,0,21
Chester 9,204,349,58.45%,130,58,3,2,1,1,1,0,8
Chester 10,358,597,59.97%,167,133,23,10,8,4,3,0,10
Chester 11,309,474,65.19%,124,133,16,4,6,0,8,0,18
Chester 12,483,736,65.63%,207,201,34,6,8,1,3,0,23
Cornwall 1,478,676,70.71%,259,147,28,14,8,3,4,0,15
Cornwall 2,342,557,61.40%,170,129,18,8,5,1,2,0,9
Cornwall 3,432,673,64.19%,216,153,23,12,6,4,1,3,14
