Orange County Official Results,,,,,,,,,,,,
MEMBER OF CONGRESS - 18th CD,(Vote for One),,,,,,,,,,,
General Election - 11/6/18,,,,,,,,,,,,
T,,,,,,,,,,,,
C,,,,,,,,,,,,
,,,,DEM,REP,CON WOR,,IND,WEP,REF,,
Middletown - Ward 1-1,257,564,45.57%,159,67,7,6,4,2,1,0,11
Middletown - Ward 1-2,120,275,43.64%,79,34,3,1,0,0,0,0,3
Middletown - Ward 1-3,235,435,54.02%,158,47,7,3,2,1,2,0,15
Middletown - Ward 1-4,61,205,29.76%,36,19,0,2,1,0,0,0,3
Middletown - Ward 1-5,216,467,46.25%,139,53,7,6,1,0,1,0,9
Middletown - Ward 1-6,176,419,42.00%,112,41,1,3,4,0,0,0,15
Middletown - Ward 2-1,209,381,54.86%,133,53,8,3,5,0,1,0,6
Middletown - Ward 2-2,185,484,38.22%,110,48,9,6,3,3,0,0,6
Middletown - Ward 2-3,251,443,56.66%,163,63,2,5,3,1,4,0,10
Middletown - Ward 2-4,290,611,47.46%,213,50,11,1,1,5,2,0,7
Middletown - Ward 2-5,190,334,56.89%,123,50,3,0,3,1,1,0,9
Middletown - Ward 2-6,196,316,62.03%,132,48,3,2,4,1,3,0,3
Middletown - Ward 2-7,141,212,66.51%,94,34,6,0,3,0,0,0,4
Middletown - Ward 3-1,320,647,49.46%,188,91,8,6,8,2,1,0,16
Middletown - Ward 3-2,242,464,52.16%,144,62,5,7,5,4,3,3,9
Middletown - Ward 3-3,144,331,43.50%,94,30,4,4,1,1,1,0,9
Middletown - Ward 3-4,330,724,45.58%,219,72,8,6,6,1,1,1,16
Middletown - Ward 3-5,236,531,44.44%,174,38,4,2,1,2,1,0,14
Middletown - Ward 3-6,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0
Middletown - Ward 4-1,377,825,45.70%,250,101,1,5,6,1,3,1,9
Middletown - Ward 4-2,339,655,51.76%,243,63,7,4,1,2,2,0,17
Middletown - Ward 4-3,160,364,43.96%,113,21,0,5,1,0,1,0,19
Middletown - Ward 4-4,375,714,52.52%,251,85,10,6,3,3,2,0,15
Middletown - Ward 4-5,373,682,54.69%,241,90,18,3,5,2,1,0,13
Middletown - Ward 4-6,522,1082,48.24%,360,105,13,7,4,5,1,2,25
Middletown - Ward 4-7,362,745,48.59%,291,45,1,7,5,1,1,0,11
Middletown - Ward 4-8,27,51,52.94%,20,3,0,0,2,0,0,0,2
City of Newburgh 1-1,197,624,31.57%,158,7,1,5,1,3,0,0,22
City of Newburgh 1-2,382,936,40.81%,319,18,0,8,5,3,2,0,27
City of Newburgh 1-3,261,572,45.63%,197,22,4,3,3,1,0,0,31
City of Newburgh 1-4,409,657,62.25%,267,89,7,15,5,3,5,1,17
City of Newburgh 2-1,404,998,40.48%,311,35,2,8,6,3,2,0,37
City of Newburgh 2-2,477,1132,42.14%,383,36,2,20,4,4,0,0,28
City of Newburgh 3-1,419,778,53.86%,253,109,16,6,6,3,2,0,24
City of Newburgh 3-2,455,989,46.01%,317,91,11,10,8,2,2,0,14
City of Newburgh 3-3,453,1056,42.90%,345,38,2,6,5,4,0,0,53
City of Newburgh 3-4,282,550,51.27%,172,85,6,5,3,0,0,0,11
City of Newburgh 4-1,55,152,36.18%,44,2,3,0,1,0,0,0,5
City of Newburgh 4-2,248,484,51.24%,186,31,7,7,2,0,0,0,15
City of Newburgh 4-3,356,694,51.30%,258,65,7,8,0,5,0,0,13
City of Newburgh 4-4,369,665,55.49%,250,79,8,8,6,3,3,0,12
City of Newburgh 4-5,158,471,33.55%,117,10,0,5,3,0,0,0,23
Page 1/9,,,,,,,,General Election Results - Certified - 12/3/18,,,,

Orange County Official Results,,,,,,,,,,,,
MEMBER OF CONGRESS - 18th CD,(Vote for One),,,,,,,,,,,
General Election - 11/6/18,,,,,,,,,,,,
T,,,,,,,,,,,,
C,,,,,,,,,,,,
,,,,DEM,REP,CON WOR,,IND,WEP,REF,,
Port Jervis 1-1,410,758,54.09%,202,152,18,3,7,1,5,0,22
Port Jervis 1-2,65,168,38.69%,34,17,5,0,4,1,0,0,4
Port Jervis 2-1,293,621,47.18%,119,141,7,3,3,1,2,0,17
Port Jervis 2-2,234,636,36.79%,103,93,13,6,4,1,2,1,11
Port Jervis 3-1,330,630,52.38%,140,151,12,4,5,2,1,0,15
Port Jervis 3-2,344,710,48.45%,142,157,13,3,8,3,0,0,18
Port Jervis 4-1,264,646,40.87%,140,90,7,2,9,3,4,0,9
