precinct,DEM,REP,CON,WOR,IND,WEP,REF,WRITE IN,BLANK
Middletown - Ward 1-1,159,67,7,6,4,2,1,0,11
Middletown - Ward 1-2,79,34,3,1,0,0,0,0,3
Middletown - Ward 1-3,158,47,7,3,2,1,2,0,15
Middletown - Ward 1-4,36,19,0,2,1,0,0,0,3
Middletown - Ward 1-5,139,53,7,6,1,0,1,0,9
Middletown - Ward 1-6,112,41,1,3,4,0,0,0,15
Middletown - Ward 2-1,133,53,8,3,5,0,1,0,6
Middletown - Ward 2-2,110,48,9,6,3,3,0,0,6
Middletown - Ward 2-3,163,63,2,5,3,1,4,0,10
Middletown - Ward 2-4,213,50,11,1,1,5,2,0,7
Middletown - Ward 2-5,123,50,3,0,3,1,1,0,9
Middletown - Ward 2-6,132,48,3,2,4,1,3,0,3
Middletown - Ward 2-7,94,34,6,0,3,0,0,0,4
Middletown - Ward 3-1,188,91,8,6,8,2,1,0,16
Middletown - Ward 3-2,144,62,5,7,5,4,3,3,9
Middletown - Ward 3-3,94,30,4,4,1,1,1,0,9
Middletown - Ward 3-4,219,72,8,6,6,1,1,1,16
Middletown - Ward 3-5,174,38,4,2,1,2,1,0,14
Middletown - Ward 3-6,0,0,0,0,0,0,0,0,0
Middletown - Ward 4-1,250,101,1,5,6,1,3,1,9
Middletown - Ward 4-2,243,63,7,4,1,2,2,0,17
Middletown - Ward 4-3,113,21,0,5,1,0,1,0,19
Middletown - Ward 4-4,251,85,10,6,3,3,2,0,15
Middletown - Ward 4-5,241,90,18,3,5,2,1,0,13
Middletown - Ward 4-6,360,105,13,7,4,5,1,2,25
Middletown - Ward 4-7,291,45,1,7,5,1,1,0,11
Middletown - Ward 4-8,20,3,0,0,2,0,0,0,2
City of Newburgh 1-1,158,7,1,5,1,3,0,0,22
City of Newburgh 1-2,319,18,0,8,5,3,2,0,27
City of Newburgh 1-3,197,22,4,3,3,1,0,0,31
City of Newburgh 1-4,267,89,7,15,5,3,5,1,17
City of Newburgh 2-1,311,35,2,8,6,3,2,0,37
City of Newburgh 2-2,383,36,2,20,4,4,0,0,28
City of Newburgh 3-1,253,109,16,6,6,3,2,0,24
City of Newburgh 3-2,317,91,11,10,8,2,2,0,14
City of Newburgh 3-3,345,38,2,6,5,4,0,0,53
City of Newburgh 3-4,172,85,6,5,3,0,0,0,11
City of Newburgh 4-1,44,2,3,0,1,0,0,0,5
City of Newburgh 4-2,186,31,7,7,2,0,0,0,15
City of Newburgh 4-3,258,65,7,8,0,5,0,0,13
City of Newburgh 4-4,250,79,8,8,6,3,3,0,12
City of Newburgh 4-5,117,10,0,5,3,0,0,0,23
Port Jervis 1-1,202,152,18,3,7,1,5,0,22
Port Jervis 1-2,34,17,5,0,4,1,0,0,4
Port Jervis 2-1,119,141,7,3,3,1,2,0,17
Port Jervis 2-2,103,93,13,6,4,1,2,1,11
Port Jervis 3-1,140,151,12,4,5,2,1,0,15
Port Jervis 3-2,142,157,13,3,8,3,0,0,18
Port Jervis 4-1,140,90,7,2,9,3,4,0,9
Port Jervis 4-2,140,113,13,4,11,2,0,0,15
Blooming Grove 1-1,117,64,11,1,1,0,6,0,13
Blooming Grove 1-2,249,183,21,8,10,0,10,0,19
Blooming Grove 1-3,211,150,22,5,5,0,10,0,24
Blooming Grove 1-4,24,32,3,0,0,0,0,1,1
Blooming Grove 2-1,87,73,13,3,2,0,7,0,9
Blooming Grove 2-2,202,189,32,5,4,2,4,0,19
Blooming Grove 2-3,160,165,23,5,5,1,7,0,17
Blooming Grove 3-1,159,180,32,7,8,2,7,0,13
Blooming Grove 3-2,136,105,19,3,5,3,4,0,14
Blooming Grove 3-3,123,111,21,8,6,2,6,0,15
Blooming Grove 3-4,20,4,2,1,1,0,1,0,1
Blooming Grove 4-1,93,110,16,2,13,1,14,0,31
Blooming Grove 4-2,152,128,22,5,8,4,7,0,20
Blooming Grove 4-3,107,101,21,4,4,2,22,0,16
Blooming Grove 5-1,153,171,48,5,7,1,4,0,17
Blooming Grove 5-2,13,25,4,2,2,0,1,0,5
Blooming Grove 5-3,161,191,29,7,7,4,12,1,10
Blooming Grove 5-4,138,151,28,3,2,0,4,0,14
Blooming Grove 5-5,27,17,9,1,1,0,1,0,4
Blooming Grove 6-1,137,148,23,2,4,2,2,0,7
Blooming Grove 6-2,160,191,31,4,11,4,8,0,9
Blooming Grove 6-3,197,215,52,11,4,6,10,0,11
Blooming Grove 6-4,11,13,5,0,0,0,2,0,1
Chester 1,256,195,32,12,11,3,8,0,26
Chester 2,160,126,12,3,7,3,2,0,19
Chester 3,225,250,29,3,13,1,9,0,20
Chester 4,249,244,41,7,4,2,6,0,21
Chester 5,165,216,55,4,8,1,12,0,28
Chester 6,159,121,29,2,3,1,2,0,13
Chester 7,244,231,22,9,6,2,9,0,21
Chester 8,226,116,16,5,2,3,3,0,24
Chester 9,120,70,3,1,1,2,1,0,6
Chester 10,165,138,27,9,3,3,2,0,11
Chester 11,129,140,13,2,4,1,6,0,15
Chester 12,198,218,36,6,6,1,2,0,16
Cornwall 1,259,146,24,13,8,3,4,0,21
Cornwall 2,172,132,16,4,6,2,2,0,8
Cornwall 3,217,155,27,7,7,4,2,1,12
Cornwall 4,248,188,39,16,13,5,1,0,12
Cornwall 5,135,167,13,4,5,3,2,0,10
Cornwall 6,207,160,33,5,8,3,1,0,12
Cornwall 7,108,127,16,6,3,1,1,0,10
Cornwall 8,291,206,41,9,5,3,5,0,23
Cornwall 9,191,130,19,13,6,5,1,0,9
Cornwall 10,138,161,20,3,5,1,1,0,10
Cornwall 11,241,234,27,7,11,4,3,0,25
Cornwall 12,221,161,19,5,3,2,0,0,17
Cornwall 13,145,98,13,6,8,4,4,0,16
Cornwall 14,179,184,27,8,12,1,0,0,17
Crawford 1,150,209,23,2,8,2,1,1,13
Crawford 2,122,206,20,0,2,0,2,0,13
Crawford 3,194,297,48,9,7,1,3,0,9
Crawford 4,138,238,30,8,3,3,1,0,17
Crawford 5,147,213,50,3,8,1,4,0,11
Crawford 6,181,279,48,6,11,3,2,0,23
Crawford 7,166,195,37,1,5,3,0,0,12
Crawford 8,137,172,15,3,4,2,1,0,20
Deerpark 1,95,162,30,1,7,4,1,0,9
Deerpark 2,105,192,23,5,7,2,1,0,8
Deerpark 3,134,198,12,2,2,2,4,0,21
Deerpark 4,131,216,40,2,4,0,3,0,15
Deerpark 5,96,252,33,4,6,1,1,0,13
Deerpark 6,87,113,20,3,8,1,0,0,6
Deerpark 7,90,251,17,7,9,1,2,0,12
Goshen 1,195,174,23,6,6,4,2,0,14
Goshen 2,124,62,16,1,4,0,2,0,8
Goshen 3,207,181,29,5,8,3,3,0,9
Goshen 4,278,276,35,11,4,6,5,0,17
Goshen 5,227,256,30,2,4,5,6,0,13
Goshen 6,138,173,23,0,2,2,6,0,7
Goshen 7,217,271,31,4,7,3,6,0,11
Goshen 8,136,191,28,5,5,4,2,0,9
Goshen 9,250,255,55,12,7,4,4,0,8
Goshen 10,198,224,39,6,5,3,4,0,7
Goshen 11,219,140,26,3,5,1,0,0,17
Goshen 12,124,148,19,2,2,0,1,0,6
Goshen 13,23,14,3,1,1,0,0,1,2
Greenville 1,122,262,37,2,7,0,3,0,11
Greenville 2,187,277,31,12,6,7,0,0,21
Greenville 3,103,198,24,3,2,3,3,0,10
Greenville 4,155,220,39,1,3,0,1,0,10
