county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Bronx County,001~77,123,5,3,0,3,0,0,0,122,5,2,3,0,0,0,123,4,2,2,2,0,0,1,1,0,Bronx County,001~77
Bronx County,001~78,271,6,1,0,1,0,0,0,264,4,0,1,5,0,0,270,5,0,0,2,1,2,1,0,2,Bronx County,001~78
Bronx County,001~79,224,7,1,0,1,0,0,0,210,6,2,2,3,1,1,226,5,0,1,2,2,1,0,0,2,Bronx County,001~79
Bronx County,001~80,163,30,4,0,12,0,11,0,175,35,6,3,1,1,0,172,36,4,4,2,0,0,0,2,2,Bronx County,001~80
Bronx County,001~81,296,17,0,0,4,0,0,0,290,11,1,5,3,0,0,313,9,1,0,6,2,1,0,0,0,Bronx County,001~81
Bronx County,001~82,132,202,20,0,90,0,13,0,181,227,36,9,4,0,0,158,239,41,3,5,3,0,3,1,4,Bronx County,001~82
Bronx County,001~83,359,0,0,0,11,0,2,0,364,6,2,7,1,0,0,366,9,2,1,6,1,1,0,2,3,Bronx County,001~83
Bronx County,001~84,298,7,3,0,10,0,0,0,283,6,0,10,1,0,0,292,11,2,0,8,0,0,0,0,0,Bronx County,001~84
Bronx County,001~85,518,19,1,0,14,0,0,0,517,19,1,9,3,1,0,528,14,0,3,6,4,2,0,0,2,Bronx County,001~85
Bronx County,001~86,223,8,1,0,1,0,0,0,217,6,2,1,0,1,0,224,7,1,1,0,0,0,0,0,0,Bronx County,001~86
Bronx County,001~87,45,1,0,0,1,0,0,0,43,1,0,1,0,0,0,47,0,0,0,1,0,0,0,0,0,Bronx County,001~87
Bronx County,002~77,147,3,0,0,2,0,0,0,142,3,0,2,0,2,0,148,3,0,1,3,1,1,0,0,0,Bronx County,002~77
Bronx County,002~78,199,5,0,0,4,0,0,0,195,5,0,5,2,0,1,203,5,0,1,4,2,0,0,0,0,Bronx County,002~78
Bronx County,002~79,304,10,1,0,3,0,0,0,296,11,0,3,3,1,0,306,12,0,2,1,3,0,1,1,0,Bronx County,002~79
Bronx County,002~80,206,18,3,0,23,0,0,0,214,25,2,5,1,2,0,197,23,0,9,3,1,1,0,4,4,Bronx County,002~80
Bronx County,002~81,274,31,0,0,6,0,0,1,276,26,5,2,2,0,0,285,24,5,4,1,1,0,0,0,2,Bronx County,002~81
Bronx County,002~82,187,128,21,0,49,0,5,0,209,144,21,11,5,0,1,203,150,23,1,8,3,0,1,0,2,Bronx County,002~82
Bronx County,002~83,189,0,0,0,5,0,2,0,193,10,1,5,1,0,0,194,9,1,3,4,2,0,0,0,0,Bronx County,002~83
Bronx County,002~84,290,13,0,0,9,0,0,0,289,13,0,7,1,2,0,299,13,0,2,7,0,1,0,1,3,Bronx County,002~84
Bronx County,002~85,390,28,8,0,8,0,0,0,378,28,4,6,9,0,1,387,30,5,4,5,6,2,0,0,0,Bronx County,002~85
Bronx County,002~86,390,7,3,0,5,0,0,0,378,8,2,5,0,0,0,393,7,2,2,5,0,0,0,1,1,Bronx County,002~86
Bronx County,002~87,262,6,0,0,4,0,0,0,252,5,0,3,4,0,0,263,5,1,3,0,3,1,0,1,3,Bronx County,002~87
Bronx County,003~77,390,10,0,0,9,0,0,0,388,10,1,8,2,3,0,394,10,0,2,7,3,2,0,0,1,Bronx County,003~77
Bronx County,003~78,306,20,8,0,5,0,0,0,304,17,8,5,4,0,0,310,16,5,1,4,1,0,0,0,3,Bronx County,003~78
Bronx County,003~79,353,3,1,0,4,0,0,0,341,4,0,3,4,0,0,351,4,0,3,3,4,0,0,0,0,Bronx County,003~79
Bronx County,003~80,163,183,17,0,49,0,14,0,173,208,21,11,5,2,3,177,208,16,8,9,6,0,1,3,2,Bronx County,003~80
Bronx County,003~81,246,17,0,0,8,0,0,2,241,17,0,8,0,3,0,241,21,1,5,6,0,1,0,1,0,Bronx County,003~81
Bronx County,003~82,94,111,12,0,41,0,10,0,106,137,21,4,3,0,1,91,140,29,6,1,6,0,0,1,0,Bronx County,003~82
Bronx County,003~83,337,0,0,0,7,0,4,0,335,13,3,8,3,0,0,343,13,1,1,7,3,0,0,1,1,Bronx County,003~83
Bronx County,003~84,321,11,2,0,6,0,0,0,308,11,0,1,2,0,1,319,13,0,2,0,2,1,0,0,2,Bronx County,003~84
Bronx County,003~85,359,31,7,0,10,0,0,0,356,26,9,7,3,1,1,362,27,9,3,8,2,2,0,0,1,Bronx County,003~85
Bronx County,003~86,248,9,0,0,3,0,0,0,247,9,0,1,2,0,0,252,9,0,0,1,2,0,0,0,2,Bronx County,003~86
Bronx County,003~87,133,6,0,0,3,0,0,0,126,8,0,3,3,0,0,133,6,0,0,1,3,0,0,0,0,Bronx County,003~87
Bronx County,004~77,282,13,1,0,5,0,0,0,272,15,0,6,1,0,0,281,12,1,2,3,1,1,1,0,0,Bronx County,004~77
Bronx County,004~78,141,4,1,0,3,0,0,0,143,2,1,0,0,0,0,146,1,1,1,1,0,0,0,0,0,Bronx County,004~78
Bronx County,004~79,304,5,0,0,4,0,0,0,294,5,0,3,5,0,0,303,5,1,1,3,4,0,0,0,1,Bronx County,004~79
Bronx County,004~80,76,46,6,0,24,0,5,0,82,59,7,4,2,1,0,86,57,7,1,3,2,1,1,2,1,Bronx County,004~80
Bronx County,004~81,254,16,0,0,5,0,0,2,242,18,4,3,3,0,2,255,18,2,3,5,3,0,1,0,1,Bronx County,004~81
Bronx County,004~82,147,131,8,0,67,0,15,0,181,154,15,4,6,3,3,170,169,13,4,6,4,1,1,0,3,Bronx County,004~82
Bronx County,004~83,172,0,0,0,6,0,0,0,170,7,1,5,2,0,2,174,6,2,1,1,2,0,1,1,0,Bronx County,004~83
Bronx County,004~84,362,16,4,0,9,0,0,0,353,18,3,6,1,2,0,367,16,2,3,5,0,0,1,1,2,Bronx County,004~84
Bronx County,004~85,295,16,5,0,9,0,0,0,291,15,3,8,1,1,0,299,15,4,0,3,1,1,0,1,1,Bronx County,004~85
Bronx County,004~86,182,10,1,0,7,0,0,0,177,12,1,4,0,1,0,183,12,1,2,3,1,1,0,0,0,Bronx County,004~86
Bronx County,004~87,268,10,0,0,2,0,0,0,259,12,0,3,2,0,0,271,9,1,2,1,2,1,0,0,2,Bronx County,004~87
Bronx County,005~77,371,5,0,0,4,0,0,0,360,5,0,3,3,0,0,363,6,0,5,3,1,0,0,1,5,Bronx County,005~77
Bronx County,005~78,238,18,6,0,8,0,0,0,228,22,6,6,3,1,1,235,20,4,1,8,4,0,0,0,2,Bronx County,005~78
Bronx County,005~79,262,4,0,0,0,0,0,0,263,3,1,0,0,0,0,262,4,0,1,0,0,1,0,0,1,Bronx County,005~79
Bronx County,005~80,68,32,8,0,3,0,2,0,72,24,10,1,2,0,1,67,27,11,3,0,2,0,1,0,2,Bronx County,005~80
Bronx County,005~81,345,18,0,0,7,0,0,1,326,17,2,6,1,1,0,348,14,2,4,4,2,4,0,0,1,Bronx County,005~81
Bronx County,005~82,268,140,10,0,61,0,4,0,289,166,12,10,4,0,1,274,175,19,3,6,2,0,0,2,5,Bronx County,005~82
Bronx County,005~83,101,0,0,0,1,0,0,0,103,0,1,1,0,0,0,103,0,0,0,1,0,0,0,0,2,Bronx County,005~83
Bronx County,005~84,193,6,2,0,4,0,0,0,192,6,2,1,0,0,2,195,6,1,0,2,2,0,0,0,2,Bronx County,005~84
Bronx County,005~85,377,14,7,0,7,0,0,0,365,17,7,4,7,3,1,365,19,7,4,6,3,1,0,3,2,Bronx County,005~85
Bronx County,005~86,195,6,0,0,5,0,0,0,193,5,1,1,0,2,0,193,5,0,0,4,2,2,0,0,2,Bronx County,005~86
Bronx County,005~87,215,5,0,0,4,0,0,0,212,5,1,2,0,0,0,218,4,0,4,2,0,0,0,0,0,Bronx County,005~87
Bronx County,006~77,358,13,3,0,12,0,0,0,350,15,0,12,4,0,1,363,16,1,4,9,3,0,0,1,2,Bronx County,006~77
Bronx County,006~78,413,27,5,0,11,0,0,0,398,32,2,9,4,2,1,411,29,3,4,9,5,2,0,0,0,Bronx County,006~78
Bronx County,006~79,245,6,0,0,2,0,0,0,238,7,1,1,0,0,0,239,5,1,5,2,0,0,0,0,3,Bronx County,006~79
Bronx County,006~80,139,61,6,0,18,0,4,0,149,64,6,7,2,0,0,140,67,8,6,6,2,0,0,1,2,Bronx County,006~80
Bronx County,006~81,413,35,0,0,20,0,0,2,405,34,1,12,4,3,0,414,34,1,5,7,4,3,0,2,4,Bronx County,006~81
Bronx County,006~82,215,103,7,0,27,0,1,0,223,108,7,6,5,3,0,216,115,10,1,4,5,2,0,0,2,Bronx County,006~82
Bronx County,006~83,377,0,0,0,3,0,1,0,377,7,2,1,1,0,0,374,8,1,2,2,1,0,0,0,1,Bronx County,006~83
Bronx County,006~84,294,9,1,0,6,0,0,0,286,10,0,4,1,1,0,295,9,0,3,2,2,0,0,2,2,Bronx County,006~84
Bronx County,006~85,190,16,2,0,11,0,0,0,190,15,3,7,3,0,0,189,19,1,3,7,3,0,0,1,2,Bronx County,006~85
