county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Broome County,City of Binghamton 1,286,115,17,0,13,17,7,2,286,115,16,11,13,8,4,243,135,14,14,7,8,3,5,7,12,Broome County,precinct
Broome County,City of Binghamton 10,216,137,9,0,12,7,2,2,215,131,5,16,11,3,1,162,153,16,5,15,5,1,2,10,14,Broome County,precinct
Broome County,City of Binghamton 11,222,104,11,0,20,10,5,2,204,101,13,19,12,6,1,172,128,14,14,16,5,6,1,5,12,Broome County,precinct
Broome County,City of Binghamton 12,304,138,15,0,11,8,2,1,306,119,14,12,8,6,3,257,152,17,5,9,5,3,3,5,15,Broome County,precinct
Broome County,City of Binghamton 13,308,130,19,0,26,22,2,2,306,127,23,27,17,5,4,251,161,25,13,19,12,4,6,4,12,Broome County,precinct
Broome County,City of Binghamton 14,297,161,15,0,13,7,3,0,299,155,18,17,7,3,0,246,185,18,8,9,8,2,0,3,9,Broome County,precinct
Broome County,City of Binghamton 15,310,104,15,0,25,10,3,0,292,104,16,22,9,3,3,258,126,20,12,13,3,4,3,3,5,Broome County,precinct
Broome County,City of Binghamton 16,388,133,15,0,25,18,5,1,387,123,16,27,16,5,2,310,168,16,20,23,12,6,1,9,11,Broome County,precinct
Broome County,City of Binghamton 17,340,106,18,0,30,11,7,0,333,101,16,26,13,10,0,284,126,19,24,19,5,6,1,7,16,Broome County,precinct
Broome County,City of Binghamton 18,249,71,3,0,13,8,5,0,240,72,7,15,5,5,0,209,66,5,16,12,2,4,2,6,13,Broome County,precinct
Broome County,City of Binghamton 19,434,65,6,0,23,4,5,0,416,70,5,18,4,7,4,389,74,4,16,16,3,7,1,11,8,Broome County,precinct
Broome County,City of Binghamton 2,196,75,9,0,4,3,3,1,192,74,7,3,4,4,1,160,86,10,6,3,3,1,2,9,6,Broome County,precinct
Broome County,City of Binghamton 20,319,183,23,0,21,12,4,3,321,168,23,21,12,8,1,252,212,22,15,16,6,4,8,9,12,Broome County,precinct
Broome County,City of Binghamton 21,333,62,8,0,33,7,9,0,323,67,12,33,6,8,3,283,86,13,21,21,2,2,0,6,10,Broome County,precinct
Broome County,City of Binghamton 22,233,26,3,0,13,3,5,0,224,34,4,13,2,5,1,194,36,3,15,13,3,5,0,5,6,Broome County,precinct
Broome County,City of Binghamton 23,534,174,19,0,31,10,8,2,525,163,19,35,12,8,5,449,198,19,29,32,7,5,3,7,15,Broome County,precinct
Broome County,City of Binghamton 24,318,216,31,0,17,8,4,3,322,204,30,15,9,2,4,252,256,32,2,13,6,4,4,12,11,Broome County,precinct
Broome County,City of Binghamton 25,317,149,15,0,15,13,6,0,321,137,18,13,11,7,0,259,173,22,18,7,8,4,2,6,8,Broome County,precinct
Broome County,City of Binghamton 26,322,157,18,0,22,11,5,1,327,142,16,20,11,4,8,253,180,18,10,11,11,6,2,7,21,Broome County,precinct
Broome County,City of Binghamton 27,279,130,12,0,23,14,2,3,280,117,14,22,19,4,3,233,152,14,14,14,12,3,3,7,12,Broome County,precinct
Broome County,City of Binghamton 28,290,115,9,0,14,10,1,1,281,107,11,11,6,3,2,212,142,15,7,9,7,2,3,6,17,Broome County,precinct
Broome County,City of Binghamton 29,233,147,14,0,15,14,1,1,243,131,14,9,14,2,4,189,170,18,6,7,6,0,3,6,9,Broome County,precinct
Broome County,City of Binghamton 3,165,96,13,0,24,14,2,1,165,94,13,22,13,6,1,145,104,12,9,15,8,2,5,2,11,Broome County,precinct
Broome County,City of Binghamton 30,243,141,12,0,12,12,1,4,232,132,12,13,14,1,6,204,154,15,6,5,7,1,4,3,11,Broome County,precinct
Broome County,City of Binghamton 31,262,168,24,0,13,15,2,3,260,157,28,12,13,5,2,211,188,27,6,10,6,2,1,5,12,Broome County,precinct
Broome County,City of Binghamton 32,243,91,9,0,26,8,5,1,239,87,11,26,11,3,2,210,97,17,7,17,9,3,1,7,6,Broome County,precinct
