county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Cayuga County,City of Auburn 1 LD 10,207,184,18,0,12,6,3,4,239,134,21,12,10,2,5,196,154,29,11,3,10,0,1,12,14,Cayuga County,City of Auburn 1 LD 10
Cayuga County,City of Auburn 1 LD 11,253,296,34,0,12,11,8,1,336,218,25,16,12,5,6,269,256,31,10,3,3,2,5,6,21,Cayuga County,City of Auburn 1 LD 11
Cayuga County,City of Auburn 1 LD 12,274,268,36,0,12,14,6,4,318,205,39,12,19,6,4,233,250,34,12,4,6,6,5,25,15,Cayuga County,City of Auburn 1 LD 12
Cayuga County,City of Auburn 1 LD 13,29,21,3,0,1,3,0,1,37,13,3,0,1,0,0,24,24,3,0,0,2,0,0,4,0,Cayuga County,City of Auburn 1 LD 13
Cayuga County,City of Auburn 1 LD 14,224,196,25,0,3,4,3,4,274,129,20,10,10,1,4,208,162,23,11,3,3,1,3,17,13,Cayuga County,City of Auburn 1 LD 14
Cayuga County,City of Auburn 1 LD 15,129,108,7,0,6,6,3,2,149,82,10,8,5,2,1,133,84,7,8,5,0,0,0,3,11,Cayuga County,City of Auburn 1 LD 15
Cayuga County,City of Auburn 2 LD 10,160,190,18,0,7,13,4,0,210,137,18,7,8,5,1,155,159,17,8,5,2,1,5,20,19,Cayuga County,City of Auburn 2 LD 10
Cayuga County,City of Auburn 2 LD 11,255,263,34,0,12,16,2,2,336,165,32,12,16,1,3,262,209,43,14,8,11,1,1,11,16,Cayuga County,City of Auburn 2 LD 11
Cayuga County,City of Auburn 2 LD 12,250,200,25,0,17,7,2,8,283,149,24,20,15,3,2,201,184,32,9,8,9,0,8,16,24,Cayuga County,City of Auburn 2 LD 12
Cayuga County,City of Auburn 2 LD 13,272,224,31,0,14,15,6,2,306,181,29,10,14,8,1,228,205,35,10,7,11,2,6,17,27,Cayuga County,City of Auburn 2 LD 13
Cayuga County,City of Auburn 2 LD 14,326,293,33,0,6,20,2,1,391,208,36,10,18,1,4,307,257,35,10,5,8,1,7,16,18,Cayuga County,City of Auburn 2 LD 14
Cayuga County,City of Auburn 2 LD 15,99,113,12,0,7,6,1,1,124,88,8,5,8,1,3,110,85,7,5,2,4,1,3,5,6,Cayuga County,City of Auburn 2 LD 15
Cayuga County,City of Auburn 3 LD 10,85,63,7,0,3,5,3,0,87,53,6,5,7,2,2,64,59,9,1,0,2,2,1,5,14,Cayuga County,City of Auburn 3 LD 10
Cayuga County,City of Auburn 3 LD 11,277,267,40,0,15,19,4,1,331,194,38,15,25,3,3,262,224,44,9,6,10,3,7,14,18,Cayuga County,City of Auburn 3 LD 11
Cayuga County,City of Auburn 3 LD 12,258,220,28,0,5,12,3,0,310,159,23,11,9,0,2,242,188,29,10,3,4,2,2,17,8,Cayuga County,City of Auburn 3 LD 12
Cayuga County,City of Auburn 3 LD 13,247,180,17,0,13,7,14,0,287,134,20,10,11,9,1,213,169,17,17,4,7,5,5,12,11,Cayuga County,City of Auburn 3 LD 13
Cayuga County,City of Auburn 3 LD 14,143,155,19,0,6,6,2,0,173,109,15,9,13,0,2,133,131,17,5,5,4,0,5,11,9,Cayuga County,City of Auburn 3 LD 14
Cayuga County,City of Auburn 3 LD 15,201,212,20,0,8,10,8,4,258,147,17,17,13,6,3,197,183,17,9,7,10,3,4,16,17,Cayuga County,City of Auburn 3 LD 15
Cayuga County,Town of Aurelius 1 LD 5,211,291,44,0,4,20,5,2,245,233,38,8,19,4,2,176,261,41,9,1,13,4,2,14,19,Cayuga County,Town of Aurelius 1 LD 5
Cayuga County,Town of Aurelius 2 LD 5,161,282,34,0,14,12,1,2,212,223,30,12,12,4,1,134,254,38,8,4,7,1,2,18,26,Cayuga County,Town of Aurelius 2 LD 5
Cayuga County,Town of Brutus 1 LD 4,291,498,59,0,13,21,4,6,345,424,53,14,27,10,3,270,443,49,16,6,12,4,4,19,35,Cayuga County,Town of Brutus 1 LD 4
Cayuga County,Town of Brutus 2 LD 4,205,342,55,0,12,16,9,4,239,287,57,16,22,8,2,166,327,55,21,3,8,5,5,20,19,Cayuga County,Town of Brutus 2 LD 4
Cayuga County,Town of Cato 1 LD 2,252,560,78,0,13,15,5,5,305,495,74,13,15,3,6,195,523,70,19,4,9,1,5,26,39,Cayuga County,Town of Cato 1 LD 2
Cayuga County,Town of Conquest 1 LD 2,145,329,56,0,6,7,5,1,183,273,57,13,8,5,1,127,297,55,5,0,5,0,4,24,21,Cayuga County,Town of Conquest 1 LD 2
Cayuga County,Town of Fleming 1 LD 5,288,364,52,0,10,16,6,3,365,277,47,11,13,5,3,265,349,50,14,2,6,1,2,18,14,Cayuga County,Town of Fleming 1 LD 5
Cayuga County,Town of Fleming 2 LD 5,179,226,46,0,8,16,5,3,203,185,49,10,19,7,4,154,218,43,11,5,8,2,3,11,9,Cayuga County,Town of Fleming 2 LD 5
Cayuga County,Town of Genoa 1 LD 8,298,360,45,0,15,9,8,2,362,280,43,18,17,9,4,261,321,37,15,10,9,3,5,22,31,Cayuga County,Town of Genoa 1 LD 8
Cayuga County,Town of Ira 1 LD 2,169,478,91,0,11,22,1,2,231,408,82,11,21,3,5,158,420,84,13,6,12,1,6,20,41,Cayuga County,Town of Ira 1 LD 2
Cayuga County,Town of Ledyard 1 LD 7,287,277,53,0,29,5,13,2,325,224,47,33,12,8,5,262,242,42,22,27,7,5,0,21,27,Cayuga County,Town of Ledyard 1 LD 7
