county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Chautauqua County,Arkwright,140,215,49,0,13,10,2,0,173,196,47,0,15,1,1,101,236,55,10,7,6,1,1,5,12,Chautauqua County,precinct
Chautauqua County,Busti 1,333,543,53,0,11,15,10,0,386,488,53,0,19,7,5,286,578,44,5,7,15,2,7,6,24,Chautauqua County,precinct
Chautauqua County,Busti 2,232,343,50,0,8,10,7,0,284,296,47,0,19,5,1,218,333,45,5,3,15,6,2,6,19,Chautauqua County,precinct
Chautauqua County,Busti 3,248,328,34,0,8,7,5,0,287,284,33,0,17,2,2,230,312,37,3,2,10,2,2,7,10,Chautauqua County,precinct
Chautauqua County,Busti 4,123,284,30,0,5,4,1,0,151,251,30,0,8,4,1,111,268,33,5,1,4,0,2,4,17,Chautauqua County,precinct
Chautauqua County,Busti 5,124,356,39,0,9,6,3,0,171,308,40,0,12,2,1,112,352,36,7,3,3,2,1,4,20,Chautauqua County,precinct
Chautauqua County,Carroll 1,168,444,64,0,17,16,9,0,232,376,65,0,27,8,3,126,457,72,6,7,7,4,8,4,39,Chautauqua County,precinct
Chautauqua County,Carroll 2,142,437,79,0,7,7,8,0,207,385,71,0,10,4,1,133,434,70,4,2,8,3,3,1,30,Chautauqua County,precinct
Chautauqua County,Charlotte,154,333,59,0,11,15,5,0,194,289,62,0,16,6,2,117,334,65,9,4,9,5,8,3,25,Chautauqua County,precinct
Chautauqua County,Chautauqua 1,250,299,31,0,14,9,6,0,304,239,31,0,19,6,1,218,309,35,4,7,11,1,3,4,12,Chautauqua County,precinct
Chautauqua County,Chautauqua 2,143,235,37,0,10,6,6,0,186,199,39,0,14,4,0,117,243,39,9,6,9,2,3,0,18,Chautauqua County,precinct
Chautauqua County,Chautauqua 3,239,221,34,0,10,7,5,0,264,207,32,0,11,2,1,210,232,37,5,4,3,2,4,8,15,Chautauqua County,precinct
Chautauqua County,Chautauqua 4,23,98,16,0,0,4,1,0,38,84,16,0,3,0,0,18,98,15,2,0,0,0,0,1,6,Chautauqua County,precinct
Chautauqua County,Cherry Creek,82,205,33,0,3,6,0,0,94,190,33,0,2,0,1,67,212,36,2,2,1,0,1,1,13,Chautauqua County,precinct
Chautauqua County,Clymer,93,341,33,0,2,7,3,0,126,316,34,0,3,1,2,75,348,30,1,2,3,0,0,4,10,Chautauqua County,precinct
Chautauqua County,Dunkirk 1-1,97,30,4,0,4,1,2,0,104,20,6,0,4,2,2,94,29,4,1,1,5,1,0,2,2,Chautauqua County,precinct
Chautauqua County,Dunkirk 1-2,206,128,14,0,12,5,1,0,240,99,15,0,6,2,3,189,115,21,5,3,4,1,2,5,13,Chautauqua County,precinct
Chautauqua County,Dunkirk 1-3,195,111,14,0,6,8,2,0,221,88,11,0,10,3,0,156,134,22,2,2,3,3,5,0,8,Chautauqua County,precinct
Chautauqua County,Dunkirk 2-1,169,113,20,0,12,4,4,0,183,98,15,0,9,7,2,142,113,24,3,8,5,2,2,4,12,Chautauqua County,precinct
Chautauqua County,Dunkirk 2-2,349,221,22,0,11,20,12,0,407,172,22,0,19,7,2,312,233,29,6,6,11,6,5,3,17,Chautauqua County,precinct
Chautauqua County,Dunkirk 2-3,113,123,14,0,4,2,1,0,128,106,13,0,5,3,1,102,126,13,3,2,2,1,0,1,10,Chautauqua County,precinct
Chautauqua County,Dunkirk 3-1,95,36,3,0,8,3,3,0,107,30,5,0,1,3,0,85,35,8,3,6,0,1,2,1,4,Chautauqua County,precinct
Chautauqua County,Dunkirk 3-2,124,62,12,0,3,5,4,0,133,55,10,0,6,4,2,96,75,15,3,2,5,2,2,4,7,Chautauqua County,precinct
Chautauqua County,Dunkirk 3-3,181,163,22,0,6,6,6,0,205,136,22,0,10,5,1,164,171,19,3,0,4,2,3,3,12,Chautauqua County,precinct
Chautauqua County,Dunkirk 4-1,130,61,8,0,10,3,2,0,143,47,6,0,6,2,1,126,58,7,5,3,4,3,0,1,8,Chautauqua County,precinct
Chautauqua County,Dunkirk 4-2,122,88,15,0,11,6,2,0,142,76,15,0,9,1,0,103,99,20,3,4,5,1,0,1,6,Chautauqua County,precinct
Chautauqua County,Dunkirk 4-3,103,75,17,0,8,9,4,0,123,66,12,0,12,2,1,80,96,20,4,0,3,0,2,0,11,Chautauqua County,precinct
Chautauqua County,Dunkirk Town 1,89,92,16,0,7,6,3,0,107,85,17,0,7,1,2,73,108,16,2,0,5,0,2,3,7,Chautauqua County,precinct
Chautauqua County,Dunkirk Town 2,103,80,7,0,8,2,0,0,124,69,9,0,4,1,1,104,81,10,2,4,2,0,0,0,5,Chautauqua County,precinct
Chautauqua County,Ellery 1,141,389,37,0,5,9,2,0,169,354,42,0,19,0,0,102,405,44,5,1,6,2,3,4,16,Chautauqua County,precinct
Chautauqua County,Ellery 2,202,307,39,0,6,12,3,0,219,280,42,0,17,2,0,175,320,36,5,4,8,2,3,5,8,Chautauqua County,precinct
Chautauqua County,Ellery 2V,56,95,7,0,1,7,3,0,74,85,7,0,10,0,0,54,101,9,2,0,4,0,1,5,1,Chautauqua County,precinct
Chautauqua County,Ellery 3,226,362,31,0,5,9,5,0,270,304,34,0,13,5,2,209,352,36,4,2,10,1,0,7,13,Chautauqua County,precinct
Chautauqua County,Ellicott 1-1,128,151,13,0,7,12,4,0,154,133,14,0,12,0,1,118,155,22,4,2,6,0,2,0,12,Chautauqua County,precinct
Chautauqua County,Ellicott 1-2,151,167,30,0,12,9,4,0,172,152,24,0,14,3,4,141,164,28,3,4,5,0,9,8,11,Chautauqua County,precinct
Chautauqua County,Ellicott 2-1,284,373,33,0,9,13,7,0,342,322,33,0,11,3,2,248,382,44,2,7,7,4,3,15,9,Chautauqua County,precinct
Chautauqua County,Ellicott 2-2,71,125,18,0,2,7,2,0,88,114,13,0,9,1,1,63,133,19,0,2,2,0,3,2,6,Chautauqua County,precinct
Chautauqua County,Ellicott 2-3,38,56,16,0,2,1,1,0,39,54,18,0,2,1,0,23,65,17,1,1,2,1,0,1,4,Chautauqua County,precinct
Chautauqua County,Ellicott 3-1,164,210,18,0,6,14,3,0,199,181,11,0,20,6,0,119,222,16,10,3,8,2,2,2,28,Chautauqua County,precinct
Chautauqua County,Ellicott 3-2,92,229,27,0,7,4,3,0,129,189,30,0,6,2,2,72,229,32,1,4,2,0,3,3,21,Chautauqua County,precinct
Chautauqua County,Ellicott 4-1,100,150,12,0,8,6,2,0,121,133,14,0,6,3,1,74,162,12,0,3,2,0,0,3,21,Chautauqua County,precinct
Chautauqua County,Ellicott 4-2,7,14,6,0,0,0,0,0,6,15,7,0,0,0,0,6,14,5,0,0,0,0,0,0,3,Chautauqua County,precinct
