county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Chemung County,Ashland 1501,125,362,24,0,6,12,0,0,151,327,18,10,10,5,2,98,382,23,3,0,5,1,6,5,10,Chemung County,precinct
Chemung County,Baldwin 0601,82,216,21,0,5,2,1,0,90,182,23,4,4,0,1,50,206,26,4,1,2,0,1,2,27,Chemung County,precinct
Chemung County,Big Flats 0201,148,189,17,0,2,2,4,0,160,169,17,5,4,5,2,127,173,17,5,2,5,2,1,2,30,Chemung County,precinct
Chemung County,Big Flats 0202,177,159,17,0,2,5,0,0,171,154,16,5,6,1,2,127,173,25,4,1,6,0,2,2,23,Chemung County,precinct
Chemung County,Big Flats 0203,232,324,24,0,5,6,8,0,254,284,30,6,12,3,2,186,324,26,5,1,9,3,5,4,34,Chemung County,precinct
Chemung County,Big Flats 0204,131,191,23,0,6,5,1,0,142,178,20,4,3,2,3,101,202,23,6,1,2,1,4,4,14,Chemung County,precinct
Chemung County,Big Flats 0205,223,259,37,0,6,6,4,0,253,222,35,6,7,4,1,179,265,37,4,3,3,3,4,5,26,Chemung County,precinct
Chemung County,Big Flats 0206,227,273,23,0,5,3,10,0,250,247,23,8,9,1,1,188,275,21,8,5,6,3,5,7,25,Chemung County,precinct
Chemung County,Big Flats 0405,322,363,24,0,9,10,3,0,352,325,23,10,12,1,2,260,389,25,6,3,7,3,4,7,26,Chemung County,precinct
Chemung County,Big Flats 0706,54,89,7,0,5,4,0,0,59,72,7,9,5,1,0,48,85,7,3,2,1,0,1,0,9,Chemung County,precinct
Chemung County,Catlin 0101,139,287,29,0,2,10,2,0,150,258,23,5,9,2,4,103,287,26,3,2,4,1,3,5,30,Chemung County,precinct
Chemung County,Catlin 0105,111,338,25,0,4,9,8,0,127,295,26,8,11,5,1,84,316,27,6,1,7,0,4,4,39,Chemung County,precinct
Chemung County,Chemung 0602,113,332,32,0,6,5,5,0,118,319,27,8,5,3,0,94,327,29,3,2,0,1,0,7,27,Chemung County,precinct
Chemung County,Chemung 0606,118,204,16,0,7,7,0,0,126,185,18,7,5,0,2,93,200,14,4,3,4,0,1,4,26,Chemung County,precinct
Chemung County,Elmira 0901,170,151,11,0,8,5,3,0,182,124,15,6,7,1,1,139,158,16,1,3,2,1,0,6,19,Chemung County,precinct
Chemung County,Elmira 0902,131,151,8,0,7,4,6,0,141,127,14,6,7,4,2,104,164,11,2,2,5,3,5,1,11,Chemung County,precinct
Chemung County,Elmira 0903,90,66,8,0,5,3,1,0,98,57,7,7,3,2,1,84,63,6,3,2,3,1,0,1,12,Chemung County,precinct
Chemung County,Elmira 0904,69,56,8,0,4,2,1,0,68,49,9,4,5,0,0,64,52,7,2,1,2,1,0,0,7,Chemung County,precinct
Chemung County,Elmira 0905,17,39,1,0,0,1,0,0,27,25,2,1,0,1,1,15,37,0,1,0,0,0,0,0,6,Chemung County,precinct
Chemung County,Elmira 0906,63,50,2,0,2,3,0,0,65,48,1,1,2,0,1,51,51,3,0,1,2,0,3,2,7,Chemung County,precinct
Chemung County,Elmira 0907,111,67,5,0,7,1,0,0,113,60,5,5,2,2,1,97,74,7,2,1,1,0,0,0,11,Chemung County,precinct
Chemung County,Elmira 1001,184,114,8,0,5,5,3,0,200,95,8,5,4,5,1,156,115,12,4,2,0,2,2,2,21,Chemung County,precinct
Chemung County,Elmira 1002,165,89,8,0,7,3,5,0,175,74,4,7,7,5,2,138,95,6,4,4,6,6,0,2,12,Chemung County,precinct
Chemung County,Elmira 1003,12,13,0,0,0,1,0,0,14,10,0,1,0,1,0,12,11,1,0,1,1,0,0,1,0,Chemung County,precinct
Chemung County,Elmira 1004,56,20,0,0,2,2,2,0,58,22,0,1,1,1,1,44,26,2,0,2,1,0,2,1,4,Chemung County,precinct
Chemung County,Elmira 1005,5,7,1,0,0,1,0,0,5,8,1,0,0,0,1,4,8,1,0,0,0,0,1,0,1,Chemung County,precinct
Chemung County,Elmira 1006,162,181,13,0,10,4,3,0,186,149,12,7,10,1,2,141,186,15,2,4,3,1,1,1,17,Chemung County,precinct
Chemung County,Elmira 1007,164,134,5,0,6,6,4,0,167,121,8,7,10,1,0,135,139,11,10,0,4,3,2,1,15,Chemung County,precinct
Chemung County,Elmira 1101,189,133,9,0,13,7,5,0,203,111,9,12,6,4,4,159,137,9,10,7,2,3,3,2,23,Chemung County,precinct
Chemung County,Elmira 1102,121,68,6,0,3,4,2,0,120,55,10,3,5,1,2,108,60,8,1,5,1,0,1,1,22,Chemung County,precinct
Chemung County,Elmira 1103,116,58,6,0,2,4,3,0,116,60,7,3,2,1,1,109,58,9,5,1,2,0,0,1,6,Chemung County,precinct
Chemung County,Elmira 1104,14,14,1,0,0,1,1,0,17,13,1,1,2,1,0,13,13,1,5,0,1,0,0,0,0,Chemung County,precinct
Chemung County,Elmira 1105,173,74,12,0,6,3,3,0,189,64,10,8,5,1,2,178,70,10,6,3,3,0,2,1,8,Chemung County,precinct
Chemung County,Elmira 1106,11,3,0,0,2,0,0,0,9,3,1,1,2,0,0,10,5,0,0,0,1,0,0,0,0,Chemung County,precinct
Chemung County,Elmira 1201,157,143,11,0,7,4,5,0,170,121,11,11,4,2,3,119,146,17,1,5,3,0,1,1,29,Chemung County,precinct
Chemung County,Elmira 1202,68,58,4,0,4,5,1,0,70,53,4,5,4,0,1,64,56,6,2,1,2,0,2,1,5,Chemung County,precinct
Chemung County,Elmira 1203,66,64,12,0,9,6,1,0,71,57,7,7,7,2,2,59,61,9,5,3,4,0,0,2,17,Chemung County,precinct
Chemung County,Elmira 1204,135,90,8,0,6,7,1,0,136,77,9,8,4,4,0,99,97,17,5,1,2,0,4,3,19,Chemung County,precinct
Chemung County,Elmira 1205,180,174,20,0,13,5,2,0,184,158,20,9,9,1,1,127,183,28,4,7,6,1,4,4,22,Chemung County,precinct
Chemung County,Elmira 1206,7,4,0,0,2,1,0,0,7,5,0,1,1,0,0,6,5,0,2,1,0,0,0,0,1,Chemung County,precinct
Chemung County,Elmira 1301,43,18,2,0,1,0,0,0,40,16,2,1,0,2,0,36,19,1,0,1,1,0,0,0,3,Chemung County,precinct
