county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Clinton County,Altona,304,400,40,9,23,15,4,3,379,303,40,26,14,3,4,225,444,32,7,9,7,1,13,8,29,Clinton County,precinct
Clinton County,Ausable001,193,238,14,8,7,6,3,1,214,200,13,4,18,2,5,167,228,17,5,3,14,1,3,3,21,Clinton County,precinct
Clinton County,Ausable002,217,215,13,3,6,9,4,1,258,152,12,13,13,2,2,182,214,18,9,3,4,2,7,5,14,Clinton County,precinct
Clinton County,Beekmantown001,185,192,8,1,10,6,2,3,207,146,14,15,15,0,0,164,187,18,1,4,9,1,2,6,13,Clinton County,precinct
Clinton County,Beekmantown002,196,226,13,3,11,14,3,3,242,158,9,15,16,5,2,177,222,13,6,7,6,0,2,2,15,Clinton County,precinct
Clinton County,Beekmantown003,334,246,17,8,21,18,7,4,365,195,21,22,23,5,3,299,238,26,5,13,15,4,8,7,15,Clinton County,precinct
Clinton County,Beekmantown004,259,304,22,2,14,10,3,2,306,233,21,17,19,3,2,204,315,32,10,6,13,2,4,5,11,Clinton County,precinct
Clinton County,Black Brook001,154,209,11,7,4,5,3,2,178,155,12,11,7,4,1,132,206,13,3,3,2,3,1,3,16,Clinton County,precinct
Clinton County,Black Brook002,68,87,5,2,3,3,1,1,73,73,4,8,2,1,1,55,88,8,2,1,1,1,5,1,2,Clinton County,precinct
Clinton County,Champlain001,266,261,19,4,9,13,5,1,311,197,14,12,20,2,1,242,260,17,6,4,10,3,3,6,8,Clinton County,precinct
Clinton County,Champlain002,272,345,21,4,13,12,2,2,343,245,18,19,17,5,3,265,314,27,7,7,12,2,5,4,11,Clinton County,precinct
Clinton County,Champlain003,288,318,21,4,18,12,7,1,342,239,18,23,17,8,5,267,308,28,8,4,9,4,6,5,14,Clinton County,precinct
Clinton County,Chazy001,355,354,25,12,20,9,6,2,393,283,21,13,20,9,2,271,386,37,9,5,10,4,5,9,23,Clinton County,precinct
Clinton County,Chazy002,328,347,19,12,24,25,3,4,412,238,19,20,29,3,1,275,357,37,11,6,15,2,3,7,24,Clinton County,precinct
Clinton County,City of Plattsburgh W1 D1,130,67,6,3,9,5,2,0,149,46,3,9,4,3,0,123,66,9,3,4,2,1,1,3,7,Clinton County,precinct
Clinton County,City of Plattsburgh W1 D2,525,271,14,2,24,11,6,4,552,215,14,27,22,7,5,481,247,18,14,21,16,3,6,6,19,Clinton County,precinct
Clinton County,City of Plattsburgh W1 D3,25,26,2,0,3,3,0,0,27,20,3,1,5,0,0,26,24,2,0,0,4,0,0,0,1,Clinton County,precinct
