county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Columbia County,Ancram-1,247,136,14,10,8,5,5,1,255,134,10,12,13,1,2,200,183,18,6,5,5,0,5,3,3,Columbia County,precinct
Columbia County,Ancram-2,180,133,10,6,10,2,1,0,187,127,13,9,2,6,1,143,165,14,6,5,4,2,3,1,2,Columbia County,precinct
Columbia County,Austerlitz-1,320,146,26,3,16,4,5,3,317,138,26,19,10,6,3,282,170,25,13,10,3,6,5,0,5,Columbia County,precinct
Columbia County,Austerlitz-2,330,113,17,9,21,1,5,0,324,110,18,23,8,8,0,278,135,21,17,14,6,4,4,7,5,Columbia County,precinct
Columbia County,Canaan-1,313,110,22,1,24,8,9,1,310,102,26,24,21,4,4,282,127,28,4,19,10,4,3,7,4,Columbia County,precinct
Columbia County,Canaan-2,268,134,20,4,22,8,10,0,275,124,17,25,9,15,3,213,157,24,16,21,8,5,4,5,10,Columbia County,precinct
Columbia County,Chatham-1,497,188,48,6,30,12,14,1,494,179,51,29,21,9,4,411,221,50,33,16,9,9,6,21,11,Columbia County,precinct
Columbia County,Chatham-2,347,160,22,7,30,2,8,0,362,150,22,29,9,6,1,272,196,24,27,19,6,4,2,3,14,Columbia County,precinct
Columbia County,Chatham-3,509,286,62,13,39,6,18,2,520,259,62,40,23,14,9,420,330,67,32,26,8,9,11,16,11,Columbia County,precinct
Columbia County,Claverack-1,218,226,29,17,14,4,3,0,233,212,24,20,11,6,1,161,279,35,11,7,2,3,3,3,3,Columbia County,precinct
Columbia County,Claverack-2,267,228,51,10,22,5,3,1,288,228,47,21,12,4,4,212,277,56,4,14,7,4,10,4,10,Columbia County,precinct
Columbia County,Claverack-3,249,182,29,17,15,5,7,2,267,169,27,16,17,6,2,193,224,34,18,9,4,5,11,2,5,Columbia County,precinct
Columbia County,Claverack-4,320,239,31,14,25,4,12,1,340,225,34,27,10,8,3,265,282,37,21,19,4,6,4,6,9,Columbia County,precinct
Columbia County,Claverack-5,165,161,12,5,11,2,3,0,172,148,11,12,7,3,1,140,182,15,7,11,1,0,0,0,2,Columbia County,precinct
Columbia County,Clermont-1,416,328,73,14,31,8,5,3,422,325,79,29,16,7,7,301,450,82,14,13,7,1,13,6,11,Columbia County,precinct
Columbia County,Copake-1,498,274,42,16,20,7,5,0,530,247,50,20,12,6,4,423,329,55,18,16,6,4,6,5,5,Columbia County,precinct
Columbia County,Copake-2,323,256,42,14,30,5,7,0,341,239,43,26,28,4,0,265,299,55,19,11,12,4,7,2,3,Columbia County,precinct
Columbia County,Gallatin-1,351,269,42,6,37,5,4,1,364,253,38,36,8,8,2,302,325,42,11,24,2,4,4,5,3,Columbia County,precinct
Columbia County,Germantown-1,291,223,23,8,24,5,3,2,304,214,24,27,9,4,0,224,282,34,4,24,2,3,5,0,3,Columbia County,precinct
Columbia County,Germantown-2,272,159,23,5,15,7,4,1,270,162,24,13,14,6,2,202,222,31,12,4,7,1,7,3,2,Columbia County,precinct
Columbia County,Ghent-1,447,232,46,11,29,5,6,1,458,200,47,30,22,8,4,331,278,56,30,17,6,6,11,13,16,Columbia County,precinct
Columbia County,Ghent-2,495,337,60,7,29,7,13,0,517,310,64,31,14,14,3,416,387,71,24,26,5,2,3,10,11,Columbia County,precinct
Columbia County,Ghent-3,357,369,53,13,24,15,8,0,398,330,56,26,17,6,4,285,416,76,13,11,7,5,3,5,12,Columbia County,precinct
Columbia County,Greenport-1,309,241,44,11,19,8,3,2,323,209,42,20,18,7,4,252,289,49,6,9,8,4,3,8,6,Columbia County,precinct
Columbia County,Greenport-2,237,169,25,8,17,5,7,1,240,156,30,23,9,6,2,196,206,35,11,13,6,4,2,1,2,Columbia County,precinct
Columbia County,Greenport-3,250,295,31,8,15,13,4,1,269,260,33,17,24,1,2,192,358,38,3,6,8,1,7,3,8,Columbia County,precinct
Columbia County,Hillsdale-1,362,123,28,8,36,4,7,1,367,118,25,34,17,8,1,323,150,28,21,23,5,4,4,4,1,Columbia County,precinct
Columbia County,Hillsdale-2,333,100,22,3,27,4,3,1,340,89,23,30,7,4,3,298,120,23,11,22,2,1,3,7,3,Columbia County,precinct
Columbia County,Hudson 1-1,465,43,13,3,41,2,4,1,456,36,10,42,12,4,3,412,56,11,15,34,7,4,4,7,9,Columbia County,precinct
Columbia County,Hudson 2-1,311,16,3,1,16,2,6,1,288,15,3,21,4,4,1,264,27,5,5,9,4,3,2,1,6,Columbia County,precinct
Columbia County,Hudson 3-1,364,87,13,4,33,3,3,1,363,74,17,31,8,4,2,312,108,14,18,20,6,7,3,3,7,Columbia County,precinct
Columbia County,Hudson 4-1,344,59,11,3,17,3,2,0,333,58,7,19,6,2,3,307,75,9,10,15,2,2,2,2,5,Columbia County,precinct
Columbia County,Hudson 5-1,308,146,25,10,24,5,4,2,319,128,25,20,14,8,2,251,192,36,7,17,9,5,4,1,2,Columbia County,precinct
