county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Delaware County,AN 1,217,173,18,7,11,1,3,1,225,165,15,11,5,4,5,190,193,15,10,8,1,2,2,2,13,Delaware County,precinct
Delaware County,AN 2,87,106,5,1,8,3,1,0,88,104,5,8,3,0,0,78,111,5,3,6,1,1,0,1,6,Delaware County,precinct
Delaware County,BV 1,190,146,15,6,11,4,4,4,186,144,19,17,4,3,4,170,148,20,13,10,0,3,2,0,20,Delaware County,precinct
Delaware County,CO 1,102,210,11,2,8,2,0,1,116,191,16,7,6,2,0,89,213,9,2,3,3,1,4,2,12,Delaware County,precinct
Delaware County,CO 2,70,96,10,2,2,0,0,1,70,97,8,3,2,1,0,55,105,9,2,3,0,0,2,1,5,Delaware County,precinct
Delaware County,CO 3,45,79,1,1,0,1,3,0,53,71,2,0,1,1,1,42,81,3,0,1,1,2,0,0,2,Delaware County,precinct
Delaware County,CO 4,36,101,9,3,3,1,2,1,40,106,10,4,0,2,2,28,111,13,2,1,0,0,1,1,8,Delaware County,precinct
Delaware County,DA 1,111,192,25,8,8,2,5,0,110,199,31,5,3,3,2,84,198,30,0,0,3,2,0,8,28,Delaware County,precinct
Delaware County,DA 2,242,310,14,13,8,5,12,0,254,294,22,11,10,8,1,206,327,22,12,5,3,8,0,3,24,Delaware County,precinct
Delaware County,DL 1,198,169,19,6,7,2,5,0,204,154,22,9,7,3,2,155,183,14,10,1,4,3,2,4,25,Delaware County,precinct
Delaware County,DL 2,154,143,14,3,7,1,8,1,161,137,16,9,7,3,3,121,155,14,5,1,4,5,0,2,29,Delaware County,precinct
Delaware County,DL 3,165,154,11,9,13,4,5,0,165,142,18,11,9,3,3,127,168,17,8,5,4,2,4,2,21,Delaware County,precinct
Delaware County,DL 4,185,100,11,7,7,4,2,1,191,93,12,7,6,4,1,151,106,10,7,5,2,1,5,6,22,Delaware County,precinct
Delaware County,DP 1,108,217,11,8,5,1,0,0,110,218,11,5,3,1,1,76,245,20,3,4,1,0,0,2,5,Delaware County,precinct
Delaware County,DP 2,57,93,6,6,3,2,2,1,57,95,8,5,3,2,1,46,98,7,6,2,1,2,3,0,7,Delaware County,precinct
Delaware County,FR 1,127,170,14,5,7,3,2,0,139,156,15,9,5,3,0,110,161,15,6,8,4,4,0,1,15,Delaware County,precinct
Delaware County,FR 2,121,122,8,2,13,4,8,0,119,120,11,15,7,8,0,95,127,10,8,7,5,5,2,3,18,Delaware County,precinct
Delaware County,FR 3,185,216,21,1,7,3,0,1,169,220,21,12,5,2,0,133,231,27,10,4,2,0,3,5,16,Delaware County,precinct
Delaware County,HM 1,187,250,22,13,15,3,7,1,192,243,31,13,8,6,0,134,276,26,12,10,1,3,1,9,38,Delaware County,precinct
Delaware County,HN 1,57,96,4,2,5,2,2,0,57,89,6,3,6,1,0,47,104,4,2,2,3,1,0,1,3,Delaware County,precinct
Delaware County,HN 2,37,94,2,0,6,5,2,0,40,92,5,5,3,2,0,32,101,1,0,0,1,4,0,1,5,Delaware County,precinct
Delaware County,HN 3,100,189,5,4,6,1,1,0,108,188,6,2,2,1,0,79,205,7,4,0,2,2,2,3,5,Delaware County,precinct
Delaware County,HN 4,27,105,3,1,4,1,0,0,28,98,3,3,4,1,0,25,107,1,2,2,1,1,0,1,2,Delaware County,precinct
Delaware County,HN 5,27,84,2,1,2,0,0,0,28,82,4,5,1,0,1,16,94,5,3,0,1,0,0,0,2,Delaware County,precinct
Delaware County,HN 6,42,103,3,1,1,0,2,0,44,96,3,1,0,1,1,36,109,3,0,1,1,1,2,0,2,Delaware County,precinct
Delaware County,HR 1,217,325,36,12,6,6,3,1,217,312,43,9,11,5,2,159,342,35,14,2,1,3,4,3,40,Delaware County,precinct
Delaware County,KR 1,126,162,20,3,7,1,7,0,123,157,23,9,7,3,1,89,164,24,8,4,4,3,2,3,27,Delaware County,precinct
Delaware County,KR 2,130,176,12,5,9,1,2,0,134,172,14,10,4,2,1,94,200,15,6,6,0,0,2,4,13,Delaware County,precinct
Delaware County,MA 1,144,244,16,11,12,1,1,0,138,245,19,13,5,2,3,100,264,18,8,4,1,1,3,2,36,Delaware County,precinct
Delaware County,ME 1,205,230,21,7,15,5,4,0,213,214,25,19,8,5,2,154,231,27,15,12,5,3,2,6,36,Delaware County,precinct
Delaware County,ME 2,96,102,18,2,8,1,3,2,95,100,19,11,3,1,2,82,102,20,2,3,1,2,1,2,17,Delaware County,precinct
Delaware County,MI 1,150,171,18,3,11,4,4,0,150,162,20,9,6,4,5,128,182,24,5,2,4,4,4,2,4,Delaware County,precinct
Delaware County,MI 2,264,141,13,5,9,3,4,1,273,131,17,9,17,5,0,229,153,16,12,8,15,2,5,4,6,Delaware County,precinct
Delaware County,MI 3,114,119,11,9,12,3,3,0,118,119,15,10,6,5,2,104,134,20,5,8,1,2,0,1,4,Delaware County,precinct
Delaware County,MI 4,82,69,4,2,5,2,2,1,84,68,4,5,3,1,0,75,68,6,3,1,1,1,0,2,6,Delaware County,precinct
Delaware County,MI 5,88,97,4,2,7,2,2,1,91,100,5,3,6,0,1,72,109,8,2,4,5,0,3,3,4,Delaware County,precinct
Delaware County,RX 1,68,198,27,5,1,6,3,0,99,175,28,3,6,1,2,51,208,26,1,1,0,1,5,2,18,Delaware County,precinct
Delaware County,RX 2,81,72,5,3,7,0,4,0,83,74,5,6,1,5,1,77,77,4,4,5,0,3,0,1,2,Delaware County,precinct
Delaware County,RX 3,170,123,9,5,7,1,4,0,173,116,9,10,4,3,0,136,142,10,9,7,4,3,0,5,7,Delaware County,precinct
Delaware County,RX 4,124,113,11,4,7,1,5,2,133,105,12,6,4,4,3,106,128,12,4,5,2,2,3,1,2,Delaware County,precinct
Delaware County,SD 1,82,141,9,4,9,2,3,0,79,142,13,10,6,3,1,52,162,10,11,2,3,0,1,0,13,Delaware County,precinct
Delaware County,SD 2,121,103,6,5,2,1,2,1,118,103,5,5,2,2,3,98,116,9,6,1,0,2,2,2,7,Delaware County,precinct
Delaware County,SD 3,112,147,5,6,5,1,1,1,121,134,11,7,6,3,1,93,159,11,2,3,0,1,0,2,15,Delaware County,precinct
Delaware County,SD 4,121,115,3,3,5,3,1,0,122,104,5,4,12,1,1,100,125,6,4,2,8,0,3,1,5,Delaware County,precinct
Delaware County,SD 5,95,85,8,1,4,1,3,1,106,76,8,5,3,0,2,78,98,9,1,1,0,0,2,0,9,Delaware County,precinct
Delaware County,SD 6,171,133,6,6,7,4,5,1,174,133,7,7,9,4,0,136,154,8,7,3,5,4,1,2,15,Delaware County,precinct
Delaware County,SD 7,98,110,4,5,2,3,3,1,112,104,4,1,5,4,2,71,134,5,10,0,1,3,0,1,11,Delaware County,precinct
Delaware County,ST 1,160,229,25,10,5,6,3,0,172,211,33,5,11,3,3,116,237,24,13,3,1,2,3,8,40,Delaware County,precinct
Delaware County,ST 2,127,156,17,4,7,4,3,1,127,150,21,6,9,3,1,86,148,26,5,6,4,1,2,4,37,Delaware County,precinct
Delaware County,TM 1,118,228,17,7,13,1,3,2,121,234,17,14,0,2,1,86,230,20,9,3,1,0,4,3,38,Delaware County,precinct
Delaware County,WL 1,155,257,14,8,8,1,1,1,159,253,18,4,5,1,3,94,272,18,0,4,3,2,3,5,43,Delaware County,precinct
Delaware County,WL 2,142,158,7,5,6,4,2,3,151,151,6,4,7,5,4,102,169,9,2,0,2,2,1,3,40,Delaware County,precinct
Delaware County,WL 3,121,165,9,2,2,3,1,0,112,170,9,7,10,1,1,92,169,10,5,0,3,0,0,3,34,Delaware County,precinct
Delaware County,WL 4,126,204,12,7,8,2,1,2,138,199,8,10,5,2,2,101,209,12,3,2,2,1,0,4,37,Delaware County,precinct
Delaware County,WL 5,116,231,14,12,4,2,1,0,126,217,20,10,4,4,0,87,232,17,5,1,3,1,2,3,31,Delaware County,precinct
