county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Dutchess County,City of Beacon W 1 ED 1,494,116,17,0,25,14,2,2,489,121,18,26,15,3,3,430,154,20,21,17,12,4,7,9,5,Dutchess County,precinct
Dutchess County,City of Beacon W 1 ED 2,427,156,22,0,43,21,8,3,439,157,20,45,18,9,3,392,204,27,13,36,13,6,6,5,5,Dutchess County,precinct
Dutchess County,City of Beacon W 2 ED 1,223,47,7,0,15,4,4,0,217,50,6,17,9,3,0,206,62,7,4,14,9,1,3,1,3,Dutchess County,precinct
Dutchess County,City of Beacon W 2 ED 2,343,68,14,0,23,5,6,2,347,61,12,26,5,9,2,325,77,14,7,23,5,5,4,3,4,Dutchess County,precinct
Dutchess County,City of Beacon W 2 ED 3,381,81,10,0,18,11,7,4,378,79,8,26,14,9,4,360,106,13,7,18,7,6,5,2,4,Dutchess County,precinct
Dutchess County,City of Beacon W 3 ED 1,416,103,21,0,17,7,10,0,415,108,14,21,7,11,3,350,157,20,13,17,3,6,4,11,8,Dutchess County,precinct
Dutchess County,City of Beacon W 3 ED 2,470,203,37,0,36,11,13,2,481,201,36,41,9,14,3,414,266,37,17,32,4,11,3,7,9,Dutchess County,precinct
Dutchess County,City of Beacon W 3 ED 3,4,1,0,0,1,0,0,0,4,1,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,Dutchess County,precinct
Dutchess County,City of Beacon W 4 ED 1,517,132,34,0,38,20,6,3,520,129,32,52,14,7,3,458,183,38,25,36,5,4,1,6,11,Dutchess County,precinct
Dutchess County,City of Beacon W 4 ED 2,447,145,15,0,37,11,6,3,448,146,18,38,11,10,2,388,193,17,21,34,6,8,6,4,7,Dutchess County,precinct
