county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Erie County,ALDN 001,245,199,53,0,23,6,7,16,231,217,58,12,13,9,4,167,280,62,6,6,7,1,2,13,12,Erie County,ALDN 001
Erie County,ALDN 002,192,310,77,0,9,7,6,23,178,318,86,7,11,5,4,127,378,84,8,4,8,1,3,5,12,Erie County,ALDN 002
Erie County,ALDN 003,231,291,73,0,16,4,6,16,221,298,79,6,16,2,2,144,360,95,6,3,4,3,4,7,15,Erie County,ALDN 003
Erie County,ALDN 004,159,213,69,0,9,5,4,11,130,239,72,8,10,0,3,97,280,75,2,4,4,0,2,5,10,Erie County,ALDN 004
Erie County,ALDN 005,131,216,50,0,16,4,3,10,133,219,53,6,4,3,1,99,264,50,3,4,1,0,2,8,2,Erie County,ALDN 005
Erie County,ALDN 006,190,178,43,0,18,2,5,16,173,204,48,9,9,1,3,137,219,58,4,3,5,0,0,9,25,Erie County,ALDN 006
Erie County,ALDN 007,141,253,53,0,15,5,2,13,126,262,62,10,11,3,1,106,285,67,4,3,5,0,2,3,8,Erie County,ALDN 007
Erie County,AMHS 001,605,231,0,0,30,0,8,0,545,239,58,19,19,4,1,493,265,63,12,15,11,4,2,12,8,Erie County,AMHS 001
Erie County,AMHS 002,280,137,0,0,11,0,10,0,242,144,36,6,8,7,2,215,165,33,6,4,7,5,3,2,7,Erie County,AMHS 002
Erie County,AMHS 003,344,125,0,0,10,0,3,0,333,114,28,9,5,2,3,291,136,30,7,5,3,4,3,4,6,Erie County,AMHS 003
Erie County,AMHS 004,333,166,0,0,17,0,14,0,316,147,33,14,13,10,5,268,178,42,11,12,13,7,5,2,5,Erie County,AMHS 004
Erie County,AMHS 005,418,288,0,0,27,0,8,0,385,258,80,23,15,4,3,341,297,82,11,13,10,2,2,6,11,Erie County,AMHS 005
Erie County,AMHS 006,368,205,0,0,22,0,11,0,355,180,53,16,11,9,1,301,221,51,4,6,17,4,3,5,10,Erie County,AMHS 006
Erie County,AMHS 007,296,173,0,0,19,0,6,0,266,162,47,16,8,5,2,223,198,47,6,12,6,3,2,0,9,Erie County,AMHS 007
Erie County,AMHS 008,396,187,0,0,36,0,13,0,363,186,53,18,17,9,1,314,205,60,16,15,15,6,1,6,9,Erie County,AMHS 008
Erie County,AMHS 009,519,153,0,0,23,0,13,0,481,150,44,19,19,6,1,416,185,42,18,16,11,9,2,12,14,Erie County,AMHS 009
Erie County,AMHS 010,536,217,0,0,19,0,15,0,488,198,65,12,22,13,4,423,215,80,21,14,20,11,5,7,4,Erie County,AMHS 010
Erie County,AMHS 011,492,159,0,0,21,0,15,0,463,145,45,14,17,13,2,423,178,47,14,13,12,4,3,6,5,Erie County,AMHS 011
Erie County,AMHS 012,400,185,0,0,22,0,14,0,372,181,35,11,14,10,5,313,205,38,7,15,7,5,14,5,7,Erie County,AMHS 012
Erie County,AMHS 013,574,193,0,0,24,0,22,0,539,191,46,17,10,16,5,488,204,54,22,12,13,8,5,6,6,Erie County,AMHS 013
Erie County,AMHS 014,343,93,0,0,28,0,7,0,339,88,22,20,8,7,1,307,103,24,7,10,6,5,2,9,9,Erie County,AMHS 014
Erie County,AMHS 015,595,170,0,0,12,0,10,0,554,153,51,9,16,11,4,496,200,48,7,8,12,10,3,9,9,Erie County,AMHS 015
