county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Franklin County,Bangor 1 3,119,195,7,3,3,3,3,1,146,155,4,5,9,2,1,88,186,8,3,3,0,0,0,3,35,Franklin County,Bangor 1 3
Franklin County,Bangor 2 3,122,201,15,1,5,8,5,2,158,162,13,7,7,2,0,78,193,16,3,5,5,0,2,6,50,Franklin County,Bangor 2 3
Franklin County,Bellmont 1 2,154,176,10,1,16,5,1,0,182,129,6,14,9,0,2,109,199,8,7,5,3,0,2,3,22,Franklin County,Bellmont 1 2
Franklin County,Bellmont 2 2,60,113,9,0,2,2,1,1,81,86,8,2,3,1,2,53,110,9,1,1,2,0,0,1,7,Franklin County,Bellmont 2 2
Franklin County,Bombay 1 5,138,139,11,2,6,1,0,0,156,111,11,6,4,0,0,100,132,9,5,4,1,0,0,2,40,Franklin County,Bombay 1 5
Franklin County,Bombay 2 1,264,30,1,2,2,2,3,0,273,17,0,3,4,5,1,241,25,3,9,3,5,5,0,4,6,Franklin County,Bombay 2 1
Franklin County,Brandon 1 5,42,123,6,0,7,1,0,0,53,105,6,5,2,0,1,22,115,4,1,2,1,1,0,2,33,Franklin County,Brandon 1 5
Franklin County,Brighton 1 3,270,110,6,7,7,8,4,1,287,84,8,6,13,3,2,234,123,12,15,1,4,1,3,6,6,Franklin County,Brighton 1 3
Franklin County,Burke 1 2,167,254,10,3,9,5,1,0,207,203,8,7,4,2,1,111,259,14,4,2,1,0,2,5,38,Franklin County,Burke 1 2
Franklin County,Chateaugay 1 2,125,155,10,4,3,6,1,0,149,116,9,11,8,2,0,85,170,15,6,2,2,0,3,0,16,Franklin County,Chateaugay 1 2
Franklin County,Chateaugay 2 2,120,149,7,3,1,4,0,2,151,116,4,2,2,0,0,88,158,12,5,0,2,0,2,3,11,Franklin County,Chateaugay 2 2
Franklin County,Constable 1 2,153,194,12,2,4,7,4,0,176,151,10,8,10,4,0,119,179,16,4,2,4,1,5,1,40,Franklin County,Constable 1 2
