county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Fulton County,Bleecker-1,79,156,17,0,3,2,4,0,90,138,18,6,4,4,0,59,162,21,1,1,1,3,3,2,0,Fulton County,Bleecker-1
Fulton County,Broadalbin-1,167,285,30,1,6,3,4,0,201,245,24,12,5,4,0,116,311,31,7,4,3,0,1,7,9,Fulton County,Broadalbin-1
Fulton County,Broadalbin-2,165,375,44,2,6,10,1,1,174,356,42,9,11,2,4,118,403,49,1,3,5,1,3,2,14,Fulton County,Broadalbin-2
Fulton County,Broadalbin-3,91,268,24,7,7,4,1,1,114,237,25,7,3,3,2,68,270,26,7,3,1,1,2,4,9,Fulton County,Broadalbin-3
Fulton County,Broadalbin-4,128,256,35,7,5,6,4,2,148,236,30,9,8,4,3,89,285,36,6,4,2,1,0,8,15,Fulton County,Broadalbin-4
Fulton County,Caroga-1,150,350,37,5,15,7,8,0,180,307,38,12,10,7,3,107,361,42,7,4,6,1,4,12,13,Fulton County,Caroga-1
Fulton County,Ephratah-1,92,372,51,4,7,8,1,0,122,329,42,15,9,3,2,72,387,52,7,1,2,0,3,2,11,Fulton County,Ephratah-1
Fulton County,Gloversville W-1-1,95,114,19,1,5,1,1,0,104,104,15,6,1,1,2,79,124,16,2,2,2,0,0,4,6,Fulton County,Gloversville W-1-1
Fulton County,Gloversville W-1-2,110,143,12,3,7,2,2,1,133,118,15,9,4,1,0,78,159,16,5,3,2,1,1,1,14,Fulton County,Gloversville W-1-2
Fulton County,Gloversville W-2-1,87,107,11,2,5,3,1,1,97,95,7,3,7,0,2,70,116,9,1,0,4,0,2,4,8,Fulton County,Gloversville W-2-1
Fulton County,Gloversville W-2-2,55,119,16,2,3,5,0,0,67,111,12,5,3,0,0,39,140,9,2,2,0,0,1,3,7,Fulton County,Gloversville W-2-2
Fulton County,Gloversville W-3-1,158,184,17,7,3,4,3,2,183,151,17,6,6,2,1,123,206,20,6,2,1,1,2,5,8,Fulton County,Gloversville W-3-1
Fulton County,Gloversville W-3-2,139,146,16,3,4,3,3,2,153,128,17,6,3,2,3,98,163,17,6,3,1,2,0,4,13,Fulton County,Gloversville W-3-2
Fulton County,Gloversville W-4-1,103,113,8,4,6,10,7,1,116,96,9,5,11,3,3,91,127,9,3,1,5,0,2,4,14,Fulton County,Gloversville W-4-1
Fulton County,Gloversville W-4-2,79,124,9,2,4,2,2,1,101,98,6,7,4,3,2,65,136,9,1,0,2,2,1,3,11,Fulton County,Gloversville W-4-2
Fulton County,Gloversville W-5-1,172,184,20,4,6,7,3,0,203,148,22,4,8,2,0,139,197,23,4,3,3,1,2,4,17,Fulton County,Gloversville W-5-1
Fulton County,Gloversville W-5-2,132,169,14,3,1,4,3,0,162,135,12,3,5,7,2,92,193,16,4,0,1,3,1,4,8,Fulton County,Gloversville W-5-2
Fulton County,Gloversville W-6-1,88,94,9,5,5,4,3,1,95,87,9,6,4,3,0,67,104,8,5,2,2,1,2,3,10,Fulton County,Gloversville W-6-1
Fulton County,Gloversville W-6-2,113,150,17,2,6,4,3,2,130,126,19,5,2,1,2,85,151,20,6,1,1,0,3,5,15,Fulton County,Gloversville W-6-2
Fulton County,Johnstown W-1-1,103,159,13,3,2,5,2,1,123,136,12,3,5,2,3,92,163,11,7,0,1,1,3,4,5,Fulton County,Johnstown W-1-1
Fulton County,Johnstown W-1-2,119,217,23,4,6,3,2,1,147,189,24,5,2,1,1,88,226,23,8,5,1,1,4,0,10,Fulton County,Johnstown W-1-2
Fulton County,Johnstown W-2-1,107,187,12,3,3,3,1,2,134,153,11,3,6,0,3,76,190,15,1,4,1,0,0,1,23,Fulton County,Johnstown W-2-1
Fulton County,Johnstown W-2-2,99,184,11,2,4,4,4,2,112,167,13,2,6,5,0,75,194,12,3,1,2,2,4,2,14,Fulton County,Johnstown W-2-2
Fulton County,Johnstown W-3-1,111,146,21,3,8,6,3,3,129,128,24,4,7,5,2,77,173,30,6,0,1,1,3,3,10,Fulton County,Johnstown W-3-1
Fulton County,Johnstown W-3-2,129,171,19,0,2,0,1,0,125,150,21,1,4,1,1,83,183,20,1,2,1,1,1,7,8,Fulton County,Johnstown W-3-2
Fulton County,Johnstown W-4-1,192,187,21,4,9,7,1,1,208,161,24,7,10,1,1,121,225,28,8,3,5,2,1,2,16,Fulton County,Johnstown W-4-1
Fulton County,Johnstown W-4-2,93,181,16,3,3,2,1,1,115,159,15,5,2,1,0,71,196,15,2,0,3,0,0,2,9,Fulton County,Johnstown W-4-2
Fulton County,Johnstown-1,162,327,32,6,4,10,5,3,193,281,34,5,10,5,6,114,352,39,8,0,4,3,5,2,17,Fulton County,Johnstown-1
Fulton County,Johnstown-2,204,389,26,1,6,16,6,1,242,343,27,11,14,5,3,144,422,32,11,2,3,3,4,7,19,Fulton County,Johnstown-2
Fulton County,Johnstown-3,150,420,31,6,14,4,3,2,208,357,27,9,7,6,2,93,472,32,7,1,3,2,8,4,18,Fulton County,Johnstown-3
Fulton County,Johnstown-4,132,348,36,6,9,7,2,0,172,299,30,8,6,6,4,77,374,32,5,4,4,3,6,3,24,Fulton County,Johnstown-4
Fulton County,Mayfield-1,112,299,28,6,0,2,1,2,131,271,26,3,4,1,2,74,304,31,4,0,2,0,4,6,11,Fulton County,Mayfield-1
Fulton County,Mayfield-2,125,358,14,4,4,2,2,2,172,299,18,8,6,0,5,101,357,15,3,1,2,0,5,4,9,Fulton County,Mayfield-2
Fulton County,Mayfield-3,168,388,38,2,8,3,5,1,208,334,38,9,9,6,1,129,405,41,8,3,2,4,1,4,8,Fulton County,Mayfield-3
Fulton County,Mayfield-4,170,418,30,2,9,4,6,3,219,352,35,7,11,4,4,130,442,29,5,2,4,1,7,7,14,Fulton County,Mayfield-4
Fulton County,Northampton-1,146,373,53,5,6,4,1,3,174,332,52,9,8,1,1,101,397,49,6,0,3,0,1,1,15,Fulton County,Northampton-1
Fulton County,Northampton-2,9,32,5,1,0,0,0,0,13,26,6,1,0,0,0,9,29,6,1,0,0,0,0,0,2,Fulton County,Northampton-2
Fulton County,Northampton-3,161,208,36,3,4,3,2,2,184,182,34,5,4,2,2,121,222,34,9,3,3,0,1,5,13,Fulton County,Northampton-3
