county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Greene County,ASHLAND ABS,14,11,5,1,0,0,0,0,15,11,5,0,0,1,0,11,8,5,2,0,0,0,0,0,2,Greene County,precinct
Greene County,ATHENS ABS 1,24,8,2,1,1,1,0,0,24,8,2,1,0,1,0,21,7,3,3,1,0,0,0,0,0,Greene County,precinct
Greene County,ATHENS ABS 2,10,10,0,0,2,0,0,0,11,9,0,0,0,0,0,9,11,0,0,0,0,0,0,0,2,Greene County,precinct
Greene County,ATHENS ABS 3,25,22,7,0,0,0,0,0,29,19,7,0,0,0,0,14,25,6,1,1,0,0,0,0,1,Greene County,precinct
Greene County,ATHENS ABS 4,10,25,2,2,4,1,0,0,10,27,3,3,0,0,0,8,29,3,2,2,0,0,0,0,0,Greene County,precinct
Greene County,CAIRO ABS 1,10,18,3,0,0,0,0,0,11,17,3,0,0,0,0,8,19,2,1,0,0,0,1,0,0,Greene County,precinct
Greene County,CAIRO ABS 2,13,21,3,0,1,1,0,0,15,21,4,1,0,0,0,13,22,4,1,0,0,0,0,0,1,Greene County,precinct
Greene County,CAIRO ABS 3,4,2,2,2,0,0,0,0,3,3,2,0,1,0,1,4,2,2,1,0,1,0,0,0,0,Greene County,precinct
Greene County,CAIRO ABS 4,14,18,1,1,2,0,0,0,16,16,1,2,0,0,0,12,20,1,0,2,0,0,0,0,0,Greene County,precinct
Greene County,CAIRO ABS 5,8,9,0,0,2,0,0,0,8,9,0,1,1,0,0,7,10,0,0,1,1,0,0,0,0,Greene County,precinct
Greene County,CAIRO ABS 6,14,16,4,1,1,0,1,0,15,15,4,0,1,3,0,10,18,5,2,1,0,1,0,0,0,Greene County,precinct
Greene County,CAIRO ABS 7,10,7,0,0,2,0,0,0,10,7,1,1,1,0,0,9,8,0,2,0,0,0,0,0,0,Greene County,precinct
Greene County,CATSKILL ABS 1,26,14,0,0,0,1,0,0,24,16,0,0,1,1,0,22,14,0,1,0,1,0,0,0,1,Greene County,precinct
Greene County,CATSKILL ABS 10,24,14,0,1,1,0,0,0,23,14,1,1,0,0,0,19,16,1,0,0,0,0,0,2,0,Greene County,precinct
Greene County,CATSKILL ABS 11,19,20,3,1,1,0,0,0,20,22,2,0,0,0,0,16,20,3,1,1,0,0,0,0,0,Greene County,precinct
