county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Hamilton County,ARIETTA,55,116,10,0,2,0,3,0,57,107,8,4,6,0,0,41,118,14,4,1,2,0,1,0,3,Hamilton County,ARIETTA
Hamilton County,BENSON,28,68,4,1,1,0,0,0,33,63,4,0,0,0,0,22,72,4,0,1,0,0,0,0,1,Hamilton County,BENSON
Hamilton County,HOPE,44,117,21,1,1,1,1,3,51,107,22,0,1,2,2,31,127,23,0,0,0,1,3,2,5,Hamilton County,HOPE
Hamilton County,IND LAKE #1,207,326,17,3,8,8,9,9,245,276,15,17,9,6,6,173,279,18,4,7,4,2,4,3,93,Hamilton County,IND LAKE #1
Hamilton County,IND LAKE #2,49,38,3,4,3,0,1,0,53,33,2,5,2,0,0,39,33,3,2,3,1,0,0,4,12,Hamilton County,IND LAKE #2
Hamilton County,INLET,82,98,14,0,4,2,3,2,87,92,14,7,3,2,1,65,112,12,1,3,1,0,1,6,9,Hamilton County,INLET
Hamilton County,LAKE PLEAS,99,365,43,7,2,3,6,0,117,346,46,6,7,2,1,81,370,45,3,1,3,1,0,7,7,Hamilton County,LAKE PLEAS
Hamilton County,LONG LAKE #1,168,173,14,3,8,6,12,2,183,150,18,8,8,10,1,137,150,16,5,2,5,4,2,3,61,Hamilton County,LONG LAKE #1
Hamilton County,LONG LAKE #2,36,40,3,1,0,0,2,0,38,39,2,0,0,0,0,24,45,2,0,0,1,1,0,4,7,Hamilton County,LONG LAKE #2
Hamilton County,MOREHOUSE,5,46,4,1,2,0,2,1,10,44,3,1,2,1,1,5,44,4,1,0,0,0,1,0,5,Hamilton County,MOREHOUSE
Hamilton County,WELLS,68,247,23,4,7,3,0,3,88,230,26,5,1,1,3,58,256,31,3,1,0,1,2,2,7,Hamilton County,WELLS
