county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Herkimer County,City of Little Falls Ward 1 1,0,0,0,0,0,0,0,0,223,140,20,9,5,7,2,159,207,23,6,3,2,2,2,6,11,Herkimer County,precinct
Herkimer County,City of Little Falls Ward 1 1 LD 12,231,153,24,0,5,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,City of Little Falls Ward 2 1,0,0,0,0,0,0,0,0,262,180,30,4,9,4,2,192,225,45,10,2,2,2,3,10,14,Herkimer County,precinct
Herkimer County,City of Little Falls Ward 2 1 LD 12,279,180,26,0,7,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,City of Little Falls Ward 3 1,0,0,0,0,0,0,0,0,50,40,8,6,4,0,3,46,42,11,1,3,1,0,5,2,3,Herkimer County,precinct
Herkimer County,City of Little Falls Ward 3 1 LD 12,57,36,11,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,City of Little Falls Ward 3 2,0,0,0,0,0,0,0,0,122,81,8,3,6,2,0,93,103,9,7,2,3,2,0,3,4,Herkimer County,precinct
Herkimer County,City of Little Falls Ward 3 2 LD 10,138,87,6,0,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,City of Little Falls Ward 4 1,0,0,0,0,0,0,0,0,150,92,11,5,6,2,0,92,128,21,11,1,1,0,2,6,10,Herkimer County,precinct
Herkimer County,City of Little Falls Ward 4 1 LD 12,158,99,12,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of Columbia 1,0,0,0,0,0,0,0,0,117,297,36,13,5,4,2,67,341,38,6,1,3,1,2,8,24,Herkimer County,precinct
Herkimer County,Town of Columbia 1 LD 7,120,328,33,0,5,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of Columbia 2,0,0,0,0,0,0,0,0,37,86,19,3,3,1,0,21,99,20,4,0,2,1,1,1,5,Herkimer County,precinct
Herkimer County,Town of Columbia 2 LD 13,35,96,17,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of Danube 1,0,0,0,0,0,0,0,0,95,200,18,5,11,0,0,50,242,25,3,1,2,1,2,3,11,Herkimer County,precinct
Herkimer County,Town of Danube 1 LD 14,100,220,20,0,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of Fairfield 1,0,0,0,0,0,0,0,0,152,336,27,15,16,4,1,90,399,43,7,2,1,2,5,5,14,Herkimer County,precinct
Herkimer County,Town of Fairfield 1 LD 16,158,365,34,0,7,12,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of Frankfort 1,0,0,0,0,0,0,0,0,133,144,12,8,13,3,0,88,185,15,5,2,7,1,4,3,6,Herkimer County,precinct
Herkimer County,Town of Frankfort 1 LD 8,150,150,13,0,4,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of Frankfort 2,0,0,0,0,0,0,0,0,150,152,15,7,15,5,1,117,194,18,5,1,7,0,2,5,17,Herkimer County,precinct
Herkimer County,Town of Frankfort 2 LD 9,178,180,11,0,5,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of Frankfort 3,0,0,0,0,0,0,0,0,130,183,15,10,9,2,4,76,238,25,0,1,8,2,1,6,16,Herkimer County,precinct
Herkimer County,Town of Frankfort 3 LD 9,147,199,21,0,5,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of Frankfort 4,0,0,0,0,0,0,0,0,141,250,23,4,3,1,2,95,285,25,6,3,1,0,3,5,11,Herkimer County,precinct
Herkimer County,Town of Frankfort 4 LD 8,162,250,25,0,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of Frankfort 5,0,0,0,0,0,0,0,0,261,312,40,12,20,3,3,190,391,46,13,3,7,0,5,9,25,Herkimer County,precinct
Herkimer County,Town of Frankfort 5 LD 8,296,338,40,0,5,16,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of Frankfort 6,0,0,0,0,0,0,0,0,277,265,21,10,11,5,4,182,341,30,7,6,4,4,7,5,27,Herkimer County,precinct
Herkimer County,Town of Frankfort 6 LD 9,308,284,25,0,8,12,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of German Flatts 1,0,0,0,0,0,0,0,0,148,272,17,19,11,4,0,103,323,20,5,2,4,0,3,7,21,Herkimer County,precinct
Herkimer County,Town of German Flatts 1 LD 7,168,292,18,0,13,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of German Flatts 10,0,0,0,0,0,0,0,0,63,55,7,7,6,4,2,33,81,10,3,3,0,2,2,1,9,Herkimer County,precinct
Herkimer County,Town of German Flatts 10 LD 5,66,68,9,0,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of German Flatts 11,0,0,0,0,0,0,0,0,183,199,11,6,3,3,4,121,241,17,10,2,1,2,1,4,21,Herkimer County,precinct
Herkimer County,Town of German Flatts 11 LD 6,195,203,15,0,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of German Flatts 12,0,0,0,0,0,0,0,0,169,150,14,4,6,3,2,105,189,19,7,2,3,1,5,4,17,Herkimer County,precinct
Herkimer County,Town of German Flatts 12 LD 6,165,168,11,0,4,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of German Flatts 13,0,0,0,0,0,0,0,0,182,191,18,9,11,4,3,136,234,17,11,4,6,1,1,5,9,Herkimer County,precinct
Herkimer County,Town of German Flatts 13 LD 5,200,204,12,0,5,12,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of German Flatts 14,0,0,0,0,0,0,0,0,93,163,19,7,7,6,0,52,194,22,2,1,1,1,5,5,13,Herkimer County,precinct
Herkimer County,Town of German Flatts 14 LD 5,96,187,20,0,2,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of German Flatts 2,0,0,0,0,0,0,0,0,163,161,9,6,7,1,1,96,212,14,8,2,3,1,1,2,14,Herkimer County,precinct
Herkimer County,Town of German Flatts 2 LD 1,166,173,14,0,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of German Flatts 3,0,0,0,0,0,0,0,0,203,264,29,6,15,4,3,127,317,34,6,4,5,1,12,4,25,Herkimer County,precinct
Herkimer County,Town of German Flatts 3 LD 4,203,294,28,0,7,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of German Flatts 4,0,0,0,0,0,0,0,0,57,63,2,4,6,0,1,39,75,7,3,1,2,0,1,1,6,Herkimer County,precinct
Herkimer County,Town of German Flatts 4 LD 5,58,71,2,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herkimer County,precinct
Herkimer County,Town of German Flatts 5,0,0,0,0,0,0,0,0,43,38,4,1,3,0,0,27,47,5,3,0,1,0,2,2,3,Herkimer County,precinct
