county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Jefferson County,12/1,372,361,51,13,6,10,7,1,454,274,35,14,21,6,1,327,353,52,9,2,10,1,4,27,11,Jefferson County,12/1
Jefferson County,12/2,306,283,29,17,9,12,3,2,353,230,24,13,20,3,5,256,283,31,9,5,9,2,1,19,21,Jefferson County,12/2
Jefferson County,12/3,247,298,25,5,4,3,1,1,308,228,22,7,10,3,0,210,293,33,10,3,3,0,4,13,6,Jefferson County,12/3
Jefferson County,13/1,243,251,25,9,16,17,6,0,286,197,22,16,21,8,3,192,244,35,16,6,9,5,8,15,18,Jefferson County,13/1
Jefferson County,13/2,310,276,28,13,10,16,1,1,374,203,29,4,23,4,1,279,278,34,6,2,9,4,4,18,11,Jefferson County,13/2
Jefferson County,13/3,199,194,13,11,4,8,7,1,229,152,10,4,18,10,2,160,197,16,11,4,7,4,5,8,16,Jefferson County,13/3
Jefferson County,14/1,193,231,12,21,12,18,12,2,250,176,18,15,26,8,1,184,225,22,13,7,5,7,9,17,12,Jefferson County,14/1
Jefferson County,14/2,109,112,11,5,7,2,2,1,128,94,7,8,4,2,2,94,113,12,1,4,3,3,2,6,8,Jefferson County,14/2
Jefferson County,15/1,260,270,22,18,7,10,8,1,322,193,21,17,25,10,2,256,249,29,8,3,11,5,6,12,8,Jefferson County,15/1
Jefferson County,15/2,241,278,19,12,16,12,7,1,291,230,16,13,21,6,1,209,293,21,8,7,14,3,2,10,16,Jefferson County,15/2
Jefferson County,15/3,91,80,13,5,4,3,1,1,104,66,12,1,8,1,2,74,80,13,1,2,2,2,2,13,4,Jefferson County,15/3
Jefferson County,Adams 1,189,273,29,16,4,11,0,1,242,220,26,8,8,2,1,153,277,30,12,1,3,0,2,10,26,Jefferson County,Adams 1
Jefferson County,Adams 2,111,231,20,6,3,6,3,1,136,195,19,7,8,4,2,90,231,29,4,3,3,2,3,1,10,Jefferson County,Adams 2
Jefferson County,Adams 3,225,427,51,25,11,23,5,1,285,379,49,14,25,6,3,170,456,57,14,3,8,2,9,11,34,Jefferson County,Adams 3
Jefferson County,Alexandria 1,178,175,8,11,8,4,3,3,209,126,8,11,8,1,3,132,187,16,6,7,3,0,5,10,8,Jefferson County,Alexandria 1
Jefferson County,Alexandria 2,176,290,36,13,12,6,3,1,213,243,39,12,15,2,2,131,321,47,3,4,3,0,6,9,10,Jefferson County,Alexandria 2
Jefferson County,Alexandria 3,217,402,35,13,13,16,2,7,281,334,29,22,15,2,2,164,433,42,9,1,4,0,6,8,30,Jefferson County,Alexandria 3
Jefferson County,Antwerp 1,61,103,10,5,2,3,0,1,85,77,10,3,4,0,1,45,106,11,1,1,2,0,1,7,6,Jefferson County,Antwerp 1
Jefferson County,Antwerp 2,97,229,28,15,4,5,0,3,144,171,25,10,11,1,1,75,234,29,4,3,2,0,3,8,9,Jefferson County,Antwerp 2
Jefferson County,Brownville 1,110,250,24,10,7,9,3,0,151,198,21,15,16,2,1,82,270,30,2,1,5,1,1,7,9,Jefferson County,Brownville 1
Jefferson County,Brownville 2,108,193,18,12,2,9,2,2,157,138,23,6,5,0,3,89,196,23,4,3,2,0,1,7,11,Jefferson County,Brownville 2
Jefferson County,Brownville 3,151,283,30,16,7,4,3,0,185,243,19,12,12,2,5,120,297,29,2,2,5,2,5,12,17,Jefferson County,Brownville 3
Jefferson County,Brownville 4,122,178,10,6,8,4,2,0,163,135,7,11,7,1,1,85,198,9,4,1,3,2,2,9,14,Jefferson County,Brownville 4
Jefferson County,Brownville 5,172,307,30,15,4,4,2,0,214,248,32,7,16,1,2,127,308,36,8,1,3,0,6,13,14,Jefferson County,Brownville 5
Jefferson County,Cape Vincent 1,160,189,15,4,5,4,5,2,180,161,14,5,12,5,1,105,220,21,7,2,5,4,4,7,5,Jefferson County,Cape Vincent 1
Jefferson County,Cape Vincent 2,257,413,34,20,5,9,3,3,315,350,32,11,13,1,1,166,458,48,9,3,3,3,4,17,18,Jefferson County,Cape Vincent 2
Jefferson County,Champion 1,222,481,40,19,11,12,3,3,299,403,40,15,18,0,6,162,511,38,11,5,10,2,6,12,18,Jefferson County,Champion 1
Jefferson County,Champion 2,123,251,25,13,3,11,3,2,183,177,20,17,12,3,3,122,231,27,4,2,6,2,1,14,12,Jefferson County,Champion 2
Jefferson County,Clayton 1,97,296,28,14,11,8,3,0,148,234,32,8,15,3,3,69,294,38,5,1,4,0,3,4,37,Jefferson County,Clayton 1
Jefferson County,Clayton 2,277,349,26,6,5,14,6,0,340,264,26,14,21,3,0,214,348,37,11,4,7,2,1,19,32,Jefferson County,Clayton 2
Jefferson County,Clayton 3,278,456,27,19,16,15,4,3,354,368,27,18,25,5,6,203,462,47,12,9,10,2,5,17,32,Jefferson County,Clayton 3
Jefferson County,Ellisburg 1,43,83,7,2,0,4,1,0,50,72,5,2,8,0,0,33,88,6,4,1,1,0,0,1,8,Jefferson County,Ellisburg 1
Jefferson County,Ellisburg 3,26,54,4,4,2,0,0,0,35,43,4,4,0,1,0,25,52,5,2,3,0,1,0,0,2,Jefferson County,Ellisburg 3
Jefferson County,Ellisburg 4,158,300,24,6,11,11,5,1,213,232,24,17,10,1,3,117,315,29,6,5,3,1,4,10,18,Jefferson County,Ellisburg 4
Jefferson County,Elllisburg 2,108,254,15,7,4,9,2,0,139,218,15,8,9,3,1,69,276,18,4,0,4,2,1,8,12,Jefferson County,Elllisburg 2
Jefferson County,Henderson 1,223,377,33,12,8,8,3,3,284,309,37,10,10,4,3,181,403,37,5,3,3,1,3,18,6,Jefferson County,Henderson 1
Jefferson County,Hounsfield 1,245,250,21,11,7,10,7,2,301,186,24,11,13,5,2,230,237,30,14,4,0,1,6,13,14,Jefferson County,Hounsfield 1
Jefferson County,Hounsfield 2,231,433,48,22,8,14,7,0,317,335,45,14,31,5,2,192,427,54,9,4,9,7,10,14,28,Jefferson County,Hounsfield 2
Jefferson County,LeRay 1,56,127,13,5,0,0,1,1,80,102,11,5,2,1,0,44,131,9,0,1,0,0,1,7,4,Jefferson County,LeRay 1
Jefferson County,LeRay 2,22,72,7,2,2,1,0,0,35,59,6,1,0,0,0,21,70,9,1,1,1,0,0,0,1,Jefferson County,LeRay 2
Jefferson County,LeRay 3,54,97,8,5,1,2,0,0,70,75,7,3,4,1,2,44,99,8,2,0,0,0,2,2,7,Jefferson County,LeRay 3
Jefferson County,LeRay 4,181,266,17,8,3,13,4,0,227,226,13,3,13,3,2,173,261,22,6,1,6,2,1,8,9,Jefferson County,LeRay 4
Jefferson County,LeRay 5,81,128,11,10,5,4,1,0,108,101,11,3,9,3,1,70,128,9,3,2,4,0,3,12,4,Jefferson County,LeRay 5
Jefferson County,LeRay 6,42,60,9,1,0,3,0,1,51,42,7,5,4,1,0,30,65,8,0,1,3,1,2,0,4,Jefferson County,LeRay 6
Jefferson County,LeRay 7,29,31,2,0,0,0,0,0,29,27,2,1,2,0,0,29,24,3,1,0,0,0,0,1,1,Jefferson County,LeRay 7
Jefferson County,LeRay 8,140,187,19,15,7,7,3,4,182,152,21,4,6,10,2,120,200,20,5,2,4,3,1,11,9,Jefferson County,LeRay 8
Jefferson County,Lorraine 1,76,234,21,12,2,6,2,0,104,196,19,10,9,3,2,45,247,20,3,2,2,1,4,9,16,Jefferson County,Lorraine 1
Jefferson County,Lyme 1,110,198,25,10,7,10,1,2,155,156,21,9,11,0,1,80,219,24,7,3,3,1,2,15,5,Jefferson County,Lyme 1
Jefferson County,Lyme 2,161,240,34,16,7,5,1,0,216,184,39,8,9,2,2,141,251,39,4,2,3,0,7,7,7,Jefferson County,Lyme 2
Jefferson County,Lyme 3,78,139,14,11,5,5,1,0,102,110,15,11,5,2,0,64,145,16,1,2,3,1,1,7,8,Jefferson County,Lyme 3
Jefferson County,Orleans 1,169,377,28,12,2,16,2,2,241,300,25,11,13,1,2,113,408,28,4,2,5,1,6,8,21,Jefferson County,Orleans 1
Jefferson County,Orleans 2,143,220,18,13,4,7,3,1,185,179,15,9,10,2,1,120,224,20,8,1,4,1,7,8,6,Jefferson County,Orleans 2
Jefferson County,Pamelia 1,114,347,27,13,10,9,1,2,169,291,26,9,13,3,2,97,344,31,7,2,9,3,3,7,12,Jefferson County,Pamelia 1
Jefferson County,Pamelia 2,150,313,20,14,5,16,1,3,218,244,21,3,20,0,4,137,292,28,6,2,10,1,4,10,17,Jefferson County,Pamelia 2
Jefferson County,Philadelphia 1,93,139,10,6,2,4,1,2,112,109,14,3,4,4,2,65,146,11,3,2,0,0,5,4,8,Jefferson County,Philadelphia 1
Jefferson County,Philadelphia 2,91,159,12,4,1,7,1,2,112,119,9,9,12,0,3,61,163,18,3,1,2,1,6,2,9,Jefferson County,Philadelphia 2
Jefferson County,Rodman 1,108,315,25,7,2,7,3,2,150,254,29,6,7,2,4,77,308,29,9,2,3,0,4,8,18,Jefferson County,Rodman 1
Jefferson County,Rutland 1,109,276,16,8,7,2,6,2,148,219,20,12,2,6,3,79,284,24,6,2,2,4,1,2,16,Jefferson County,Rutland 1
Jefferson County,Rutland 2,66,220,24,7,8,5,2,2,83,189,21,8,9,2,2,56,229,22,5,1,3,2,2,1,9,Jefferson County,Rutland 2
Jefferson County,Rutland 3,42,64,3,3,2,2,1,1,56,44,5,4,3,1,2,36,61,10,2,2,1,1,1,0,2,Jefferson County,Rutland 3
Jefferson County,Theresa 1,238,526,43,17,14,18,5,2,320,424,41,20,25,7,4,193,530,38,13,7,8,2,10,9,23,Jefferson County,Theresa 1
Jefferson County,Watertown 1,326,438,38,16,6,17,3,2,390,370,39,14,17,3,2,294,444,45,9,2,8,3,3,13,10,Jefferson County,Watertown 1
Jefferson County,Watertown 2,205,510,45,13,11,16,4,1,281,416,51,14,22,7,1,162,509,47,6,6,8,1,5,13,32,Jefferson County,Watertown 2
Jefferson County,Wilna 1,226,350,29,14,6,12,2,3,320,249,30,10,7,4,4,210,335,39,8,4,4,3,5,9,19,Jefferson County,Wilna 1
Jefferson County,Wilna 2,8,10,1,3,0,0,0,0,10,9,1,0,0,0,0,6,10,0,3,0,1,0,0,0,2,Jefferson County,Wilna 2
Jefferson County,Wilna 3,20,44,1,3,2,0,0,0,26,35,1,2,0,2,1,15,45,3,2,0,0,0,0,1,6,Jefferson County,Wilna 3
Jefferson County,Wilna 4,31,123,16,4,2,0,0,2,57,98,15,5,0,1,0,18,133,15,0,1,1,1,1,2,2,Jefferson County,Wilna 4
Jefferson County,Wilna 5,95,253,15,5,1,5,1,1,140,208,10,7,7,2,0,73,267,15,3,2,1,1,1,4,7,Jefferson County,Wilna 5
Jefferson County,Worth 1,23,70,7,5,0,1,1,1,38,51,4,3,1,1,0,19,76,6,3,0,1,0,2,1,2,Jefferson County,Worth 1
