county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Kings County,KING NY,504515,56338,19025,276,39328,292,306,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kings County,precinct
Kings County,Kings 41001,132,113,13,0,10,0,0,4,114,129,16,7,1,2,0,123,115,14,4,8,3,2,1,1,3,Kings County,precinct
Kings County,Kings 41002,136,153,16,0,6,0,0,1,110,179,19,3,1,1,2,117,169,18,3,3,2,0,1,2,3,Kings County,precinct
Kings County,Kings 41003,167,166,9,0,13,0,0,1,155,185,8,9,4,0,0,158,184,13,8,5,2,0,0,4,0,Kings County,precinct
Kings County,Kings 41004,127,105,12,0,14,0,0,0,124,110,13,11,1,1,0,113,107,14,6,5,6,0,0,2,5,Kings County,precinct
Kings County,Kings 41005,114,180,12,0,3,0,0,2,98,198,14,3,1,0,0,113,181,11,0,1,1,0,3,1,2,Kings County,precinct
Kings County,Kings 41006,173,143,10,0,10,0,0,0,159,154,9,6,3,0,2,155,150,11,12,4,1,0,1,3,2,Kings County,precinct
Kings County,Kings 41007,201,136,13,0,12,0,0,0,194,138,14,13,2,1,0,199,130,13,10,10,5,0,0,1,3,Kings County,precinct
Kings County,Kings 41008,145,169,7,0,4,0,0,0,140,171,7,3,2,1,1,151,150,10,3,2,4,0,0,1,3,Kings County,precinct
Kings County,Kings 41009,122,163,15,0,5,0,0,2,114,164,16,5,2,1,3,118,163,14,3,4,3,0,1,0,1,Kings County,precinct
Kings County,Kings 41010,124,115,7,0,3,0,0,1,121,125,7,3,2,0,0,129,111,8,5,1,0,0,1,1,1,Kings County,precinct
Kings County,Kings 41011,65,50,10,0,6,0,0,0,67,50,9,2,4,0,0,66,52,7,1,3,3,0,0,1,2,Kings County,precinct
Kings County,Kings 41012,89,99,6,0,6,0,0,1,78,108,7,4,1,0,1,76,110,9,1,2,1,0,1,1,0,Kings County,precinct
Kings County,Kings 41014,50,30,1,0,1,0,0,1,54,29,1,0,2,0,0,49,29,1,1,2,2,0,0,0,3,Kings County,precinct
Kings County,Kings 41015,61,33,10,0,3,0,0,0,50,42,10,1,1,1,0,55,39,10,2,1,0,0,0,0,0,Kings County,precinct
Kings County,Kings 41016,131,95,12,0,7,0,0,1,116,110,14,6,0,0,0,122,100,14,2,4,3,0,0,3,2,Kings County,precinct
Kings County,Kings 41017,185,170,26,0,10,0,0,2,176,179,27,6,7,1,3,175,184,25,6,5,4,0,2,0,3,Kings County,precinct
Kings County,Kings 41018,123,148,10,0,13,0,0,1,116,156,12,10,3,0,2,116,149,14,0,8,1,0,0,5,1,Kings County,precinct
Kings County,Kings 41019,16,21,5,0,0,0,0,0,12,25,5,0,0,0,0,16,25,3,0,0,1,0,0,0,0,Kings County,precinct
Kings County,Kings 41020,183,75,11,0,9,0,0,2,179,78,12,9,1,1,0,178,76,11,3,5,1,0,2,0,4,Kings County,precinct
Kings County,Kings 41021,247,93,6,0,6,0,0,1,239,100,8,5,3,1,1,241,102,6,2,4,2,0,1,1,0,Kings County,precinct
Kings County,Kings 41022,55,0,16,0,3,0,0,0,55,19,4,2,0,0,0,48,25,3,0,2,0,1,0,1,1,Kings County,precinct
Kings County,Kings 41023,52,0,7,0,0,0,0,0,50,5,2,0,2,0,0,50,2,1,0,0,2,0,0,0,4,Kings County,precinct
Kings County,Kings 41024,41,14,2,0,3,0,0,0,40,18,1,1,0,0,0,41,16,1,0,2,0,0,0,0,1,Kings County,precinct
Kings County,Kings 41025,64,5,3,0,1,0,0,0,63,6,3,1,0,0,0,63,6,3,1,1,0,0,0,0,0,Kings County,precinct
Kings County,Kings 41026,58,4,0,0,0,0,0,0,58,4,0,0,0,0,0,58,4,0,0,0,0,0,0,0,0,Kings County,precinct
Kings County,Kings 41027,208,28,4,0,9,0,0,0,206,33,5,4,1,0,0,205,31,4,1,4,1,1,0,1,1,Kings County,precinct
Kings County,Kings 41028,447,0,36,0,16,0,0,3,446,57,11,13,4,1,0,441,59,10,5,12,4,1,0,0,2,Kings County,precinct
Kings County,Kings 41029,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,Kings County,precinct
Kings County,Kings 41030,363,3,2,0,12,0,0,1,361,4,2,12,0,0,0,360,3,2,7,9,0,0,0,0,0,Kings County,precinct
Kings County,Kings 41031,383,14,1,0,8,0,0,0,378,13,1,5,4,0,0,381,17,1,2,4,2,1,0,0,0,Kings County,precinct
Kings County,Kings 41032,332,6,1,0,8,0,0,0,326,6,1,8,4,0,0,319,6,1,8,4,3,0,0,0,0,Kings County,precinct
Kings County,Kings 41033,339,6,4,0,19,0,0,2,336,6,3,19,4,0,0,341,4,4,3,15,5,0,0,0,3,Kings County,precinct
Kings County,Kings 41034,360,4,1,0,10,0,0,1,354,5,1,8,4,0,0,355,4,1,3,7,5,0,0,0,1,Kings County,precinct
Kings County,Kings 41035,188,137,8,0,4,0,0,0,187,137,5,4,7,0,0,166,144,8,6,4,4,0,0,2,3,Kings County,precinct
Kings County,Kings 41036,167,208,20,0,9,0,0,5,184,196,19,16,4,0,2,176,201,15,5,12,3,1,2,3,1,Kings County,precinct
Kings County,Kings 41037,470,0,6,0,12,0,0,2,466,11,1,9,1,0,1,471,14,3,2,6,2,0,0,0,0,Kings County,precinct
Kings County,Kings 41038,539,0,1,0,8,0,0,0,533,8,1,5,3,0,0,539,10,1,0,5,2,0,0,0,1,Kings County,precinct
