county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Lewis County,Croghan 1,28,99,14,4,0,2,0,0,42,80,12,3,3,0,0,12,103,14,1,0,2,0,2,3,5,Lewis County,precinct
Lewis County,Croghan 2,40,72,9,7,2,5,1,0,47,67,8,0,6,2,0,36,84,9,0,1,0,1,1,1,2,Lewis County,precinct
Lewis County,Croghan 3,86,191,25,5,1,0,1,0,104,158,20,8,2,0,1,47,199,23,6,1,0,0,1,2,20,Lewis County,precinct
Lewis County,Croghan 4,57,173,16,6,2,2,1,2,77,144,14,2,6,2,0,41,180,17,2,1,2,1,4,0,8,Lewis County,precinct
Lewis County,Croghan 5,20,30,2,2,2,2,0,0,27,24,5,1,1,0,0,17,33,2,1,1,0,0,1,1,2,Lewis County,precinct
Lewis County,Croghan 6,17,35,4,1,2,2,0,0,30,25,1,1,1,0,0,14,30,5,0,0,0,0,0,1,6,Lewis County,precinct
Lewis County,Denmark 1,47,90,12,11,0,1,1,2,58,83,10,1,6,1,2,35,104,7,2,2,2,1,1,1,7,Lewis County,precinct
Lewis County,Denmark 2,82,217,17,13,9,6,0,0,118,180,22,6,7,2,2,66,230,21,5,0,1,1,2,7,6,Lewis County,precinct
Lewis County,Denmark 3,48,150,24,3,2,7,3,0,71,121,23,8,7,0,0,36,162,24,2,0,2,0,0,4,5,Lewis County,precinct
Lewis County,Diana 1,107,198,27,10,5,9,3,0,138,158,29,9,9,5,0,81,207,31,7,0,3,2,3,5,10,Lewis County,precinct
Lewis County,Diana 2,60,88,5,4,2,0,0,0,73,66,6,5,4,0,1,39,100,6,2,1,0,0,0,3,5,Lewis County,precinct
Lewis County,Greig,124,286,25,9,2,4,1,3,159,219,21,5,13,3,3,88,308,20,5,1,2,3,2,3,21,Lewis County,precinct
Lewis County,Harrisburg,36,112,10,5,0,5,2,0,55,87,10,3,1,0,1,31,113,12,2,0,0,0,2,3,4,Lewis County,precinct
Lewis County,Lewis,52,201,16,1,1,0,0,0,66,176,15,5,2,0,1,31,203,19,2,0,0,1,2,7,9,Lewis County,precinct
Lewis County,Leyden 1,51,175,17,1,4,4,2,0,66,154,19,4,4,1,0,36,182,20,3,2,1,2,6,1,7,Lewis County,precinct
Lewis County,Leyden 2,34,80,10,2,1,5,1,0,42,72,8,1,1,1,0,20,93,9,2,0,0,0,3,2,8,Lewis County,precinct
Lewis County,Leyden 3,31,90,1,2,2,2,1,0,40,72,7,4,2,0,0,22,94,3,3,2,0,0,2,1,7,Lewis County,precinct
Lewis County,Lowville 1,79,107,11,8,5,5,2,0,99,81,9,2,9,3,0,54,132,8,0,0,1,1,1,4,12,Lewis County,precinct
Lewis County,Lowville 2,102,169,5,4,1,7,1,0,130,128,4,6,7,3,1,70,172,9,6,1,2,0,0,5,16,Lewis County,precinct
Lewis County,Lowville 3,53,80,8,5,1,2,1,0,63,62,10,4,6,2,1,35,87,10,4,1,1,1,3,0,4,Lewis County,precinct
Lewis County,Lowville 4,227,357,36,13,10,10,4,5,296,274,38,15,10,5,2,178,365,32,9,5,3,3,5,11,40,Lewis County,precinct
Lewis County,Lowville 5,30,83,6,2,0,2,0,0,40,72,1,1,5,0,0,20,92,6,1,0,1,0,0,1,3,Lewis County,precinct
