county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Madison County,City of Oneida 1,370,381,42,0,11,17,7,2,373,346,47,17,14,9,5,262,420,47,18,8,6,6,6,16,30,Madison County,City of Oneida 1
Madison County,City of Oneida 2,334,295,33,0,12,28,2,4,322,295,36,9,22,8,7,233,347,43,6,4,13,2,4,38,22,Madison County,City of Oneida 2
Madison County,City of Oneida 3,394,288,40,0,18,24,3,6,389,283,44,17,20,5,6,260,354,50,13,10,14,0,3,33,25,Madison County,City of Oneida 3
Madison County,City of Oneida 4,127,113,17,0,10,8,1,1,127,116,20,4,7,3,1,101,125,19,5,3,4,2,1,10,8,Madison County,City of Oneida 4
Madison County,City of Oneida 5,177,184,24,0,10,7,4,5,178,173,20,7,9,6,12,145,195,23,1,3,8,4,6,16,14,Madison County,City of Oneida 5
Madison County,City of Oneida 6,224,212,42,0,14,19,1,3,209,213,40,13,21,4,5,150,259,47,11,4,8,1,6,9,20,Madison County,City of Oneida 6
Madison County,Town of Brookfield 1,84,106,35,0,5,5,3,0,85,105,33,5,6,2,0,50,133,32,0,2,2,1,4,7,9,Madison County,Town of Brookfield 1
Madison County,Town of Brookfield 2,138,203,19,0,11,7,2,3,136,186,16,9,10,6,1,78,230,22,7,1,1,1,6,5,22,Madison County,Town of Brookfield 2
Madison County,Town of Brookfield 3,88,138,23,0,3,7,1,1,91,120,22,6,8,2,4,50,160,21,3,1,3,0,6,6,9,Madison County,Town of Brookfield 3
Madison County,Town of Cazenovia 1,194,217,26,0,12,7,7,2,188,214,28,11,10,8,2,125,232,31,22,6,6,4,2,16,17,Madison County,Town of Cazenovia 1
Madison County,Town of Cazenovia 2,282,170,23,0,4,14,6,2,274,168,26,4,14,8,3,212,192,27,15,3,6,4,0,23,13,Madison County,Town of Cazenovia 2
Madison County,Town of Cazenovia 3,336,137,21,0,13,11,7,0,331,138,21,14,11,8,1,254,153,23,15,12,7,5,3,23,19,Madison County,Town of Cazenovia 3
Madison County,Town of Cazenovia 4,369,237,41,0,7,19,4,2,375,217,48,6,18,6,1,292,251,46,18,4,12,1,3,25,6,Madison County,Town of Cazenovia 4
Madison County,Town of Cazenovia 5,388,319,44,0,4,11,4,5,374,320,50,6,14,5,4,293,331,56,16,4,5,4,5,37,13,Madison County,Town of Cazenovia 5
Madison County,Town of Cazenovia 6,301,177,27,0,7,5,4,0,296,175,26,1,10,4,1,233,203,26,9,1,8,2,6,21,10,Madison County,Town of Cazenovia 6
Madison County,Town of DeRuyter 1,203,303,60,0,12,11,4,3,204,278,57,12,15,4,7,157,305,57,15,5,4,3,4,5,42,Madison County,Town of DeRuyter 1
