county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Monroe County,Brighton 1,345,61,14,0,21,8,3,2,350,51,16,22,11,8,1,300,67,18,19,14,8,5,1,16,8,Monroe County,Brighton 1
Monroe County,Brighton 10,329,90,18,0,5,8,9,2,331,82,20,8,10,6,1,281,105,16,6,7,9,4,4,13,6,Monroe County,Brighton 10
Monroe County,Brighton 11,287,95,24,0,17,12,11,5,298,83,23,19,16,14,2,254,105,23,10,11,7,8,4,10,17,Monroe County,Brighton 11
Monroe County,Brighton 12,367,93,16,0,15,11,8,2,374,76,17,19,14,9,1,313,106,16,13,14,11,14,4,10,5,Monroe County,Brighton 12
Monroe County,Brighton 13,179,59,5,0,7,4,4,5,196,44,3,8,5,4,1,174,54,4,2,7,6,3,1,4,4,Monroe County,Brighton 13
Monroe County,Brighton 14,221,40,4,0,11,8,8,1,220,37,3,13,12,8,0,181,47,3,18,13,8,7,3,5,8,Monroe County,Brighton 14
Monroe County,Brighton 15,222,69,22,0,5,5,6,0,234,64,18,8,3,4,0,199,77,19,10,5,2,3,2,4,10,Monroe County,Brighton 15
Monroe County,Brighton 16,131,102,22,0,0,5,2,3,132,95,20,1,7,3,0,107,110,20,2,1,5,4,2,5,0,Monroe County,Brighton 16
Monroe County,Brighton 17,169,47,4,0,4,0,1,1,178,37,4,3,1,3,1,172,38,3,0,2,2,2,3,1,1,Monroe County,Brighton 17
Monroe County,Brighton 18,270,69,12,0,16,8,8,1,276,57,12,18,9,11,1,232,74,11,7,15,4,12,2,13,9,Monroe County,Brighton 18
Monroe County,Brighton 19,182,42,11,0,7,8,2,1,187,38,11,8,7,2,1,169,41,11,3,7,6,2,2,3,6,Monroe County,Brighton 19
Monroe County,Brighton 2,135,93,15,0,5,4,4,1,146,83,18,6,3,2,0,113,93,19,5,7,1,2,0,6,13,Monroe County,Brighton 2
Monroe County,Brighton 20,194,48,12,0,4,5,3,1,198,43,12,5,5,4,0,167,45,10,13,3,4,3,1,8,9,Monroe County,Brighton 20
Monroe County,Brighton 21,242,75,12,0,10,6,8,1,243,74,12,8,4,8,1,215,78,11,5,8,4,7,2,9,5,Monroe County,Brighton 21
Monroe County,Brighton 22,278,83,18,0,7,6,1,2,281,70,19,8,8,5,1,257,77,19,13,7,3,2,2,6,4,Monroe County,Brighton 22
Monroe County,Brighton 23,224,58,13,0,7,3,4,2,228,52,12,10,3,3,1,200,68,10,7,5,3,5,0,6,4,Monroe County,Brighton 23
Monroe County,Brighton 24,262,135,14,0,8,6,2,1,286,91,19,11,13,4,2,240,118,20,4,7,7,3,2,8,6,Monroe County,Brighton 24
Monroe County,Brighton 25,203,53,12,0,13,2,7,3,205,48,12,16,3,7,1,177,56,10,6,16,0,4,4,16,3,Monroe County,Brighton 25
Monroe County,Brighton 26,150,87,14,0,8,10,4,2,165,74,13,13,7,3,1,131,76,16,4,8,10,5,1,7,12,Monroe County,Brighton 26
Monroe County,Brighton 27,199,59,8,0,7,6,5,2,201,58,9,6,5,8,0,172,67,5,14,4,2,6,1,6,8,Monroe County,Brighton 27
Monroe County,Brighton 28,337,112,15,0,16,14,6,2,345,94,10,18,15,9,2,292,120,11,14,18,4,9,2,11,10,Monroe County,Brighton 28
Monroe County,Brighton 29,170,84,12,0,3,3,4,2,176,71,9,5,5,4,1,165,81,14,1,4,1,2,2,2,4,Monroe County,Brighton 29
Monroe County,Brighton 3,227,112,15,0,4,5,6,1,239,91,13,6,6,6,1,214,105,9,6,5,3,2,2,5,8,Monroe County,Brighton 3
Monroe County,Brighton 30,487,143,9,0,5,8,4,4,502,120,8,10,13,7,0,464,126,13,13,4,12,4,3,7,5,Monroe County,Brighton 30
Monroe County,Brighton 31,240,63,7,0,9,10,12,2,253,49,8,10,6,12,0,216,61,10,5,11,5,11,2,10,4,Monroe County,Brighton 31
Monroe County,Brighton 32,294,83,13,0,11,10,9,4,310,65,14,12,9,8,4,265,77,14,13,11,9,5,2,12,4,Monroe County,Brighton 32
Monroe County,Brighton 33,298,104,13,0,8,5,4,0,313,93,13,6,5,5,2,257,124,15,11,6,4,3,1,5,1,Monroe County,Brighton 33
Monroe County,Brighton 34,260,74,17,0,12,4,8,0,269,61,16,10,9,8,2,211,86,17,7,12,7,6,2,9,12,Monroe County,Brighton 34
Monroe County,Brighton 35,239,48,8,0,7,3,5,0,233,47,9,10,5,5,0,216,51,7,7,8,2,7,1,5,5,Monroe County,Brighton 35
Monroe County,Brighton 36,223,46,14,0,6,11,5,2,235,42,14,3,9,5,2,208,53,13,11,0,7,4,1,3,14,Monroe County,Brighton 36
Monroe County,Brighton 37,234,47,11,0,4,4,3,1,241,40,10,4,7,2,0,211,53,8,5,4,6,1,1,7,2,Monroe County,Brighton 37
Monroe County,Brighton 38,271,92,19,0,10,5,2,0,279,80,15,12,9,3,0,250,86,19,8,9,5,1,1,7,6,Monroe County,Brighton 38
Monroe County,Brighton 39,219,70,16,0,5,6,8,6,221,57,16,6,14,9,3,187,71,16,8,4,5,7,3,8,11,Monroe County,Brighton 39
Monroe County,Brighton 4,293,72,12,0,13,7,4,2,288,66,10,25,8,5,0,252,79,10,10,17,7,5,1,11,6,Monroe County,Brighton 4
Monroe County,Brighton 40,449,114,13,0,6,9,7,2,458,105,14,8,10,5,1,412,116,13,6,11,5,3,2,15,7,Monroe County,Brighton 40
Monroe County,Brighton 41,345,100,9,0,6,11,8,5,340,102,6,8,11,13,2,320,101,9,10,3,7,12,2,6,15,Monroe County,Brighton 41
Monroe County,Brighton 42,103,17,9,0,4,0,1,0,102,16,9,4,2,0,0,86,23,8,1,4,0,2,1,6,0,Monroe County,Brighton 42
Monroe County,Brighton 43,264,91,8,0,7,9,3,2,277,88,9,6,4,2,4,252,88,9,6,4,4,2,0,8,11,Monroe County,Brighton 43
Monroe County,Brighton 44,98,42,8,0,0,3,3,0,97,39,7,1,3,2,0,84,42,6,5,2,2,2,2,1,5,Monroe County,Brighton 44
Monroe County,Brighton 45,182,79,5,0,5,2,4,3,179,73,7,7,6,4,0,155,83,6,7,3,4,3,2,3,8,Monroe County,Brighton 45
Monroe County,Brighton 46,162,42,6,0,1,3,2,0,168,35,7,1,4,2,0,152,37,10,2,2,3,0,0,5,1,Monroe County,Brighton 46
Monroe County,Brighton 5,298,59,12,0,14,6,10,2,294,58,13,17,6,11,1,255,64,13,14,17,3,9,2,12,5,Monroe County,Brighton 5
Monroe County,Brighton 6,352,136,21,0,16,8,7,2,360,114,22,17,12,10,2,310,139,15,13,14,9,7,2,10,13,Monroe County,Brighton 6
Monroe County,Brighton 7,206,77,11,0,14,15,1,2,217,65,10,15,11,5,1,177,87,8,7,14,5,3,5,4,12,Monroe County,Brighton 7
Monroe County,Brighton 8,209,168,12,0,1,5,3,4,250,132,11,1,1,3,5,203,157,14,2,2,3,1,2,10,4,Monroe County,Brighton 8
Monroe County,Brighton 9,244,65,22,0,15,3,2,5,250,60,20,15,4,3,2,217,67,16,8,11,2,1,3,7,12,Monroe County,Brighton 9
Monroe County,Chili 1,136,114,32,0,3,4,2,4,144,104,30,4,8,2,2,117,121,33,2,2,7,2,0,3,6,Monroe County,Chili 1
Monroe County,Chili 10,82,109,36,0,4,6,2,2,99,91,35,2,6,2,2,61,110,33,6,4,2,3,0,2,14,Monroe County,Chili 10
Monroe County,Chili 11,145,183,35,0,4,9,4,5,163,159,36,5,8,2,5,112,183,38,6,4,6,2,3,6,17,Monroe County,Chili 11
Monroe County,Chili 12,162,142,33,0,3,2,4,1,182,124,29,4,7,3,0,134,155,30,8,3,2,0,1,6,7,Monroe County,Chili 12
Monroe County,Chili 13,204,227,61,0,6,8,4,4,213,213,51,11,9,3,7,152,239,54,6,5,5,1,5,6,16,Monroe County,Chili 13
Monroe County,Chili 14,128,161,38,0,4,7,6,4,145,145,37,4,8,7,1,102,165,41,7,4,2,2,4,5,21,Monroe County,Chili 14
Monroe County,Chili 15,134,132,31,0,0,8,0,4,134,118,30,1,10,3,3,106,132,33,6,0,6,0,1,4,14,Monroe County,Chili 15
Monroe County,Chili 16,279,312,65,0,9,11,2,4,307,288,61,9,16,2,0,253,320,66,7,8,7,2,5,3,15,Monroe County,Chili 16
Monroe County,Chili 17,323,389,80,0,9,14,2,9,364,336,82,14,13,3,6,300,390,80,2,6,7,2,4,6,24,Monroe County,Chili 17
Monroe County,Chili 18,155,178,37,0,3,6,3,4,170,159,36,2,11,3,5,127,191,29,6,1,6,3,1,6,15,Monroe County,Chili 18
Monroe County,Chili 19,167,140,20,0,4,3,1,2,181,117,22,6,7,1,1,144,142,21,1,2,5,2,3,2,9,Monroe County,Chili 19
Monroe County,Chili 2,127,251,57,0,12,6,3,0,152,216,50,11,12,3,4,87,250,59,6,8,3,3,2,3,29,Monroe County,Chili 2
Monroe County,Chili 20,257,175,35,0,8,4,5,2,270,152,36,10,7,3,0,198,202,35,4,6,4,3,1,10,10,Monroe County,Chili 20
Monroe County,Chili 21,112,114,21,0,3,5,1,0,129,96,19,3,7,1,0,103,105,21,5,2,5,0,0,0,11,Monroe County,Chili 21
Monroe County,Chili 22,265,103,20,0,7,7,3,3,270,98,17,7,7,4,2,254,106,16,3,6,3,1,0,4,11,Monroe County,Chili 22
Monroe County,Chili 23,134,114,29,0,3,3,3,1,138,105,27,7,4,3,0,115,117,27,1,2,2,3,0,2,14,Monroe County,Chili 23
Monroe County,Chili 24,385,284,60,0,7,12,4,7,404,257,58,7,15,6,6,309,313,56,9,4,8,1,7,18,31,Monroe County,Chili 24
Monroe County,Chili 25,182,94,20,0,3,6,3,3,199,75,15,7,7,4,1,171,91,17,6,3,3,1,3,7,9,Monroe County,Chili 25
Monroe County,Chili 26,169,205,61,0,5,8,3,4,170,198,63,5,8,3,2,126,211,59,4,5,3,2,5,7,24,Monroe County,Chili 26
