county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Montgomery County,Amsterdam 1,319,290,0,0,18,0,1,3,252,288,64,13,12,3,2,161,369,68,7,3,3,0,6,7,7,Montgomery County,Amsterdam 1
Montgomery County,Amsterdam 2,312,223,0,0,13,0,2,2,255,241,31,13,19,2,1,169,311,42,13,1,10,2,4,9,11,Montgomery County,Amsterdam 2
Montgomery County,Amsterdam 3,196,238,0,0,17,0,4,2,166,231,45,7,10,2,0,98,272,54,12,3,3,2,5,6,11,Montgomery County,Amsterdam 3
Montgomery County,Amsterdam 4,310,282,0,0,21,0,2,4,252,285,48,12,18,1,4,178,337,63,9,7,8,1,6,7,14,Montgomery County,Amsterdam 4
Montgomery County,Canajoharie 1,240,275,35,19,8,4,10,5,255,274,42,11,8,4,6,162,351,43,8,2,4,3,5,9,18,Montgomery County,Canajoharie 1
Montgomery County,Canajoharie 2,98,150,15,9,5,2,0,0,104,153,14,6,5,0,0,62,181,16,4,1,1,0,4,2,10,Montgomery County,Canajoharie 2
Montgomery County,Canajoharie 3,87,174,24,5,6,3,0,1,93,165,23,8,8,0,3,63,190,30,2,1,2,1,2,3,5,Montgomery County,Canajoharie 3
Montgomery County,Charleston 1,174,290,0,0,25,0,5,6,137,273,64,12,14,4,3,82,327,65,4,4,2,0,6,8,14,Montgomery County,Charleston 1
Montgomery County,City of Amsterdam Ward 1 1,289,138,0,0,17,0,4,0,249,155,16,8,8,2,1,185,211,16,7,6,4,2,0,9,4,Montgomery County,City of Amsterdam Ward 1 1
Montgomery County,City of Amsterdam Ward 1 2,75,83,0,0,4,0,0,0,68,80,9,1,2,0,0,49,85,12,4,1,1,0,1,2,3,Montgomery County,City of Amsterdam Ward 1 2
Montgomery County,City of Amsterdam Ward 1 3,261,142,0,0,12,0,3,2,224,142,30,8,12,4,3,165,184,38,3,4,7,3,8,3,6,Montgomery County,City of Amsterdam Ward 1 3
Montgomery County,City of Amsterdam Ward 1 4,140,83,0,0,8,0,1,1,121,79,18,4,5,1,2,80,104,28,4,1,2,1,2,4,8,Montgomery County,City of Amsterdam Ward 1 4
Montgomery County,City of Amsterdam Ward 2 1,33,12,0,0,1,0,1,0,26,14,2,3,0,1,0,26,18,0,1,1,0,1,0,1,0,Montgomery County,City of Amsterdam Ward 2 1
Montgomery County,City of Amsterdam Ward 2 2,66,36,0,0,3,0,0,0,63,29,5,2,2,1,0,51,39,5,2,2,2,0,0,2,1,Montgomery County,City of Amsterdam Ward 2 2
Montgomery County,City of Amsterdam Ward 2 3,36,35,0,0,6,0,2,0,26,32,7,4,3,3,2,20,44,8,1,1,2,2,1,0,2,Montgomery County,City of Amsterdam Ward 2 3
Montgomery County,City of Amsterdam Ward 2 4,275,218,0,0,16,0,9,1,233,207,41,18,12,5,3,172,273,42,6,6,4,4,2,4,17,Montgomery County,City of Amsterdam Ward 2 4
Montgomery County,City of Amsterdam Ward 3 1,277,119,0,0,16,0,6,2,250,115,22,10,11,3,0,195,159,25,3,6,10,3,8,0,6,Montgomery County,City of Amsterdam Ward 3 1
Montgomery County,City of Amsterdam Ward 3 2,163,84,0,0,11,0,1,1,137,96,9,5,5,2,2,104,127,11,7,0,5,0,1,3,2,Montgomery County,City of Amsterdam Ward 3 2
Montgomery County,City of Amsterdam Ward 3 3,160,65,0,0,11,0,2,3,143,67,12,6,8,2,1,103,92,16,8,2,5,2,1,3,3,Montgomery County,City of Amsterdam Ward 3 3
Montgomery County,City of Amsterdam Ward 4 1,151,88,0,0,9,0,4,0,136,81,14,8,9,2,0,108,98,17,7,5,5,3,3,2,4,Montgomery County,City of Amsterdam Ward 4 1
Montgomery County,City of Amsterdam Ward 4 2,259,131,0,0,20,0,5,4,223,138,29,15,6,5,3,164,193,33,7,3,3,1,6,5,10,Montgomery County,City of Amsterdam Ward 4 2
Montgomery County,City of Amsterdam Ward 5 1,96,44,0,0,5,0,4,2,79,46,8,3,2,7,1,74,61,5,5,1,2,2,0,2,4,Montgomery County,City of Amsterdam Ward 5 1
Montgomery County,City of Amsterdam Ward 5 2,67,44,0,0,4,0,3,1,62,35,13,1,3,3,3,42,57,15,2,1,1,2,2,0,0,Montgomery County,City of Amsterdam Ward 5 2
Montgomery County,City of Amsterdam Ward 5 3,108,32,0,0,1,0,2,1,98,31,7,1,2,0,1,86,40,8,0,0,1,0,1,1,1,Montgomery County,City of Amsterdam Ward 5 3
Montgomery County,City of Amsterdam Ward 5 4,193,183,0,0,13,0,2,1,178,167,17,6,4,3,3,123,215,23,4,2,1,0,2,5,16,Montgomery County,City of Amsterdam Ward 5 4
Montgomery County,Florida 1,186,189,0,0,10,0,3,2,155,191,32,7,2,3,3,75,241,33,9,4,2,4,0,8,16,Montgomery County,Florida 1
Montgomery County,Florida 2,135,162,0,0,13,0,1,4,101,171,21,5,9,3,1,61,214,23,2,1,6,0,0,5,5,Montgomery County,Florida 2
Montgomery County,Florida 3,186,248,0,0,13,0,2,2,168,218,51,6,9,2,3,75,296,50,14,1,4,1,3,6,8,Montgomery County,Florida 3
Montgomery County,Glen 1,171,188,0,0,15,0,2,3,139,191,22,7,12,0,3,73,243,27,3,2,1,0,5,9,14,Montgomery County,Glen 1
Montgomery County,Glen 2,182,224,0,0,9,0,7,2,154,211,40,7,13,4,5,76,273,50,13,2,5,2,6,1,12,Montgomery County,Glen 2
Montgomery County,Minden 1,141,291,51,27,10,13,8,2,149,297,61,11,17,3,8,74,364,64,3,3,3,2,10,10,28,Montgomery County,Minden 1
Montgomery County,Minden 2,221,325,40,17,14,6,7,1,263,292,42,15,10,4,6,168,377,47,8,5,2,2,3,10,17,Montgomery County,Minden 2
Montgomery County,Mohawk 1,237,269,0,0,18,0,4,6,190,274,46,9,12,5,3,114,337,48,6,3,5,2,9,5,24,Montgomery County,Mohawk 1
Montgomery County,Mohawk 2,226,209,0,0,13,0,5,1,189,218,32,10,6,4,3,104,281,44,5,1,2,2,4,6,16,Montgomery County,Mohawk 2
Montgomery County,Mohawk 3,133,187,0,0,15,0,1,1,106,184,37,8,7,2,1,62,236,44,0,2,2,1,1,4,6,Montgomery County,Mohawk 3
Montgomery County,Palatine 1,113,286,32,11,16,3,0,2,135,269,31,15,9,2,5,69,327,32,7,8,3,0,1,3,13,Montgomery County,Palatine 1
Montgomery County,Palatine 2,90,140,12,1,5,4,3,0,110,117,14,7,7,2,1,64,154,17,1,0,2,0,6,5,6,Montgomery County,Palatine 2
Montgomery County,Palatine 3,56,98,9,6,4,2,1,0,60,95,9,8,4,1,0,37,118,11,2,3,2,0,0,1,5,Montgomery County,Palatine 3
Montgomery County,Palatine 4,7,34,3,1,0,0,0,0,13,26,3,1,0,1,0,3,37,1,0,0,0,0,0,0,3,Montgomery County,Palatine 4
Montgomery County,Root 1,193,354,60,16,17,8,2,1,197,344,61,24,16,2,6,123,420,82,2,5,4,1,4,7,16,Montgomery County,Root 1
Montgomery County,St Johnsville 1,120,170,17,5,8,2,3,2,123,163,17,12,7,1,3,80,198,22,2,3,3,0,1,5,12,Montgomery County,St Johnsville 1
Montgomery County,St Johnsville 2,149,215,35,8,10,0,2,0,158,201,39,7,11,2,2,101,250,37,3,2,4,4,5,6,20,Montgomery County,St Johnsville 2
