county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Nassau County,20001,228,29,9,0,0,0,2,0,236,30,10,8,4,1,1,0,0,0,0,0,0,0,0,0,0,Nassau County,20001
Nassau County,20002,202,27,10,0,0,0,0,0,205,23,8,16,3,3,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20002
Nassau County,20003,265,26,8,0,0,0,2,0,280,33,10,15,1,4,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20003
Nassau County,20004,193,22,11,0,0,0,2,0,208,24,7,9,7,1,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20004
Nassau County,20005,172,30,10,0,0,0,3,0,183,28,9,9,5,5,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20005
Nassau County,20006,149,16,7,0,0,0,1,1,150,19,11,5,6,1,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20006
Nassau County,20007,105,10,6,0,0,0,1,0,109,13,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20007
Nassau County,20008,31,6,3,0,0,0,0,0,30,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20008
Nassau County,20009,98,12,7,0,0,0,1,0,106,11,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20009
Nassau County,20010,155,8,5,0,0,0,2,0,166,6,7,10,3,1,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20010
Nassau County,20011,165,24,17,0,0,0,3,0,172,19,17,5,1,3,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20011
Nassau County,20012,112,15,14,0,0,0,3,0,112,16,8,10,6,4,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20012
Nassau County,20013,230,44,9,0,0,0,2,0,244,41,13,10,4,2,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20013
Nassau County,20014,141,21,8,0,0,0,1,0,143,21,17,7,3,1,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20014
Nassau County,20015,130,13,12,0,0,0,0,0,124,14,11,3,6,3,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20015
Nassau County,20016,120,27,3,0,0,0,2,0,125,22,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20016
Nassau County,20017,134,20,10,0,0,0,2,0,137,15,1,7,6,0,1,0,0,0,0,0,0,0,0,0,0,Nassau County,20017
Nassau County,20018,170,22,10,0,0,0,1,0,170,21,15,8,7,3,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20018
Nassau County,20019,195,22,14,0,0,0,0,1,196,17,12,12,7,1,0,0,0,0,0,0,0,0,0,0,0,Nassau County,20019
Nassau County,20020,103,15,7,0,0,0,0,0,112,10,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,Nassau County,20020
