county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
New York County,New York,295706,16476,1292,0,9217,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York County,precinct
New York County,New York 65001,378,65,3,0,14,0,0,1,386,62,1,12,5,3,0,372,60,1,7,11,3,3,0,3,4,New York County,precinct
New York County,New York 65002,505,89,8,0,12,0,0,3,503,85,8,12,6,2,0,476,83,6,14,8,8,4,0,7,8,New York County,precinct
New York County,New York 65003,512,88,10,0,13,0,0,1,509,79,13,11,9,4,1,487,78,7,6,14,7,3,0,7,3,New York County,precinct
New York County,New York 65004,425,83,6,0,11,0,0,2,433,74,5,7,6,4,0,408,73,3,10,6,7,2,0,4,11,New York County,precinct
New York County,New York 65005,238,41,5,0,5,0,0,0,239,38,3,5,3,0,2,231,36,5,3,4,3,0,0,1,4,New York County,precinct
New York County,New York 65006,388,80,7,0,15,0,0,2,384,83,5,11,7,3,1,369,87,6,2,15,9,0,0,6,3,New York County,precinct
New York County,New York 65007,294,119,2,0,29,0,0,0,293,117,2,21,9,1,0,282,120,3,14,23,10,0,0,1,1,New York County,precinct
New York County,New York 65008,366,133,12,0,33,0,0,2,371,129,12,24,4,6,2,347,134,9,13,17,8,5,2,8,5,New York County,precinct
New York County,New York 65009,320,50,2,0,15,0,0,6,319,45,1,14,9,2,6,290,45,0,16,15,7,3,2,3,11,New York County,precinct
New York County,New York 65010,405,31,2,0,12,0,0,2,403,27,3,7,10,4,0,369,30,2,14,11,7,3,1,6,4,New York County,precinct
New York County,New York 65011,394,58,6,0,12,0,0,1,389,54,5,10,8,5,2,354,50,9,6,10,9,3,1,2,14,New York County,precinct
New York County,New York 65012,337,97,2,0,8,0,0,0,335,93,3,8,10,0,0,314,102,2,7,5,8,0,0,5,3,New York County,precinct
New York County,New York 65013,363,101,5,0,18,0,0,1,379,88,4,13,5,2,0,355,89,4,8,11,3,1,0,4,4,New York County,precinct
New York County,New York 65014,411,113,4,0,23,0,0,4,414,108,4,15,10,1,4,387,104,4,9,13,11,1,2,9,5,New York County,precinct
New York County,New York 65015,395,80,7,0,19,0,0,3,384,82,5,16,7,3,2,369,73,6,8,14,8,0,2,4,5,New York County,precinct
New York County,New York 65016,553,96,14,0,28,0,0,2,537,101,14,15,15,7,2,505,89,13,15,20,21,1,1,4,9,New York County,precinct
New York County,New York 65017,7,3,0,0,2,0,0,0,7,3,0,2,0,0,0,5,2,0,1,1,0,0,0,0,0,New York County,precinct
New York County,New York 65018,229,0,4,0,4,0,0,3,226,9,1,3,4,0,0,234,10,1,8,0,2,0,0,0,1,New York County,precinct
New York County,New York 65019,213,0,9,0,6,0,0,1,203,16,2,6,1,3,1,221,19,3,1,2,3,1,0,1,3,New York County,precinct
New York County,New York 65020,210,0,18,0,9,0,0,2,204,21,3,8,3,0,1,210,26,2,1,11,4,1,0,0,1,New York County,precinct
New York County,New York 65021,286,0,12,0,22,0,0,7,281,22,4,14,6,5,2,286,34,2,14,12,7,0,0,0,2,New York County,precinct
New York County,New York 65022,381,0,60,0,29,0,0,5,388,82,11,21,13,2,1,351,94,9,19,20,9,0,1,3,2,New York County,precinct
New York County,New York 65023,201,0,16,0,14,0,0,5,205,37,2,10,2,3,0,195,39,2,13,10,1,4,1,2,2,New York County,precinct
New York County,New York 65024,281,0,17,0,24,0,0,1,279,42,2,16,3,4,0,267,45,1,15,14,4,1,0,3,1,New York County,precinct
New York County,New York 65025,110,0,23,0,3,0,0,3,110,62,2,3,0,0,1,109,62,4,2,3,0,0,0,1,1,New York County,precinct
New York County,New York 65026,130,0,14,0,11,0,0,0,128,38,1,9,1,2,0,130,42,0,5,8,1,0,0,0,0,New York County,precinct
New York County,New York 65027,219,0,40,0,11,0,0,7,221,71,5,12,5,1,0,233,75,6,9,8,2,2,0,1,1,New York County,precinct
New York County,New York 65028,179,0,5,0,11,0,0,7,181,18,2,8,1,2,0,160,23,1,15,9,1,1,1,3,2,New York County,precinct
New York County,New York 65029,180,0,15,0,13,0,0,3,174,28,0,12,3,2,0,155,33,1,14,11,1,1,0,4,0,New York County,precinct
New York County,New York 65030,276,0,30,0,26,0,0,4,276,55,3,14,8,2,0,249,68,1,23,9,8,3,1,2,4,New York County,precinct
New York County,New York 65031,313,0,19,0,6,0,0,3,307,60,0,5,5,2,0,302,68,1,12,1,6,2,1,0,0,New York County,precinct
New York County,New York 65032,241,0,18,0,18,0,0,2,241,36,1,15,3,1,1,218,34,0,20,11,5,3,1,2,0,New York County,precinct
New York County,New York 65033,296,0,23,0,9,0,0,6,301,29,4,9,4,2,0,308,32,4,13,5,1,1,1,0,0,New York County,precinct
New York County,New York 65034,244,0,18,0,9,0,0,7,246,30,3,6,4,1,1,251,31,5,4,3,1,0,0,0,0,New York County,precinct
New York County,New York 65035,253,0,15,0,13,0,0,6,243,22,4,8,3,1,2,260,17,2,9,4,1,0,0,2,2,New York County,precinct
New York County,New York 65036,230,0,7,0,5,0,0,6,228,20,2,4,2,1,0,244,23,0,4,3,2,1,0,0,1,New York County,precinct
New York County,New York 65037,290,0,14,0,5,0,0,3,282,33,1,5,4,0,0,287,31,2,12,3,4,1,0,0,0,New York County,precinct
New York County,New York 65038,310,0,23,0,13,0,0,2,304,34,2,13,2,0,0,312,33,2,6,9,1,0,0,1,1,New York County,precinct
New York County,New York 65039,286,0,40,0,20,0,0,4,288,50,5,16,7,1,0,299,57,4,5,11,5,0,0,2,0,New York County,precinct
New York County,New York 65040,275,0,15,0,7,0,0,6,274,9,1,8,2,1,3,291,9,1,5,7,0,1,2,0,0,New York County,precinct
New York County,New York 65041,267,0,28,0,22,0,0,1,260,42,3,20,0,3,0,240,43,6,16,16,2,2,3,2,3,New York County,precinct
New York County,New York 65042,199,0,13,0,14,0,0,3,202,24,1,10,5,0,0,210,23,1,1,6,4,0,0,1,0,New York County,precinct
New York County,New York 65043,301,0,13,0,11,0,0,7,295,16,3,12,2,1,0,299,20,2,14,6,3,0,0,0,1,New York County,precinct
New York County,New York 65044,397,0,74,0,32,0,0,7,390,98,8,32,2,1,3,395,91,6,10,30,5,0,2,2,2,New York County,precinct
New York County,New York 65045,376,0,71,0,37,0,0,3,369,89,10,31,6,5,0,370,86,6,9,27,10,2,0,0,3,New York County,precinct
New York County,New York 65046,284,0,65,0,27,0,0,10,282,81,8,27,6,2,0,280,64,11,14,23,5,0,1,1,2,New York County,precinct
