county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Niagara County,Cambria  000 : 001,324,422,88,0,26,6,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,Cambria  000 : 001
Niagara County,Cambria  000 : 002,420,536,118,0,46,12,12,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,Cambria  000 : 002
Niagara County,Cambria  000 : 003,466,534,88,0,40,4,4,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,Cambria  000 : 003
Niagara County,Cambria  000 : 004,536,524,120,0,50,2,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,Cambria  000 : 004
Niagara County,Cambria 000  : 001,0,0,0,0,0,0,0,0,146,232,47,8,3,3,3,119,260,55,5,3,2,2,1,1,7,Niagara County,Cambria 000  : 001
Niagara County,Cambria 000  : 002,0,0,0,0,0,0,0,0,199,289,66,12,12,2,3,146,341,73,4,9,6,0,4,2,13,Niagara County,Cambria 000  : 002
Niagara County,Cambria 000  : 003,0,0,0,0,0,0,0,0,208,311,48,15,9,2,2,149,337,59,8,9,2,1,4,9,15,Niagara County,Cambria 000  : 003
Niagara County,Cambria 000  : 004,0,0,0,0,0,0,0,0,237,313,66,12,16,3,5,180,354,72,11,5,9,1,7,7,9,Niagara County,Cambria 000  : 004
Niagara County,City of Lockport  001 : 001,390,152,38,0,26,8,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  001 : 001
Niagara County,City of Lockport  001 : 002,316,212,16,0,18,6,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  001 : 002
Niagara County,City of Lockport  001 : 003,470,240,56,0,56,6,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  001 : 003
Niagara County,City of Lockport  001 : 004,130,48,4,0,12,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  001 : 004
Niagara County,City of Lockport  002 : 001,274,152,30,0,22,4,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  002 : 001
Niagara County,City of Lockport  002 : 002,394,186,24,0,16,4,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  002 : 002
Niagara County,City of Lockport  002 : 003,464,270,36,0,20,6,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  002 : 003
Niagara County,City of Lockport  002 : 004,572,432,58,0,32,12,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  002 : 004
Niagara County,City of Lockport  003 : 001,454,254,28,0,44,12,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  003 : 001
Niagara County,City of Lockport  003 : 002,320,170,26,0,26,8,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  003 : 002
Niagara County,City of Lockport  003 : 003,344,194,34,0,34,14,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  003 : 003
Niagara County,City of Lockport  004 : 001,320,224,46,0,32,4,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  004 : 001
Niagara County,City of Lockport  004 : 002,316,170,40,0,20,0,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  004 : 002
Niagara County,City of Lockport  004 : 003,494,288,64,0,34,4,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  004 : 003
Niagara County,City of Lockport  004 : 004,228,136,20,0,20,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  004 : 004
Niagara County,City of Lockport  005 : 001,322,162,30,0,18,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  005 : 001
Niagara County,City of Lockport  005 : 002,388,266,54,0,18,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  005 : 002
Niagara County,City of Lockport  005 : 003,632,352,64,0,30,6,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  005 : 003
Niagara County,City of Lockport  005 : 004,346,166,36,0,24,6,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Niagara County,City of Lockport  005 : 004
Niagara County,City of Lockport 001 : 001,0,0,0,0,0,0,0,0,181,86,21,8,11,3,3,140,131,18,6,2,4,2,5,6,10,Niagara County,City of Lockport 001 : 001
Niagara County,City of Lockport 001 : 002,0,0,0,0,0,0,0,0,150,119,8,5,7,2,2,119,140,9,8,6,4,2,2,2,8,Niagara County,City of Lockport 001 : 002
Niagara County,City of Lockport 001 : 003,0,0,0,0,0,0,0,0,207,147,35,17,13,5,0,166,175,41,12,6,7,6,5,3,13,Niagara County,City of Lockport 001 : 003
Niagara County,City of Lockport 001 : 004,0,0,0,0,0,0,0,0,63,23,3,4,4,0,1,52,33,5,2,1,2,1,3,1,6,Niagara County,City of Lockport 001 : 004
Niagara County,City of Lockport 002 : 001,0,0,0,0,0,0,0,0,133,79,16,8,9,5,0,117,83,25,5,5,5,1,0,2,7,Niagara County,City of Lockport 002 : 001
Niagara County,City of Lockport 002 : 002,0,0,0,0,0,0,0,0,170,115,12,8,3,4,3,147,132,15,5,5,3,3,1,4,7,Niagara County,City of Lockport 002 : 002
Niagara County,City of Lockport 002 : 003,0,0,0,0,0,0,0,0,206,150,21,8,11,5,1,154,191,25,5,3,8,1,3,6,11,Niagara County,City of Lockport 002 : 003
Niagara County,City of Lockport 002 : 004,0,0,0,0,0,0,0,0,268,236,32,12,16,4,2,211,254,46,5,15,14,1,2,11,6,Niagara County,City of Lockport 002 : 004
Niagara County,City of Lockport 003 : 001,0,0,0,0,0,0,0,0,200,149,26,15,14,3,4,160,184,29,6,7,6,0,7,4,22,Niagara County,City of Lockport 003 : 001
Niagara County,City of Lockport 003 : 002,0,0,0,0,0,0,0,0,154,97,11,11,9,8,2,123,128,15,1,3,3,3,3,5,10,Niagara County,City of Lockport 003 : 002
Niagara County,City of Lockport 003 : 003,0,0,0,0,0,0,0,0,164,119,17,5,6,3,1,125,136,26,6,4,8,4,1,4,12,Niagara County,City of Lockport 003 : 003
Niagara County,City of Lockport 004 : 001,0,0,0,0,0,0,0,0,151,112,24,9,13,3,2,111,152,23,10,4,9,3,3,3,8,Niagara County,City of Lockport 004 : 001
Niagara County,City of Lockport 004 : 002,0,0,0,0,0,0,0,0,146,103,21,11,6,2,3,119,114,24,7,4,5,1,3,3,8,Niagara County,City of Lockport 004 : 002
Niagara County,City of Lockport 004 : 003,0,0,0,0,0,0,0,0,224,160,36,10,12,3,2,177,201,39,4,7,6,2,1,3,8,Niagara County,City of Lockport 004 : 003
Niagara County,City of Lockport 004 : 004,0,0,0,0,0,0,0,0,104,70,18,4,8,3,1,96,74,21,5,1,5,1,0,4,6,Niagara County,City of Lockport 004 : 004
Niagara County,City of Lockport 005 : 001,0,0,0,0,0,0,0,0,151,84,20,9,7,2,1,122,102,19,5,5,6,0,1,4,15,Niagara County,City of Lockport 005 : 001
Niagara County,City of Lockport 005 : 002,0,0,0,0,0,0,0,0,171,152,26,12,12,1,0,132,170,32,8,4,9,1,2,7,11,Niagara County,City of Lockport 005 : 002
Niagara County,City of Lockport 005 : 003,0,0,0,0,0,0,0,0,293,201,32,9,6,6,6,249,242,37,9,6,5,3,6,7,5,Niagara County,City of Lockport 005 : 003
