county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Oneida County,ANNSVILLE 1,152,368,34,0,11,13,7,6,146,325,32,4,19,3,5,84,399,35,11,3,6,3,4,7,20,Oneida County,precinct
Oneida County,ANNSVILLE 2,63,146,17,0,2,3,1,2,67,117,14,4,4,2,0,40,147,13,6,3,1,1,2,7,10,Oneida County,precinct
Oneida County,ANNSVILLE 3,21,88,9,0,0,2,0,1,25,68,10,0,3,0,2,12,83,8,0,0,1,0,0,0,10,Oneida County,precinct
Oneida County,AUGUSTA 1,91,215,27,0,5,12,2,3,98,189,22,7,12,3,3,57,232,28,4,1,6,1,1,10,10,Oneida County,precinct
Oneida County,AUGUSTA 2,101,175,25,0,6,8,1,1,102,148,25,9,11,1,2,69,191,26,5,1,2,1,2,8,11,Oneida County,precinct
Oneida County,AVA 1,44,150,9,0,3,4,1,1,45,142,5,5,5,0,0,18,161,15,1,1,1,0,4,3,9,Oneida County,precinct
Oneida County,BOONVILLE 1,239,312,35,0,5,18,2,4,208,303,35,7,35,3,2,132,371,39,6,2,11,2,6,18,30,Oneida County,precinct
Oneida County,BOONVILLE 2,178,267,28,0,6,6,5,2,166,254,25,8,11,2,0,114,294,33,6,1,3,1,1,12,27,Oneida County,precinct
Oneida County,BOONVILLE 3,57,146,12,0,1,3,1,0,61,131,11,5,7,0,0,41,144,15,3,0,2,0,1,2,10,Oneida County,precinct
Oneida County,BOONVILLE 4,66,139,10,0,4,5,2,0,65,127,9,4,5,1,1,46,147,11,5,1,4,2,1,2,4,Oneida County,precinct
Oneida County,BRIDGEWATER 1,135,266,27,0,9,13,4,2,130,235,30,12,16,5,2,85,276,31,7,1,7,1,2,5,27,Oneida County,precinct
Oneida County,CAMDEN 1,215,355,34,0,10,18,0,2,192,340,30,7,19,4,2,135,397,29,5,6,5,1,9,15,30,Oneida County,precinct
Oneida County,CAMDEN 2,170,338,46,0,9,13,2,1,160,316,50,8,14,2,0,114,350,43,6,1,9,1,2,11,36,Oneida County,precinct
Oneida County,CAMDEN 3,101,241,19,0,1,2,0,2,97,214,23,5,6,2,2,70,225,21,6,2,2,2,1,7,34,Oneida County,precinct
Oneida County,DEERFIELD 1,366,350,36,0,9,19,3,6,347,321,41,10,22,7,2,246,405,40,10,7,4,4,2,15,27,Oneida County,precinct
Oneida County,DEERFIELD 2,221,364,48,0,5,17,2,3,220,336,46,8,15,3,0,129,412,52,8,4,9,1,1,21,12,Oneida County,precinct
Oneida County,DEERFIELD 3,285,251,26,0,11,20,5,2,257,252,28,17,14,5,4,183,320,31,9,9,7,2,1,8,22,Oneida County,precinct
Oneida County,FLORENCE 1,73,210,15,0,7,7,3,5,79,184,13,7,7,1,5,50,210,14,3,1,4,1,2,5,25,Oneida County,precinct
Oneida County,FLOYD 1,188,304,32,0,12,16,3,3,176,283,33,16,17,4,2,117,342,34,8,5,7,4,7,10,16,Oneida County,precinct
Oneida County,FLOYD 2,165,305,35,0,2,11,1,5,160,267,37,4,17,1,2,92,329,37,5,1,1,1,2,13,32,Oneida County,precinct
Oneida County,FLOYD 3,115,226,25,0,2,11,1,2,121,203,28,3,13,2,1,63,233,28,5,1,7,2,1,7,30,Oneida County,precinct
Oneida County,FORESTPORT 1,164,302,30,0,8,7,1,2,160,278,29,6,13,0,1,98,327,28,4,4,5,0,4,5,25,Oneida County,precinct
