county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Onondaga County,Camillus - Ward 01 01,183,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,296,51,13,3,8,2,6,11,9,Onondaga County,Camillus - Ward 01 01
Onondaga County,Camillus - Ward 01 07,306,0,0,0,0,0,0,0,422,0,0,0,0,0,0,305,498,88,4,11,14,2,6,25,13,Onondaga County,Camillus - Ward 01 07
Onondaga County,Camillus - Ward 01 13,216,0,0,0,0,0,0,0,251,0,0,0,0,0,0,189,179,38,17,4,10,3,3,22,20,Onondaga County,Camillus - Ward 01 13
Onondaga County,Camillus - Ward 02 02,290,0,0,0,0,0,0,0,407,0,0,0,0,0,0,310,448,62,18,5,18,4,6,25,31,Onondaga County,Camillus - Ward 02 02
Onondaga County,Camillus - Ward 02 06,145,0,0,0,0,0,0,0,190,0,0,0,0,0,0,144,162,21,12,6,3,1,1,11,18,Onondaga County,Camillus - Ward 02 06
Onondaga County,Camillus - Ward 02 16,287,0,0,0,0,0,0,0,387,0,0,0,0,0,0,301,284,52,14,14,9,7,6,20,14,Onondaga County,Camillus - Ward 02 16
Onondaga County,Camillus - Ward 03 04,353,0,0,0,0,0,0,0,419,0,0,0,0,0,0,342,233,34,20,12,10,3,3,19,34,Onondaga County,Camillus - Ward 03 04
Onondaga County,Camillus - Ward 03 11,190,0,0,0,0,0,0,0,247,0,0,0,0,0,0,201,169,33,10,8,13,1,3,14,11,Onondaga County,Camillus - Ward 03 11
Onondaga County,Camillus - Ward 03 20,157,0,0,0,0,0,0,0,204,0,0,0,0,0,0,159,151,23,12,7,10,5,1,12,19,Onondaga County,Camillus - Ward 03 20
Onondaga County,Camillus - Ward 04 05,206,0,0,0,0,0,0,0,263,0,0,0,0,0,0,194,193,37,18,7,8,4,2,19,12,Onondaga County,Camillus - Ward 04 05
Onondaga County,Camillus - Ward 04 12,119,0,0,0,0,0,0,0,151,0,0,0,0,0,0,123,89,19,11,7,6,4,1,10,10,Onondaga County,Camillus - Ward 04 12
Onondaga County,Camillus - Ward 04 14,237,0,0,0,0,0,0,0,323,0,0,0,0,0,0,251,224,48,16,2,10,2,5,14,9,Onondaga County,Camillus - Ward 04 14
Onondaga County,Camillus - Ward 04 17,98,0,0,0,0,0,0,0,135,0,0,0,0,0,0,99,106,18,5,6,3,5,4,7,5,Onondaga County,Camillus - Ward 04 17
Onondaga County,Camillus - Ward 04 21,138,0,0,0,0,0,0,0,169,0,0,0,0,0,0,134,97,23,9,5,4,0,1,6,12,Onondaga County,Camillus - Ward 04 21
Onondaga County,Camillus - Ward 05 09,192,0,0,0,0,0,0,0,227,0,0,0,0,0,0,190,140,24,7,3,12,4,2,10,7,Onondaga County,Camillus - Ward 05 09
Onondaga County,Camillus - Ward 05 15,205,0,0,0,0,0,0,0,273,0,0,0,0,0,0,218,187,40,4,5,13,3,3,23,9,Onondaga County,Camillus - Ward 05 15
