county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Ontario County,City of Canandaigua 1/1,309,154,25,0,13,5,6,4,287,177,27,6,18,2,4,223,219,30,12,2,7,4,3,6,14,Ontario County,precinct
Ontario County,City of Canandaigua 1/2,428,143,26,0,17,2,8,12,392,171,32,12,9,9,6,309,215,40,15,7,8,10,6,4,15,Ontario County,precinct
Ontario County,City of Canandaigua 2/1,178,70,14,0,17,2,6,2,178,75,16,10,5,4,2,138,89,22,3,7,5,1,6,8,16,Ontario County,precinct
Ontario County,City of Canandaigua 2/2,240,142,21,0,14,5,9,12,233,143,29,11,11,9,5,165,182,28,12,2,6,3,4,6,31,Ontario County,precinct
Ontario County,City of Canandaigua 3/1,281,121,22,0,21,6,9,8,272,136,20,12,14,7,5,216,160,25,22,6,8,3,5,3,21,Ontario County,precinct
Ontario County,City of Canandaigua 3/2,309,158,28,0,14,4,13,6,282,182,30,11,13,8,2,218,224,32,10,5,4,6,4,10,11,Ontario County,precinct
Ontario County,City of Canandaigua 4/1,299,134,24,0,11,2,9,8,278,153,25,9,8,8,6,233,176,29,11,4,7,3,6,9,19,Ontario County,precinct
Ontario County,City of Canandaigua 4/2,426,156,20,0,13,8,21,12,397,196,24,6,18,13,3,283,266,32,13,5,10,12,8,13,25,Ontario County,precinct
Ontario County,City of Geneva Ward 1/1,185,76,9,0,5,0,4,0,188,70,9,5,1,5,2,168,78,5,6,4,1,2,4,3,1,Ontario County,precinct
Ontario County,City of Geneva Ward 1/2,151,55,6,0,12,3,3,0,149,51,7,13,2,5,1,130,57,6,10,8,2,2,0,3,4,Ontario County,precinct
Ontario County,City of Geneva Ward 2/1,219,125,20,0,7,5,6,0,234,98,19,6,12,6,1,182,126,18,13,8,4,4,2,5,17,Ontario County,precinct
Ontario County,City of Geneva Ward 2/2,238,151,17,0,10,7,5,0,250,133,16,8,7,8,0,184,179,22,4,1,5,4,3,7,5,Ontario County,precinct
Ontario County,City of Geneva Ward 3/1,228,95,8,0,14,5,6,0,234,78,9,12,6,9,1,201,91,14,12,5,4,6,0,10,9,Ontario County,precinct
Ontario County,City of Geneva Ward 3/2,379,159,12,0,11,5,5,0,394,131,13,12,11,2,0,329,162,19,6,5,7,2,2,16,10,Ontario County,precinct
Ontario County,City of Geneva Ward 4/1,222,105,13,0,8,5,7,0,230,84,12,6,15,5,1,190,116,11,7,2,8,4,3,6,10,Ontario County,precinct
Ontario County,City of Geneva Ward 4/2,159,58,10,0,12,4,4,0,162,52,10,9,7,3,2,144,53,9,5,6,3,0,3,3,11,Ontario County,precinct
Ontario County,City of Geneva Ward 5/1,135,57,14,0,7,4,2,0,138,51,12,9,4,4,0,114,56,19,3,5,4,4,2,4,8,Ontario County,precinct
Ontario County,City of Geneva Ward 5/2,155,35,6,0,5,1,1,0,152,33,6,4,4,1,0,134,34,7,6,5,3,1,1,4,4,Ontario County,precinct
Ontario County,City of Geneva Ward 6/1,122,42,3,0,7,1,2,0,134,30,4,6,2,2,0,118,39,6,2,0,2,1,1,3,4,Ontario County,precinct
Ontario County,City of Geneva Ward 6/2,100,41,3,0,7,1,4,0,109,32,5,4,2,5,0,97,42,2,0,4,1,2,0,2,3,Ontario County,precinct
Ontario County,Multi-ED Collection,77,47,4,0,2,0,1,0,81,46,3,0,2,0,1,69,49,4,1,1,3,0,1,1,1,Ontario County,precinct
Ontario County,Town of Bristol 1,158,186,39,0,5,6,4,4,149,192,46,5,8,3,1,84,233,50,3,2,4,2,4,3,26,Ontario County,precinct
Ontario County,Town of Bristol 2,257,281,42,0,19,10,7,13,234,309,49,8,21,4,4,172,337,46,10,5,7,5,4,8,38,Ontario County,precinct
Ontario County,Town of Canadice 1,164,182,49,0,13,3,7,4,149,200,51,10,10,7,0,113,216,55,3,4,5,3,0,2,26,Ontario County,precinct
Ontario County,Town of Canadice 2,140,141,39,0,8,2,1,7,132,147,43,4,9,4,1,99,156,44,8,3,3,1,1,6,19,Ontario County,precinct
Ontario County,Town of Canandaigua 1,297,171,28,0,11,5,6,3,279,191,29,5,14,3,3,197,246,34,7,5,5,2,2,8,17,Ontario County,precinct
Ontario County,Town of Canandaigua 2,298,266,29,0,13,5,4,11,293,266,39,12,13,1,1,210,329,42,9,2,5,2,5,5,16,Ontario County,precinct
Ontario County,Town of Canandaigua 3,567,382,64,0,31,7,15,22,520,420,77,20,33,8,7,378,517,85,20,6,9,5,12,7,40,Ontario County,precinct
Ontario County,Town of Canandaigua 4,389,291,45,0,16,6,7,11,365,315,52,9,20,7,3,272,377,56,3,6,13,4,7,4,11,Ontario County,precinct
Ontario County,Town of Canandaigua 5,519,321,61,0,16,13,7,12,491,372,59,10,19,6,7,364,446,59,13,8,10,3,10,15,34,Ontario County,precinct
Ontario County,Town of Canandaigua 6,226,170,33,0,5,3,6,7,210,175,31,8,9,5,5,161,207,31,10,3,8,6,4,5,11,Ontario County,precinct
Ontario County,Town of Canandaigua 7,243,233,54,0,19,4,5,8,221,255,55,17,11,8,5,156,293,54,15,7,5,5,1,8,16,Ontario County,precinct
Ontario County,Town of East Bloomfield 1,225,237,48,0,13,6,6,11,211,259,55,10,10,5,2,145,298,56,12,6,3,4,0,5,24,Ontario County,precinct
Ontario County,Town of East Bloomfield 2,230,225,43,0,14,5,4,11,222,241,41,10,12,3,5,141,290,42,7,3,7,1,3,9,35,Ontario County,precinct
Ontario County,Town of East Bloomfield 3,231,190,47,0,15,6,6,11,211,219,45,9,10,6,4,161,256,50,7,5,5,3,2,5,21,Ontario County,precinct
Ontario County,Town of Farmington 1,253,267,58,0,7,3,6,4,228,281,61,10,12,6,1,157,344,63,10,1,4,6,2,6,20,Ontario County,precinct
Ontario County,Town of Farmington 10,76,98,15,0,3,4,2,6,66,115,17,3,1,2,3,36,132,20,5,1,2,0,1,3,7,Ontario County,precinct
Ontario County,Town of Farmington 2,316,224,33,0,21,2,3,9,288,249,42,11,13,4,2,201,303,52,10,8,8,1,4,11,14,Ontario County,precinct
Ontario County,Town of Farmington 3,276,173,26,0,12,4,1,8,259,180,32,7,7,6,5,210,199,30,11,3,4,4,2,11,30,Ontario County,precinct
Ontario County,Town of Farmington 4,274,214,26,0,23,3,7,14,256,244,35,10,14,5,0,174,283,36,10,6,6,2,4,12,29,Ontario County,precinct
