county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Orange County,Blooming Grove 1-1,117,64,11,0,1,1,0,6,116,68,11,2,1,0,3,99,82,9,0,1,0,0,5,0,0,Orange County,precinct
Orange County,Blooming Grove 1-2,249,183,21,0,8,10,0,10,260,175,20,10,10,5,6,225,200,25,0,3,12,2,8,0,0,Orange County,precinct
Orange County,Blooming Grove 1-3,211,150,22,0,5,5,0,10,217,148,20,7,8,0,10,190,173,20,0,1,3,0,17,0,0,Orange County,precinct
Orange County,Blooming Grove 1-4,24,32,3,0,0,0,0,0,20,32,3,0,0,0,2,17,34,4,0,0,0,0,3,0,0,Orange County,precinct
Orange County,Blooming Grove 2-1,87,73,13,0,3,2,0,7,87,69,13,3,1,3,5,71,82,16,0,1,1,1,8,0,0,Orange County,precinct
Orange County,Blooming Grove 2-2,202,189,32,0,5,4,2,4,203,176,31,7,6,5,2,167,210,35,0,1,5,0,4,0,0,Orange County,precinct
Orange County,Blooming Grove 2-3,160,165,23,0,5,5,1,7,166,153,21,7,7,1,7,128,192,25,0,3,0,1,5,0,0,Orange County,precinct
Orange County,Blooming Grove 3-1,159,180,32,0,7,8,2,7,166,168,37,9,7,2,10,122,188,36,0,7,2,3,18,0,0,Orange County,precinct
Orange County,Blooming Grove 3-2,136,105,19,0,3,5,3,4,140,104,15,5,4,2,5,117,118,21,0,2,1,2,5,0,0,Orange County,precinct
Orange County,Blooming Grove 3-3,123,111,21,0,8,6,2,6,127,109,20,12,6,1,4,103,130,23,0,4,1,0,11,0,0,Orange County,precinct
Orange County,Blooming Grove 3-4,20,4,2,0,1,1,0,1,19,3,2,2,2,0,2,18,3,2,0,1,0,0,0,0,0,Orange County,precinct
Orange County,Blooming Grove 4-1,93,110,16,0,2,13,1,14,98,102,14,2,15,0,16,82,123,15,0,1,13,1,17,0,0,Orange County,precinct
Orange County,Blooming Grove 4-2,152,128,22,0,5,8,4,7,159,120,19,6,9,3,11,127,135,22,0,3,9,1,14,0,0,Orange County,precinct
