Town,ED,Poll Site,Address,City
Albion,1,Hoag Library,134 S Main St,Albion
Albion,2,Hoag Library,134 S Main St,Albion
Albion,3,Hoag Library,134 S Main St,Albion
Albion,4,Hoag Library,134 S Main St,Albion
Albion,5,Hoag Library,134 S Main St,Albion
Albion,6,Hoag Library,134 S Main St,Albion
Barre,1,Barre Town Hall,14317 W Barre Rd,Albion
Barre,2,Barre Town Hall,14317 W Barre Rd,Albion
Carlton,1,Carlton Fire Co. Rec Hall,1853 Oak Orchard Rd,Albion
Carlton,2,Carlton Fire Co. Rec Hall,1853 Oak Orchard Rd,Albion
Carlton,3,Carlton Fire Co. Rec Hall,1853 Oak Orchard Rd,Albion
Clarendon,1,Clarendon Town Hall,16385 Church St,Clarendon
Clarendon,2,Clarendon Town Hall,16385 Church St,Clarendon
Clarendon,3,Clarendon Town Hall,16385 Church St,Clarendon
Gaines,1,Gaines Town Hall,14087 Ridge Rd,Albion
Gaines,2,Gaines Town Hall,14087 Ridge Rd,Albion
Gaines,3,Gaines Town Hall,14087 Ridge Rd,Albion
Gaines,4,Gaines Town Hall,14087 Ridge Rd,Albion
Kendall,1,Kendall Town Hall,1873 Kendall Rd,Kendall
Kendall,2,Kendall Town Hall,1873 Kendall Rd,Kendall
Kendall,3,Kendall Town Hall,1873 Kendall Rd,Kendall
Murray,1,Murray Town Hall/Highway,3840 Fancher Rd,Holley
Murray,2,Murray Town Hall/Highway,3840 Fancher Rd,Holley
Murray,3,Murray Town Hall/Highway,3840 Fancher Rd,Holley
Murray,4,Murray Town Hall/Highway,3840 Fancher Rd,Holley
Murray,5,Murray Town Hall/Highway,3840 Fancher Rd,Holley
Murray,6,Murray Town Hall/Highway,3840 Fancher Rd,Holley
Ridgeway,1,Ridgeway Volunteer Fire Co,11392 Ridge Rd,Medina
Ridgeway,2,Ridgeway Town Hall,410 West Ave,Medina
Ridgeway,3,Ridgeway Volunteer Fire Co,11392 Ridge Rd,Medina
Ridgeway,4,Ridgeway Town Hall,410 West Ave,Medina
Ridgeway,5,Ridgeway Town Hall,410 West Ave,Medina
Ridgeway,6,Ridgeway Volunteer Fire Co,11392 Ridge Rd,Medina
Ridgeway,7,Ridgeway Volunteer Fire Co,11392 Ridge Rd,Medina
Shelby,1,Shelby Town Hall,4062 Salt Works Rd,Medina
Shelby,2,Shelby Town Hall,4062 Salt Works Rd,Medina
Shelby,3,Shelby Town Hall,4062 Salt Works Rd,Medina
Shelby,4,Shelby Town Hall,4062 Salt Works Rd,Medina
Yates,1,Yates Town Hall,8 S Main St,Lyndonville
Yates,2,Yates Town Hall,8 S Main St,Lyndonville
