county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Oswego County,Albion 1,83,168,13,0,4,3,0,2,82,158,15,7,2,2,0,47,177,16,2,6,0,0,1,7,8,Oswego County,Albion 1
Oswego County,Albion 2,91,192,25,0,5,2,1,0,90,177,24,12,5,0,5,62,207,24,1,1,1,0,2,9,16,Oswego County,Albion 2
Oswego County,Amboy 1,110,252,29,0,7,17,2,5,119,231,29,11,16,9,5,55,254,31,10,5,8,0,7,33,30,Oswego County,Amboy 1
Oswego County,Boylston 1,61,132,15,0,2,3,0,3,67,127,17,0,4,0,1,39,135,20,1,0,1,1,2,4,20,Oswego County,Boylston 1
Oswego County,Constantia 1,138,224,33,0,3,7,1,2,135,207,34,10,6,4,2,96,228,37,9,1,4,0,2,6,20,Oswego County,Constantia 1
Oswego County,Constantia 2,130,217,31,0,9,3,1,1,131,209,32,6,2,4,1,93,219,30,5,0,1,1,0,7,34,Oswego County,Constantia 2
Oswego County,Constantia 3,129,213,22,0,6,6,0,2,134,207,28,4,4,2,2,91,217,25,7,1,2,0,4,11,13,Oswego County,Constantia 3
Oswego County,Constantia 4,184,329,56,0,8,7,3,1,190,310,58,7,7,3,0,126,341,51,15,3,2,0,1,17,33,Oswego County,Constantia 4
Oswego County,Fulton 1 1,128,186,18,0,5,11,4,1,155,145,18,9,8,2,4,128,165,18,8,0,6,1,1,9,12,Oswego County,Fulton 1 1
Oswego County,Fulton 1 2,71,157,20,0,3,3,1,0,84,127,19,3,7,3,1,58,144,21,2,1,3,1,1,5,12,Oswego County,Fulton 1 2
Oswego County,Fulton 2 1,26,29,5,0,1,2,1,0,26,27,4,1,1,0,1,19,25,3,0,2,1,0,0,2,11,Oswego County,Fulton 2 1
Oswego County,Fulton 2 2,119,159,12,0,6,3,3,0,137,130,10,6,7,5,4,100,148,12,8,4,2,2,6,10,16,Oswego County,Fulton 2 2
Oswego County,Fulton 3 1,167,273,40,0,2,12,3,4,200,228,41,6,12,6,3,148,256,42,3,0,9,4,4,16,17,Oswego County,Fulton 3 1
Oswego County,Fulton 3 2,120,142,17,0,7,10,1,1,145,115,19,4,8,2,3,95,144,18,6,2,3,2,3,14,13,Oswego County,Fulton 3 2
Oswego County,Fulton 4 1,69,90,16,0,4,4,0,3,84,72,10,6,4,2,2,59,94,12,5,0,1,0,2,5,10,Oswego County,Fulton 4 1
Oswego County,Fulton 4 2,89,108,15,0,3,2,3,1,106,84,14,7,4,2,0,79,97,12,3,2,2,1,1,10,12,Oswego County,Fulton 4 2
Oswego County,Fulton 4 3,49,52,4,0,4,2,0,0,49,45,4,3,6,0,0,39,51,2,1,3,3,1,0,4,5,Oswego County,Fulton 4 3
Oswego County,Fulton 5 1,94,126,17,0,4,7,1,2,117,95,11,6,11,2,4,97,102,13,6,1,6,0,2,10,9,Oswego County,Fulton 5 1
Oswego County,Fulton 5 2,94,88,9,0,3,5,4,2,104,65,12,7,9,1,3,66,78,11,5,4,3,3,1,17,17,Oswego County,Fulton 5 2
Oswego County,Fulton 5 3,6,16,2,0,1,1,1,0,10,15,1,0,2,0,0,5,19,2,1,0,1,0,0,0,2,Oswego County,Fulton 5 3
Oswego County,Fulton 6 1,106,114,19,0,5,12,6,1,119,98,21,8,9,4,1,97,112,13,5,2,7,0,1,8,15,Oswego County,Fulton 6 1
Oswego County,Fulton 6 2,47,64,9,0,0,0,1,0,57,50,10,1,3,0,0,36,60,12,1,0,2,0,2,3,4,Oswego County,Fulton 6 2
Oswego County,Granby 1,150,249,29,0,4,10,7,0,178,199,28,6,13,8,3,124,239,28,13,1,6,3,0,21,11,Oswego County,Granby 1
Oswego County,Granby 2,81,156,16,0,3,3,3,1,99,129,12,5,7,8,2,62,152,15,5,1,2,2,1,9,16,Oswego County,Granby 2
Oswego County,Granby 3,92,170,17,0,5,4,0,1,102,154,15,7,6,0,0,78,169,11,5,2,3,0,0,9,11,Oswego County,Granby 3
Oswego County,Granby 4,138,385,33,0,11,9,4,3,168,322,40,11,16,5,7,110,369,38,6,5,8,0,4,15,22,Oswego County,Granby 4
Oswego County,Granby 5,174,299,42,0,7,6,4,5,211,248,43,9,11,4,5,136,297,41,9,2,4,5,3,17,26,Oswego County,Granby 5
Oswego County,Hannibal 1,45,95,14,0,1,4,1,0,50,86,10,3,7,1,0,38,95,8,1,1,3,0,0,3,7,Oswego County,Hannibal 1
Oswego County,Hannibal 2,116,223,37,0,3,5,3,1,146,181,36,7,7,4,4,99,209,32,9,2,1,2,2,16,8,Oswego County,Hannibal 2
Oswego County,Hannibal 3,91,218,43,0,5,8,2,2,107,190,42,10,7,4,1,79,213,42,1,1,4,3,1,5,15,Oswego County,Hannibal 3
Oswego County,Hannibal 4,131,296,61,0,3,8,6,2,160,245,54,12,12,6,2,111,283,54,3,2,4,1,5,14,17,Oswego County,Hannibal 4
Oswego County,Hastings 1,145,222,38,0,8,6,0,1,142,221,39,9,3,0,0,79,247,44,7,1,1,1,1,17,30,Oswego County,Hastings 1
Oswego County,Hastings 2,106,205,34,0,9,10,1,2,105,199,35,12,7,0,1,66,219,27,8,4,4,1,1,10,29,Oswego County,Hastings 2
Oswego County,Hastings 3,223,341,46,0,9,14,2,3,213,334,41,20,14,3,1,157,345,47,11,3,7,2,3,19,37,Oswego County,Hastings 3
Oswego County,Hastings 4,106,155,35,0,2,11,0,1,106,149,36,6,9,1,2,73,175,37,1,0,4,0,3,5,15,Oswego County,Hastings 4
Oswego County,Hastings 5,133,203,29,0,5,11,0,7,148,182,28,7,8,2,3,106,195,29,6,5,2,0,1,15,26,Oswego County,Hastings 5
Oswego County,Hastings 6,12,16,1,0,1,0,0,1,14,14,0,1,0,0,1,11,16,0,1,0,0,0,0,1,2,Oswego County,Hastings 6
Oswego County,Hastings 7,154,236,22,0,6,8,2,2,143,232,23,9,11,5,2,100,247,21,9,3,4,2,2,12,26,Oswego County,Hastings 7
Oswego County,Hastings 8,306,286,37,0,5,10,4,2,296,273,42,10,10,5,2,212,311,51,10,4,4,2,11,17,28,Oswego County,Hastings 8
Oswego County,Mexico 1,146,252,24,0,4,5,3,2,146,234,25,9,8,6,0,101,262,26,5,4,2,3,4,17,9,Oswego County,Mexico 1
Oswego County,Mexico 2,217,284,43,0,9,21,6,5,212,273,46,17,22,6,5,133,313,51,14,6,9,2,7,18,33,Oswego County,Mexico 2
Oswego County,Mexico 3,240,394,34,0,11,14,1,3,228,383,42,14,16,4,3,145,436,42,10,3,10,3,1,20,25,Oswego County,Mexico 3
Oswego County,Mexico 4,48,75,9,0,2,1,0,0,50,72,10,2,1,1,0,34,69,14,3,0,1,0,0,7,11,Oswego County,Mexico 4
Oswego County,Minetto 1,271,277,35,0,8,16,5,1,323,205,30,8,19,11,3,231,257,34,14,7,12,3,3,23,19,Oswego County,Minetto 1
Oswego County,Minetto 2,75,98,9,0,5,3,2,1,92,74,7,5,10,1,0,74,86,7,4,2,4,2,2,5,7,Oswego County,Minetto 2
Oswego County,New Haven 1,188,287,32,0,6,13,5,3,194,266,24,14,18,4,8,114,312,30,9,2,7,1,4,25,31,Oswego County,New Haven 1
Oswego County,New Haven 2,76,135,19,0,4,6,0,0,65,134,19,8,7,1,1,38,153,14,3,3,1,0,3,6,19,Oswego County,New Haven 2
Oswego County,New Haven 3,62,162,15,0,10,7,3,3,94,128,17,8,4,5,3,59,155,12,8,3,2,2,1,8,18,Oswego County,New Haven 3
Oswego County,Orwell 1,99,226,36,0,8,8,3,2,113,198,34,13,9,5,4,62,212,33,8,2,2,0,1,10,45,Oswego County,Orwell 1
Oswego County,Oswego 1 1,267,143,20,0,13,8,8,1,289,107,14,14,16,9,3,230,145,18,10,6,7,10,1,15,9,Oswego County,Oswego 1 1
Oswego County,Oswego 1 2,100,81,9,0,3,6,2,1,117,53,8,6,7,3,0,99,56,10,2,6,1,3,2,9,9,Oswego County,Oswego 1 2
Oswego County,Oswego 2 1,70,91,8,0,3,4,4,0,85,77,4,7,2,4,0,69,80,10,2,0,2,3,1,5,3,Oswego County,Oswego 2 1
Oswego County,Oswego 2 2,238,193,25,0,6,10,9,0,272,152,18,14,11,5,2,206,172,31,7,4,9,5,1,23,16,Oswego County,Oswego 2 2
Oswego County,Oswego 3 1,234,134,19,0,4,9,5,6,257,101,21,3,11,9,1,219,114,15,13,2,5,5,5,16,9,Oswego County,Oswego 3 1
Oswego County,Oswego 3 2,65,42,2,0,6,3,2,0,75,32,3,5,4,1,1,58,42,3,4,1,3,0,0,8,3,Oswego County,Oswego 3 2
Oswego County,Oswego 4 1,203,177,15,0,8,8,2,2,229,133,16,11,13,6,5,171,161,14,11,4,5,2,6,21,19,Oswego County,Oswego 4 1
Oswego County,Oswego 4 2,99,55,12,0,5,2,2,1,110,42,9,6,5,3,2,88,54,7,3,2,3,2,1,10,2,Oswego County,Oswego 4 2
Oswego County,Oswego 4 3,104,95,8,0,5,5,1,1,118,77,7,4,7,1,1,97,93,9,7,1,4,0,3,6,5,Oswego County,Oswego 4 3
Oswego County,Oswego 5 1,197,149,17,0,7,9,5,1,231,108,15,10,12,2,1,175,153,17,5,3,7,3,1,19,6,Oswego County,Oswego 5 1
Oswego County,Oswego 5 2,110,129,15,0,5,8,4,1,134,94,10,8,14,1,2,114,106,13,6,1,5,1,0,9,10,Oswego County,Oswego 5 2
Oswego County,Oswego 5 3,33,35,4,0,3,3,0,0,40,25,3,2,2,2,2,33,30,5,2,0,0,0,0,1,4,Oswego County,Oswego 5 3
Oswego County,Oswego 5 4,20,19,3,0,0,2,0,0,27,11,4,2,2,0,0,15,15,4,2,1,1,0,1,3,1,Oswego County,Oswego 5 4
