county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Putnam County,CA 01,0,0,0,0,0,0,0,0,123,105,12,7,1,1,0,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
Putnam County,CA 02,0,0,0,0,0,0,0,0,263,273,24,10,9,7,2,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
Putnam County,CA 03,0,0,0,0,0,0,0,0,252,254,65,7,10,5,2,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
Putnam County,CA 04,0,0,0,0,0,0,0,0,131,153,28,4,5,1,1,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
Putnam County,CA 05,0,0,0,0,0,0,0,0,134,184,35,16,9,2,0,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
Putnam County,CA 06,0,0,0,0,0,0,0,0,141,240,31,7,4,1,1,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
Putnam County,CA 07,0,0,0,0,0,0,0,0,208,232,24,7,14,3,2,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
Putnam County,CA 08,0,0,0,0,0,0,0,0,203,228,47,3,9,4,3,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
Putnam County,CA 09,0,0,0,0,0,0,0,0,83,144,23,4,2,0,0,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
Putnam County,CA 1,114,119,13,0,4,1,1,0,0,0,0,0,0,0,0,109,125,14,2,4,0,0,1,2,1,Putnam County,precinct
Putnam County,CA 10,138,189,33,0,3,5,3,0,134,196,26,4,6,4,0,120,205,27,2,2,2,2,0,3,6,Putnam County,precinct
Putnam County,CA 11,104,135,22,0,2,4,1,1,103,129,21,2,4,2,0,88,149,20,4,3,3,1,2,2,0,Putnam County,precinct
Putnam County,CA 12,130,182,27,0,1,3,1,0,121,188,27,4,3,2,0,107,208,27,1,1,3,1,2,3,2,Putnam County,precinct
Putnam County,CA 13,163,241,27,0,3,4,4,2,161,237,26,6,7,4,1,149,245,28,2,3,3,4,0,1,8,Putnam County,precinct
Putnam County,CA 14,159,172,23,0,9,8,1,1,159,168,24,14,5,2,0,135,193,28,1,6,6,3,4,3,5,Putnam County,precinct
Putnam County,CA 15,190,271,36,0,6,13,5,1,190,265,38,7,17,3,1,152,294,37,8,6,15,4,1,3,4,Putnam County,precinct
Putnam County,CA 16,141,257,41,0,9,9,1,0,135,252,45,9,13,0,1,121,273,42,5,4,9,1,0,2,3,Putnam County,precinct
Putnam County,CA 17,111,170,22,0,7,2,2,1,112,173,22,4,4,2,0,92,192,17,5,5,1,2,1,1,3,Putnam County,precinct
Putnam County,CA 18,224,210,30,0,5,8,2,3,221,208,35,5,7,4,4,207,227,29,3,4,6,3,2,3,2,Putnam County,precinct
Putnam County,CA 19,262,253,48,0,6,8,2,0,253,251,44,9,13,4,2,235,271,40,6,5,4,2,3,5,2,Putnam County,precinct
Putnam County,CA 2,261,294,25,0,6,9,4,2,0,0,0,0,0,0,0,221,315,23,8,9,6,7,2,5,6,Putnam County,precinct
Putnam County,CA 20,198,241,40,0,11,5,2,3,198,240,38,12,4,2,2,166,262,39,4,6,5,1,3,4,2,Putnam County,precinct
Putnam County,CA 21,99,192,29,0,4,7,1,0,98,190,28,6,10,0,1,84,208,27,2,3,5,0,0,1,2,Putnam County,precinct
Putnam County,CA 22,173,236,34,0,5,9,2,3,169,235,31,8,10,2,4,150,255,28,10,5,7,0,1,9,2,Putnam County,precinct
Putnam County,CA 23,162,184,23,0,5,9,2,0,157,190,23,5,8,3,0,133,205,24,4,4,6,0,1,6,4,Putnam County,precinct
Putnam County,CA 24,155,235,39,0,8,6,1,1,159,231,37,6,5,1,2,138,246,43,6,5,5,1,2,0,1,Putnam County,precinct
Putnam County,CA 25,192,222,24,0,14,8,0,1,199,220,24,12,5,3,0,176,237,24,7,7,6,2,0,2,9,Putnam County,precinct
Putnam County,CA 26,119,186,28,0,3,3,0,2,126,178,26,2,4,1,2,113,208,20,2,0,1,0,4,0,2,Putnam County,precinct
Putnam County,CA 27,115,141,16,0,3,3,1,0,113,139,16,2,5,1,2,96,157,17,2,3,1,1,0,0,3,Putnam County,precinct
Putnam County,CA 28,139,197,32,0,3,7,1,3,145,197,32,6,9,0,2,122,219,30,2,6,6,0,3,2,3,Putnam County,precinct
Putnam County,CA 29,307,386,61,0,5,16,2,1,310,377,60,10,12,7,0,293,398,64,7,1,8,4,2,8,9,Putnam County,precinct
Putnam County,CA 3,247,258,66,0,4,9,3,0,0,0,0,0,0,0,0,217,282,56,11,5,8,3,1,2,8,Putnam County,precinct
Putnam County,CA 30,140,155,13,0,6,7,3,1,141,150,14,6,8,2,0,122,172,17,4,3,4,0,2,2,3,Putnam County,precinct
Putnam County,CA 4,142,148,25,0,4,9,1,2,0,0,0,0,0,0,0,122,165,26,2,2,2,2,2,1,1,Putnam County,precinct
Putnam County,CA 5,136,189,34,0,14,4,0,1,0,0,0,0,0,0,0,123,201,36,1,9,5,2,1,1,2,Putnam County,precinct
Putnam County,CA 6,133,250,33,0,2,5,2,1,0,0,0,0,0,0,0,125,255,30,3,2,3,1,2,2,1,Putnam County,precinct
Putnam County,CA 7,197,244,27,0,8,11,3,0,0,0,0,0,0,0,0,179,249,24,10,5,11,3,0,4,8,Putnam County,precinct
Putnam County,CA 8,200,232,48,0,3,6,4,3,0,0,0,0,0,0,0,182,257,46,4,4,8,3,1,4,0,Putnam County,precinct
Putnam County,CA 9,84,138,24,0,4,4,2,1,0,0,0,0,0,0,0,73,158,23,1,5,1,1,0,3,1,Putnam County,precinct
Putnam County,KE 1,259,197,43,0,10,12,6,4,266,191,42,9,9,5,6,228,223,46,8,6,4,1,8,5,8,Putnam County,precinct
Putnam County,KE 10,167,210,34,0,6,8,5,1,176,197,35,6,7,5,2,156,207,35,5,6,5,4,1,4,6,Putnam County,precinct
Putnam County,KE 11,179,198,30,0,6,8,2,1,175,191,27,10,9,3,1,154,208,28,5,6,7,3,3,4,3,Putnam County,precinct
Putnam County,KE 12,117,153,24,0,5,4,0,1,117,142,23,13,6,0,4,111,160,22,1,5,2,0,3,0,1,Putnam County,precinct
Putnam County,KE 2,107,131,30,0,1,5,2,3,106,126,29,4,7,2,2,97,137,29,4,0,3,1,3,1,2,Putnam County,precinct
Putnam County,KE 3,186,197,29,0,15,9,5,1,192,196,27,15,13,4,3,169,217,29,9,8,8,2,6,2,7,Putnam County,precinct
Putnam County,KE 4,195,124,20,0,7,10,3,2,189,120,22,11,7,5,1,173,139,22,5,4,7,1,2,2,5,Putnam County,precinct
Putnam County,KE 5,249,273,32,0,9,10,5,1,248,255,32,12,16,3,1,233,284,32,4,6,5,2,3,2,3,Putnam County,precinct
Putnam County,KE 6,207,220,45,0,8,11,3,3,214,216,37,12,10,1,3,184,244,35,6,8,6,2,1,2,7,Putnam County,precinct
Putnam County,KE 7,218,197,31,0,4,10,3,0,224,182,34,4,13,0,1,192,210,32,5,3,8,0,2,2,5,Putnam County,precinct
Putnam County,KE 8,329,227,48,0,15,10,6,3,321,224,50,13,14,5,2,289,238,51,10,10,7,3,6,6,6,Putnam County,precinct
Putnam County,KE 9,137,115,29,0,3,3,0,0,135,113,27,5,5,1,0,120,134,20,2,5,2,0,2,1,1,Putnam County,precinct
Putnam County,PA 01,208,256,29,0,6,12,5,3,212,256,30,7,10,5,3,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
Putnam County,PA 02,247,246,37,0,8,14,2,1,243,241,37,12,16,4,3,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
Putnam County,PA 03,323,271,44,0,14,10,10,1,316,277,38,16,11,10,1,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
Putnam County,PA 04,200,157,27,0,14,8,2,1,199,150,24,15,10,4,2,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
Putnam County,PA 05,184,214,34,0,3,7,2,2,182,213,39,6,8,3,2,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
Putnam County,PA 06,181,211,19,0,11,7,3,0,185,205,20,5,10,4,0,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
Putnam County,PA 07,247,225,38,0,8,11,2,1,251,209,38,10,12,3,2,0,0,0,0,0,0,0,0,0,0,Putnam County,precinct
