county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Rensselaer County,Berlin 1,132,181,37,14,16,0,1,0,153,172,37,14,11,4,0,107,209,39,7,6,2,1,2,3,13,Rensselaer County,Berlin 1
Rensselaer County,Berlin 2,110,113,17,12,5,0,5,1,112,109,18,11,5,3,3,73,128,16,15,6,1,1,3,6,13,Rensselaer County,Berlin 2
Rensselaer County,Brunswick 1,353,332,84,25,26,9,16,3,364,316,82,21,34,17,3,251,404,86,26,14,16,6,6,31,10,Rensselaer County,Brunswick 1
Rensselaer County,Brunswick 10,260,164,49,6,12,9,2,2,287,138,52,11,16,1,2,211,191,54,11,5,11,1,5,8,7,Rensselaer County,Brunswick 10
Rensselaer County,Brunswick 2,272,235,44,21,22,8,10,2,301,226,33,15,25,11,4,189,297,47,15,8,13,8,10,9,18,Rensselaer County,Brunswick 2
Rensselaer County,Brunswick 3,270,152,36,6,9,5,6,1,278,142,33,9,14,7,2,181,182,42,34,5,6,3,5,15,9,Rensselaer County,Brunswick 3
Rensselaer County,Brunswick 4,282,310,66,18,16,15,6,4,305,288,73,19,19,5,8,215,350,85,15,11,3,3,8,3,19,Rensselaer County,Brunswick 4
Rensselaer County,Brunswick 5,425,281,73,11,37,13,9,1,431,279,80,35,23,9,0,334,332,82,16,19,11,5,6,18,19,Rensselaer County,Brunswick 5
Rensselaer County,Brunswick 6,230,188,32,7,14,6,8,2,245,172,26,11,18,5,5,180,219,35,14,4,7,2,6,8,9,Rensselaer County,Brunswick 6
Rensselaer County,Brunswick 7,78,71,13,3,7,3,2,0,77,72,12,6,9,1,1,54,94,18,2,3,5,1,2,2,2,Rensselaer County,Brunswick 7
Rensselaer County,Brunswick 8,255,332,66,11,15,10,6,2,289,312,68,13,14,7,3,191,385,67,12,9,7,2,5,12,15,Rensselaer County,Brunswick 8
Rensselaer County,Brunswick 9,314,328,93,16,19,11,7,2,343,303,97,13,18,9,4,223,382,110,13,7,5,3,6,8,21,Rensselaer County,Brunswick 9
Rensselaer County,East Greenbush 1,675,328,0,0,53,0,17,6,636,302,66,34,57,12,9,445,432,71,32,13,30,8,16,30,28,Rensselaer County,East Greenbush 1
Rensselaer County,East Greenbush 10,416,210,0,0,26,0,17,7,393,206,37,19,29,14,7,276,267,54,19,13,13,10,4,25,18,Rensselaer County,East Greenbush 10
Rensselaer County,East Greenbush 11,419,261,0,0,36,0,16,4,387,240,41,32,37,13,2,267,339,61,16,14,14,3,13,17,11,Rensselaer County,East Greenbush 11
Rensselaer County,East Greenbush 12,183,109,0,0,13,0,3,3,173,100,22,7,15,2,3,107,152,23,7,5,5,1,2,9,6,Rensselaer County,East Greenbush 12
Rensselaer County,East Greenbush 2,464,370,0,0,33,0,12,11,432,340,66,19,38,6,9,312,421,85,21,11,18,6,11,13,16,Rensselaer County,East Greenbush 2
Rensselaer County,East Greenbush 3,266,179,0,0,21,0,7,3,250,160,41,14,21,4,1,182,201,43,11,10,12,3,6,15,19,Rensselaer County,East Greenbush 3
Rensselaer County,East Greenbush 4,272,174,0,0,21,0,9,2,265,162,25,11,18,5,1,173,222,33,10,6,10,4,8,14,12,Rensselaer County,East Greenbush 4
Rensselaer County,East Greenbush 5,122,85,0,0,9,0,5,1,122,77,15,5,5,7,2,92,101,19,5,3,1,2,1,0,5,Rensselaer County,East Greenbush 5
Rensselaer County,East Greenbush 6,469,306,0,0,38,0,7,3,431,303,52,15,38,3,4,326,367,57,14,7,13,2,10,13,23,Rensselaer County,East Greenbush 6
Rensselaer County,East Greenbush 7,405,225,0,0,8,0,7,4,378,216,38,4,23,7,1,279,282,41,10,5,14,1,5,18,8,Rensselaer County,East Greenbush 7
Rensselaer County,East Greenbush 8,463,237,0,0,12,0,12,4,423,220,44,13,31,7,1,318,292,51,18,9,7,8,4,15,13,Rensselaer County,East Greenbush 8
Rensselaer County,East Greenbush 9,245,167,0,0,27,0,6,1,235,148,29,17,19,3,6,166,194,31,11,8,8,2,10,15,13,Rensselaer County,East Greenbush 9
Rensselaer County,Grafton 1,161,228,69,9,20,8,4,3,180,210,73,20,10,4,1,107,243,76,18,16,5,4,5,9,16,Rensselaer County,Grafton 1
Rensselaer County,Grafton 2,175,277,63,7,15,11,3,1,195,257,60,14,12,5,5,128,298,64,14,7,8,2,5,14,15,Rensselaer County,Grafton 2
Rensselaer County,Hoosick 1,158,113,21,16,6,6,3,1,182,116,18,8,9,1,2,110,143,26,13,4,6,2,2,5,8,Rensselaer County,Hoosick 1
Rensselaer County,Hoosick 2,195,254,39,9,11,6,1,2,203,248,41,13,12,2,3,138,292,47,9,5,2,3,6,8,11,Rensselaer County,Hoosick 2
Rensselaer County,Hoosick 3,86,125,30,6,4,9,1,1,77,129,30,7,16,1,1,46,155,34,7,2,9,0,1,3,8,Rensselaer County,Hoosick 3
Rensselaer County,Hoosick 4,131,115,13,11,6,4,3,0,144,108,17,9,8,1,2,92,139,21,5,2,1,1,5,2,12,Rensselaer County,Hoosick 4
Rensselaer County,Hoosick 5,132,95,15,15,14,8,4,0,150,84,20,8,15,8,2,102,117,21,8,5,2,4,8,2,11,Rensselaer County,Hoosick 5
Rensselaer County,Hoosick 6,138,147,17,7,11,13,3,1,148,142,19,9,13,2,3,87,191,27,5,2,5,1,5,7,8,Rensselaer County,Hoosick 6
Rensselaer County,Hoosick 7,186,125,27,7,7,5,11,0,193,117,27,8,13,8,2,134,162,29,11,1,6,3,4,7,10,Rensselaer County,Hoosick 7
Rensselaer County,Nassau 1,187,167,26,8,9,6,11,0,197,151,27,11,19,6,2,126,193,26,15,6,11,8,3,11,15,Rensselaer County,Nassau 1
Rensselaer County,Nassau 2,247,348,82,14,26,8,10,1,266,339,84,20,21,10,4,183,389,91,20,12,4,9,8,10,17,Rensselaer County,Nassau 2
Rensselaer County,Nassau 3,199,189,56,13,30,2,7,1,206,187,56,29,17,3,3,134,228,56,15,19,11,2,5,9,14,Rensselaer County,Nassau 3
Rensselaer County,Nassau 4,176,164,36,9,17,2,6,2,187,155,40,16,7,6,7,131,185,42,12,6,2,7,6,13,14,Rensselaer County,Nassau 4
Rensselaer County,North Greenbush 1,167,144,0,0,24,0,6,4,160,122,39,16,18,2,3,98,162,54,10,4,8,1,3,10,11,Rensselaer County,North Greenbush 1
