county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Saratoga County,Ballston  W:000 D:001,202,157,26,6,9,8,7,0,225,134,30,11,13,4,3,177,162,26,12,6,6,3,4,8,9,Saratoga County,precinct
Saratoga County,Ballston  W:000 D:002,291,268,0,0,9,0,4,6,281,241,49,4,8,7,3,197,287,53,14,6,3,2,4,15,11,Saratoga County,precinct
Saratoga County,Ballston  W:000 D:003,404,365,0,0,15,0,4,1,368,338,65,9,20,3,4,241,425,68,8,10,8,3,6,14,11,Saratoga County,precinct
Saratoga County,Ballston  W:000 D:004,320,280,0,0,11,0,6,1,312,240,60,10,14,2,2,204,303,67,14,5,10,2,6,11,13,Saratoga County,precinct
Saratoga County,Ballston  W:000 D:005,179,168,0,0,12,0,9,7,173,146,37,8,8,8,5,117,178,39,6,8,6,5,7,7,10,Saratoga County,precinct
Saratoga County,Ballston  W:000 D:006,432,404,0,0,23,0,14,7,409,378,64,18,19,9,4,293,460,72,13,5,11,8,10,18,10,Saratoga County,precinct
Saratoga County,Ballston  W:000 D:007,207,158,0,0,9,0,2,4,190,148,32,10,13,2,0,147,180,33,5,4,5,1,2,7,12,Saratoga County,precinct
Saratoga County,Ballston  W:000 D:008,197,225,0,0,12,0,7,1,183,206,42,6,17,1,3,124,246,43,10,2,12,0,2,7,2,Saratoga County,precinct
Saratoga County,Ballston  W:000 D:009,156,173,0,0,7,0,4,2,146,155,30,6,7,2,2,95,182,37,7,2,5,2,6,10,7,Saratoga County,precinct
Saratoga County,Charlton  W:000 D:001,292,359,0,0,16,0,7,2,261,347,59,7,17,10,3,185,384,61,8,4,12,5,6,13,19,Saratoga County,precinct
Saratoga County,Charlton  W:000 D:002,115,145,0,0,4,0,7,0,101,140,19,2,7,5,2,63,169,20,1,0,2,2,0,4,10,Saratoga County,precinct
Saratoga County,Charlton  W:000 D:003,202,216,0,0,12,0,6,2,207,187,39,11,8,5,1,133,244,52,9,5,1,2,2,5,4,Saratoga County,precinct
Saratoga County,Charlton  W:000 D:004,312,392,0,0,14,0,9,4,291,345,67,11,24,5,1,193,422,67,10,11,13,2,6,9,13,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:001,286,233,0,0,15,0,8,6,279,198,52,10,13,6,4,201,251,60,9,5,6,5,6,8,11,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:002,252,212,0,0,15,0,4,3,230,179,55,17,15,4,5,170,215,57,13,13,8,1,6,13,8,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:003,187,155,0,0,12,0,7,3,190,132,33,11,6,5,1,136,166,31,10,5,2,2,3,9,13,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:004,412,290,0,0,23,0,12,1,383,277,51,16,19,6,1,272,333,59,16,12,16,4,7,17,9,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:005,109,109,0,0,6,0,2,0,103,102,19,5,5,1,1,68,128,20,2,3,2,0,2,6,4,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:006,304,227,0,0,16,0,7,1,292,197,42,12,14,3,4,228,235,46,7,9,5,2,6,11,7,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:007,174,96,0,0,6,0,6,1,171,89,25,4,6,3,0,126,117,26,9,3,4,1,0,4,5,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:008,367,192,0,0,17,0,3,0,338,194,28,13,10,4,3,260,238,32,11,10,9,4,4,12,10,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:009,128,39,0,0,5,0,2,4,128,34,10,4,5,1,2,105,46,13,4,4,3,1,2,3,4,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:010,314,222,0,0,14,0,9,2,305,208,32,15,14,4,3,228,257,32,10,10,10,3,2,12,9,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:011,288,189,0,0,7,0,5,4,269,176,39,2,15,4,2,211,204,47,7,0,7,3,5,16,6,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:012,366,249,0,0,14,0,5,3,343,230,60,8,10,4,4,255,274,62,9,5,8,4,6,20,6,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:013,273,192,0,0,21,0,6,5,264,179,32,13,10,5,2,213,201,28,3,12,10,2,6,10,18,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:014,291,239,0,0,25,0,10,3,261,237,45,16,13,5,3,207,273,48,8,14,11,4,6,5,5,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:015,353,274,0,0,16,0,6,1,336,243,45,9,23,4,3,235,303,45,17,6,10,2,10,24,10,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:016,290,187,0,0,11,0,4,6,285,175,29,8,11,1,4,213,206,26,10,9,5,2,4,19,9,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:017,224,126,0,0,9,0,3,4,216,106,29,8,7,1,1,172,134,30,3,3,4,1,6,11,5,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:018,313,189,0,0,14,0,6,8,317,160,33,8,8,8,4,248,192,39,9,11,2,3,4,11,13,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:019,323,224,0,0,14,0,7,3,303,207,47,5,21,8,2,232,257,49,5,3,11,3,4,6,21,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:020,310,197,0,0,8,0,11,3,309,181,44,3,10,8,4,215,234,42,15,2,8,10,3,9,8,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:021,343,215,0,0,7,0,9,4,333,197,32,6,10,6,1,268,231,38,16,5,3,2,2,4,17,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:022,286,241,0,0,17,0,5,2,280,216,42,10,12,4,0,215,250,49,8,3,7,9,1,11,7,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:023,265,207,0,0,14,0,10,2,250,186,47,11,14,6,3,177,222,49,12,8,11,5,6,13,11,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:024,331,172,0,0,9,0,6,3,322,152,32,8,11,5,4,255,196,29,11,5,9,3,3,10,12,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:025,326,244,0,0,16,0,10,0,299,230,45,12,18,6,0,228,273,50,7,7,9,7,2,6,11,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:026,222,183,0,0,10,0,4,4,211,162,37,8,13,4,0,167,181,41,12,3,6,2,3,11,4,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:027,257,227,0,0,10,0,9,3,231,209,55,8,10,7,3,166,244,65,11,3,4,3,5,8,14,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:028,203,151,0,0,4,0,5,4,191,138,30,3,9,2,1,124,177,36,10,1,5,0,3,6,5,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:029,328,240,0,0,14,0,8,2,306,232,38,11,9,7,3,224,265,42,12,8,6,4,3,21,16,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:030,168,117,0,0,9,0,5,4,158,113,18,6,5,4,5,117,143,16,7,5,2,4,4,3,5,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:031,388,250,0,0,16,0,5,11,374,233,43,14,10,3,2,289,282,48,11,11,5,2,6,9,10,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:032,247,181,0,0,12,0,6,1,234,175,29,12,6,3,1,180,198,32,15,6,4,4,4,6,9,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:033,313,211,0,0,16,0,6,2,286,200,42,8,18,4,2,212,238,47,18,4,16,5,2,10,9,Saratoga County,precinct
Saratoga County,Clifton Park  W:000 D:034,409,313,0,0,9,0,5,5,379,305,47,7,17,5,4,298,358,53,10,6,10,7,10,8,3,Saratoga County,precinct
Saratoga County,Corinth  W:000 D:001,128,183,26,9,4,1,1,2,162,153,26,4,5,1,1,97,206,29,7,2,1,0,3,3,6,Saratoga County,precinct
Saratoga County,Corinth  W:000 D:002,115,312,22,7,8,5,5,4,166,269,19,10,8,5,3,87,326,29,4,2,4,1,5,7,17,Saratoga County,precinct
Saratoga County,Corinth  W:000 D:003,127,219,20,3,7,2,3,3,161,181,18,8,5,5,5,90,228,25,9,0,6,4,4,5,13,Saratoga County,precinct
Saratoga County,Corinth  W:000 D:004,101,170,25,7,7,3,2,0,121,152,23,8,6,2,0,74,185,32,8,2,1,1,3,4,5,Saratoga County,precinct
Saratoga County,Corinth  W:000 D:005,137,326,40,9,7,8,5,1,173,297,38,8,8,5,3,107,326,37,10,6,5,2,4,7,14,Saratoga County,precinct
Saratoga County,Day  W:000 D:001,89,212,38,2,3,9,1,1,117,180,40,5,7,1,1,74,215,45,7,1,4,0,3,3,2,Saratoga County,precinct
Saratoga County,Edinburg  W:000 D:001,157,438,53,2,8,10,4,1,196,394,54,9,7,7,1,123,446,61,8,1,2,3,4,4,16,Saratoga County,precinct
Saratoga County,Galway  W:000 D:001,191,289,63,7,10,7,6,2,227,256,62,12,7,5,2,149,309,60,18,5,4,5,3,5,12,Saratoga County,precinct
Saratoga County,Galway  W:000 D:002,205,319,65,9,11,12,5,4,237,288,59,14,20,6,3,164,338,69,9,3,4,0,6,10,22,Saratoga County,precinct
Saratoga County,Galway  W:000 D:003,143,317,49,0,5,6,4,1,188,270,46,6,7,3,3,92,345,46,8,3,7,0,4,6,12,Saratoga County,precinct
Saratoga County,Greenfield  W:000 D:001,212,197,22,5,11,5,5,1,220,175,25,11,11,8,2,166,206,27,14,8,6,3,2,7,11,Saratoga County,precinct
Saratoga County,Greenfield  W:000 D:002,139,176,28,5,12,3,4,0,153,159,28,11,9,4,2,112,185,36,13,2,2,1,3,4,12,Saratoga County,precinct
Saratoga County,Greenfield  W:000 D:003,180,178,37,3,5,6,6,2,194,156,44,7,7,5,2,130,202,38,16,2,5,2,4,7,14,Saratoga County,precinct
Saratoga County,Greenfield  W:000 D:004,270,155,24,3,7,4,1,0,287,139,25,4,8,1,1,230,176,24,6,3,4,3,2,8,5,Saratoga County,precinct
Saratoga County,Greenfield  W:000 D:005,216,253,47,8,5,8,4,3,244,217,43,7,13,5,2,172,265,41,21,2,4,6,3,11,13,Saratoga County,precinct
Saratoga County,Greenfield  W:000 D:006,171,197,35,2,6,6,2,4,192,177,38,4,9,1,2,139,207,35,11,3,4,1,1,6,13,Saratoga County,precinct
Saratoga County,Greenfield  W:000 D:007,119,197,27,0,6,3,3,1,145,165,30,5,4,2,2,96,198,29,6,3,1,0,4,4,6,Saratoga County,precinct
Saratoga County,Greenfield  W:000 D:008,158,154,16,8,8,3,8,1,181,131,15,10,11,7,0,127,148,17,20,10,5,2,6,4,11,Saratoga County,precinct
Saratoga County,Hadley  W:000 D:001,89,219,27,5,3,5,3,2,113,197,25,4,6,4,1,77,220,28,2,1,3,3,3,4,11,Saratoga County,precinct
Saratoga County,Hadley  W:000 D:002,100,253,27,3,2,2,3,2,122,225,27,6,4,1,2,69,267,29,4,1,1,1,3,3,10,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:001,220,227,0,0,19,0,5,4,214,202,37,11,12,3,4,139,247,37,18,6,4,2,5,10,13,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:002,238,210,0,0,7,0,5,4,221,193,32,7,8,4,2,153,242,30,12,6,4,3,1,5,7,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:003,297,303,0,0,13,0,4,7,281,275,42,5,19,5,3,202,328,46,15,2,10,2,2,9,14,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:004,385,328,0,0,11,0,8,2,373,300,49,10,15,5,3,295,353,56,11,4,12,5,5,13,7,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:005,245,169,0,0,16,0,9,3,239,159,24,6,14,4,2,158,215,36,13,5,4,3,1,11,6,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:006,238,212,0,0,13,0,7,5,217,199,24,15,14,5,3,146,243,30,13,5,9,4,2,13,10,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:007,339,220,0,0,22,0,7,2,322,220,24,13,15,5,2,236,279,30,10,7,7,7,3,6,14,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:008,252,204,0,0,15,0,4,5,237,193,31,13,10,11,1,180,234,35,14,3,4,1,4,9,6,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:009,414,269,0,0,9,0,8,2,368,258,45,4,22,6,4,298,296,49,12,4,14,2,9,14,10,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:010,176,107,0,0,11,0,2,3,169,97,19,7,9,2,3,142,114,20,8,3,4,0,4,3,10,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:011,431,359,0,0,17,0,6,6,428,330,47,10,13,4,2,335,396,45,12,7,8,0,4,11,14,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:012,264,264,0,0,15,0,7,2,240,238,55,10,10,7,0,158,307,49,11,7,5,2,1,10,9,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:013,198,113,0,0,12,0,3,1,198,95,13,11,13,2,1,149,139,13,7,5,9,1,1,8,4,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:014,281,274,0,0,13,0,1,5,276,249,35,9,11,2,2,210,294,38,9,7,5,3,3,9,8,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:015,109,53,0,0,12,0,5,1,107,47,7,13,3,4,1,93,57,8,12,4,1,3,1,2,2,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:016,55,75,0,0,4,0,0,2,58,66,9,5,3,0,1,42,78,7,1,2,0,0,1,4,8,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:017,115,82,0,0,8,0,4,2,117,77,12,6,3,5,1,89,100,7,2,5,2,2,1,2,7,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:018,358,389,0,0,10,0,9,2,333,368,56,11,12,3,3,218,457,59,2,5,7,0,9,14,14,Saratoga County,precinct
Saratoga County,Halfmoon  W:000 D:019,263,230,0,0,9,0,2,2,249,218,25,6,7,0,4,173,260,30,8,3,2,3,5,8,6,Saratoga County,precinct
Saratoga County,Malta  W:000 D:001,383,350,0,0,20,0,10,3,347,329,59,13,15,6,7,247,393,64,15,5,11,6,4,17,19,Saratoga County,precinct
Saratoga County,Malta  W:000 D:002,455,365,0,0,18,0,11,2,438,352,43,12,14,9,6,339,419,41,12,4,10,4,5,14,23,Saratoga County,precinct
Saratoga County,Malta  W:000 D:003,344,160,0,0,20,0,9,8,323,150,39,17,14,5,7,221,186,39,31,13,9,3,7,13,23,Saratoga County,precinct
Saratoga County,Malta  W:000 D:004,238,186,0,0,13,0,3,2,227,163,39,13,11,1,1,178,182,41,9,11,7,1,2,8,12,Saratoga County,precinct
Saratoga County,Malta  W:000 D:005,212,193,0,0,8,0,4,2,202,180,30,6,9,4,2,129,213,35,11,4,4,5,3,10,16,Saratoga County,precinct
Saratoga County,Malta  W:000 D:006,338,238,0,0,19,0,15,7,319,219,41,14,22,13,7,242,269,43,14,8,11,5,3,10,28,Saratoga County,precinct
Saratoga County,Malta  W:000 D:007,295,182,0,0,7,0,6,3,285,173,22,5,11,4,1,212,208,22,11,5,6,2,4,11,13,Saratoga County,precinct
Saratoga County,Malta  W:000 D:008,317,204,0,0,16,0,9,5,305,192,40,16,12,3,4,218,245,40,13,8,7,3,11,12,11,Saratoga County,precinct
Saratoga County,Malta  W:000 D:009,157,188,0,0,4,0,5,0,153,164,41,2,5,3,1,113,190,36,4,1,4,0,2,3,17,Saratoga County,precinct
Saratoga County,Malta  W:000 D:010,289,239,0,0,14,0,7,2,287,212,49,10,12,4,1,202,264,54,9,6,9,3,3,9,13,Saratoga County,precinct
Saratoga County,Malta  W:000 D:011,314,251,0,0,16,0,3,6,285,245,42,7,12,7,3,188,296,43,18,6,9,1,4,17,21,Saratoga County,precinct
Saratoga County,Malta  W:000 D:012,349,274,0,0,12,0,0,3,335,259,29,10,20,0,3,250,320,30,8,6,13,1,3,8,10,Saratoga County,precinct
Saratoga County,Mechanicville  W:000 D:001,138,110,0,0,10,0,5,0,135,99,19,7,8,2,2,85,142,20,7,6,2,1,2,3,6,Saratoga County,precinct
Saratoga County,Mechanicville  W:000 D:002,94,72,0,0,2,0,1,1,93,68,8,2,5,0,1,68,83,10,4,2,3,0,0,1,3,Saratoga County,precinct
Saratoga County,Mechanicville  W:000 D:003,155,90,0,0,10,0,0,0,151,87,9,4,7,0,1,111,113,10,4,4,2,1,2,4,7,Saratoga County,precinct
Saratoga County,Mechanicville  W:000 D:004,97,98,0,0,8,0,0,0,90,94,13,2,5,2,1,56,115,19,3,1,0,0,1,3,4,Saratoga County,precinct
Saratoga County,Mechanicville  W:000 D:005,145,80,0,0,8,0,1,0,132,80,14,3,7,2,1,85,108,17,10,1,5,1,1,2,12,Saratoga County,precinct
Saratoga County,Mechanicville  W:000 D:006,124,105,0,0,7,0,4,3,121,103,16,3,6,4,1,88,119,16,4,2,6,4,1,1,5,Saratoga County,precinct
Saratoga County,Milton  W:000 D:001,268,149,18,5,11,3,4,2,292,123,17,16,3,5,3,202,166,14,30,8,1,3,6,11,12,Saratoga County,precinct
Saratoga County,Milton  W:000 D:002,185,252,37,4,7,14,2,0,219,213,33,13,12,1,1,146,267,37,7,8,7,0,3,7,8,Saratoga County,precinct
Saratoga County,Milton  W:000 D:003,122,120,10,6,6,7,2,2,137,101,9,9,7,2,4,110,121,11,9,1,3,0,1,9,10,Saratoga County,precinct
Saratoga County,Milton  W:000 D:004,263,316,46,17,12,9,7,3,324,263,44,14,16,8,3,216,327,42,15,8,9,6,4,16,23,Saratoga County,precinct
Saratoga County,Milton  W:000 D:005,242,282,26,7,18,7,2,5,290,239,29,11,13,4,3,211,290,30,9,9,6,1,3,14,18,Saratoga County,precinct
Saratoga County,Milton  W:000 D:006,108,232,36,4,10,6,6,5,135,197,37,20,6,4,6,87,234,33,11,4,3,1,4,9,25,Saratoga County,precinct
Saratoga County,Milton  W:000 D:007,181,314,28,3,16,9,5,1,214,269,28,12,21,4,0,141,323,44,10,5,10,2,2,5,9,Saratoga County,precinct
Saratoga County,Milton  W:000 D:008,132,139,21,2,7,3,5,0,157,112,21,9,6,3,0,121,143,22,5,5,3,2,2,3,5,Saratoga County,precinct
Saratoga County,Milton  W:000 D:009,294,219,32,7,9,9,5,5,317,198,30,10,15,2,5,226,255,33,19,4,10,2,5,8,13,Saratoga County,precinct
Saratoga County,Milton  W:000 D:010,329,280,40,2,21,9,11,4,354,243,45,18,19,13,3,259,295,47,10,9,10,7,4,15,20,Saratoga County,precinct
Saratoga County,Milton  W:000 D:011,220,233,31,7,7,7,2,3,255,199,32,5,16,3,3,175,256,35,9,3,6,5,2,7,16,Saratoga County,precinct
Saratoga County,Milton  W:000 D:012,107,175,31,7,9,10,3,2,131,153,35,8,10,5,4,88,174,39,6,3,8,2,8,7,11,Saratoga County,precinct
Saratoga County,Milton  W:000 D:013,270,303,35,7,6,12,6,0,313,267,33,6,10,6,1,223,307,41,10,4,8,5,5,13,20,Saratoga County,precinct
Saratoga County,Milton  W:000 D:014,245,226,34,6,13,4,9,0,271,200,34,8,15,5,0,197,260,32,9,7,8,4,4,9,6,Saratoga County,precinct
Saratoga County,Moreau  W:000 D:001,124,177,16,5,8,3,2,1,150,149,15,8,7,1,0,96,186,20,7,4,3,1,2,4,9,Saratoga County,precinct
Saratoga County,Moreau  W:000 D:002,136,141,11,3,6,5,2,2,166,108,11,4,9,3,1,118,149,14,3,0,1,1,3,5,8,Saratoga County,precinct
Saratoga County,Moreau  W:000 D:003,202,195,35,9,14,7,6,0,237,150,35,18,21,3,1,154,219,37,15,8,11,3,3,6,12,Saratoga County,precinct
Saratoga County,Moreau  W:000 D:004,217,293,37,6,13,9,6,0,267,239,35,15,15,3,3,160,323,39,10,5,5,2,4,9,21,Saratoga County,precinct
Saratoga County,Moreau  W:000 D:005,288,318,52,8,18,6,6,3,334,266,55,17,10,8,4,218,352,61,20,7,3,5,5,6,14,Saratoga County,precinct
Saratoga County,Moreau  W:000 D:006,221,289,23,7,10,11,8,1,261,254,20,11,10,5,1,167,321,27,12,3,6,3,3,1,19,Saratoga County,precinct
Saratoga County,Moreau  W:000 D:007,132,204,16,6,6,7,0,3,171,161,16,8,11,7,1,108,216,21,8,1,1,0,5,3,14,Saratoga County,precinct
Saratoga County,Moreau  W:000 D:008,100,147,11,4,10,7,2,1,132,121,12,10,8,1,1,83,157,16,4,7,1,1,3,2,8,Saratoga County,precinct
