county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Schenectady County,0101 DU-01,244,320,0,0,27,0,8,3,215,296,77,14,14,3,2,141,351,76,16,7,6,1,5,13,9,Schenectady County,precinct
Schenectady County,0102 DU-02,282,327,0,0,22,0,8,4,257,294,74,17,17,3,1,150,384,76,13,3,7,0,8,6,23,Schenectady County,precinct
Schenectady County,0103 DU-03,319,335,0,0,26,0,8,7,309,299,74,13,19,7,2,195,386,74,18,7,8,3,9,15,19,Schenectady County,precinct
Schenectady County,0104 DU-04,168,266,0,0,22,0,4,4,149,241,67,9,11,1,6,92,295,67,4,1,6,1,5,9,13,Schenectady County,precinct
Schenectady County,0105 DU-05,223,253,0,0,26,0,9,2,191,217,80,19,14,7,1,129,255,86,12,8,2,2,1,13,17,Schenectady County,precinct
Schenectady County,0201 GL-01,288,184,0,0,10,0,7,4,270,176,31,4,14,6,3,197,220,28,18,5,9,3,4,10,11,Schenectady County,precinct
Schenectady County,0202 GL-02,329,244,0,0,21,0,4,2,303,226,42,11,17,2,4,215,293,41,12,6,6,1,6,9,14,Schenectady County,precinct
Schenectady County,0203 GL-03,229,273,0,0,9,0,5,2,213,250,58,10,8,3,4,143,310,52,10,3,3,3,4,4,16,Schenectady County,precinct
Schenectady County,0204 GL-04,297,271,0,0,21,0,8,4,272,250,61,16,14,6,6,186,328,59,17,9,4,5,4,4,7,Schenectady County,precinct
Schenectady County,0205 GL-05,351,251,0,0,22,0,8,3,345,212,57,13,22,5,3,229,299,62,15,7,7,5,5,9,14,Schenectady County,precinct
Schenectady County,0206 GL-06,340,336,0,0,28,0,8,3,306,330,59,14,14,10,5,204,406,58,11,9,5,6,7,12,18,Schenectady County,precinct
Schenectady County,0207 GL-07,297,173,0,0,15,0,6,9,263,168,41,13,12,6,5,178,231,46,13,4,7,5,6,5,15,Schenectady County,precinct
Schenectady County,0208 GL-08,408,209,0,0,20,0,10,3,367,204,33,17,28,3,5,262,279,35,18,9,9,4,4,13,25,Schenectady County,precinct
Schenectady County,0209 GL-09,292,163,0,0,28,0,7,3,276,153,32,18,14,9,3,205,203,32,19,5,5,3,2,9,19,Schenectady County,precinct
Schenectady County,0210 GL-10,435,259,0,0,33,0,16,8,405,256,41,25,18,14,9,283,334,42,29,14,10,4,11,17,21,Schenectady County,precinct
Schenectady County,0211 GL-11,281,153,0,0,20,0,8,3,269,133,37,14,16,6,5,192,195,30,26,5,9,3,5,8,15,Schenectady County,precinct
Schenectady County,0212 GL-12,294,238,0,0,15,0,7,4,268,221,37,10,21,2,3,203,279,42,7,7,7,1,4,3,17,Schenectady County,precinct
Schenectady County,0213 GL-13,409,240,0,0,25,0,19,4,375,233,34,20,35,6,3,252,300,38,27,15,17,5,7,14,20,Schenectady County,precinct
Schenectady County,0214 GL-14,268,244,0,0,13,0,7,3,255,228,49,8,12,4,1,194,269,56,3,5,5,1,3,12,8,Schenectady County,precinct
Schenectady County,0215 GL-15,389,275,0,0,23,0,15,6,351,258,60,19,24,15,7,269,339,58,15,13,6,5,9,13,13,Schenectady County,precinct
Schenectady County,0216 GL-16,285,191,0,0,13,0,4,3,270,180,17,8,19,3,5,175,251,20,12,8,8,3,6,7,9,Schenectady County,precinct
Schenectady County,0217 GL-17,265,200,0,0,14,0,6,3,251,193,32,7,10,5,3,158,255,35,13,6,5,2,4,4,11,Schenectady County,precinct
Schenectady County,0218 GL-18,281,254,0,0,21,0,7,2,268,213,61,17,19,8,3,175,282,71,17,5,8,5,7,9,12,Schenectady County,precinct
Schenectady County,0219 GL-19,369,250,0,0,25,0,9,4,341,230,46,18,16,9,5,235,299,53,21,12,6,4,5,15,13,Schenectady County,precinct
Schenectady County,0220 GL-20,288,222,0,0,12,0,7,2,280,193,50,6,11,6,1,178,265,49,11,7,7,4,5,8,11,Schenectady County,precinct
Schenectady County,0221 GL-21,394,301,0,0,19,0,10,4,369,285,45,21,15,7,0,258,368,43,18,9,9,3,5,12,10,Schenectady County,precinct
Schenectady County,0222 GL-22,302,229,0,0,14,0,5,6,282,212,44,7,13,2,5,187,271,51,13,1,5,1,10,8,17,Schenectady County,precinct
Schenectady County,0301 NI-01,496,272,0,0,22,0,8,4,455,273,49,23,14,4,2,356,331,59,21,13,12,4,4,11,6,Schenectady County,precinct
Schenectady County,0302 NI-02,769,388,0,0,39,0,15,9,725,398,59,31,23,15,5,559,503,63,32,21,7,7,5,25,21,Schenectady County,precinct
Schenectady County,0304 NI-04,461,155,0,0,18,0,13,7,450,136,29,15,14,9,9,326,197,30,43,12,7,7,4,24,9,Schenectady County,precinct
Schenectady County,0305 NI-05,352,129,0,0,17,0,11,3,328,127,29,15,16,10,1,261,151,32,17,10,12,7,3,13,10,Schenectady County,precinct
Schenectady County,0306 NI-06,1232,508,0,0,54,0,16,12,1164,458,126,28,32,16,2,906,640,78,31,19,16,6,14,39,36,Schenectady County,precinct
Schenectady County,0309 NI-09,445,206,0,0,32,0,9,4,426,200,30,29,12,6,2,327,254,33,30,15,9,5,2,12,8,Schenectady County,precinct
Schenectady County,0310 NI-10,297,139,0,0,16,0,6,3,278,133,30,11,10,4,4,216,172,20,10,8,9,5,6,13,9,Schenectady County,precinct
Schenectady County,0311 NI-11,1157,475,0,0,77,0,20,10,1076,491,63,60,52,19,4,846,645,64,48,39,22,18,11,51,11,Schenectady County,precinct
Schenectady County,0314 NI-14,533,239,0,0,33,0,15,8,502,234,28,31,25,10,3,409,288,40,20,19,11,11,5,16,6,Schenectady County,precinct
Schenectady County,0315 NI-15,494,221,0,0,18,0,10,4,472,217,39,13,15,9,1,373,272,41,26,9,8,4,5,14,13,Schenectady County,precinct
Schenectady County,0316 NI-16,987,635,0,0,62,0,20,11,891,633,114,27,41,12,7,676,798,95,42,28,13,11,5,18,13,Schenectady County,precinct
Schenectady County,0402 PR-02,192,209,0,0,27,0,6,5,163,201,45,14,19,3,4,94,258,59,7,4,4,2,6,11,6,Schenectady County,precinct
Schenectady County,0501 RO-01,252,296,0,0,22,0,5,1,219,283,50,9,19,4,5,140,363,46,9,3,5,1,8,8,17,Schenectady County,precinct
Schenectady County,0502 RO-02,264,307,0,0,14,0,4,7,231,297,61,9,17,6,3,146,370,57,6,2,5,6,7,6,18,Schenectady County,precinct
Schenectady County,0503 RO-03,374,293,0,0,23,0,7,5,345,271,72,13,16,5,4,235,367,72,11,6,7,4,3,9,14,Schenectady County,precinct
Schenectady County,0504 RO-04,358,352,0,0,40,0,6,3,312,331,79,18,27,4,5,219,409,92,11,4,11,4,4,7,15,Schenectady County,precinct
Schenectady County,0505 RO-05,514,446,0,0,37,0,13,6,485,415,84,23,22,7,4,345,518,93,22,8,11,7,6,13,26,Schenectady County,precinct
Schenectady County,0507 RO-07,287,236,0,0,16,0,6,3,255,225,38,7,14,5,1,178,292,39,14,8,7,0,4,5,12,Schenectady County,precinct
Schenectady County,0508 RO-08,290,243,0,0,35,0,5,4,255,238,33,26,17,7,1,188,308,36,13,9,3,1,6,7,11,Schenectady County,precinct
Schenectady County,0509 RO-09,592,391,0,0,35,0,15,6,549,377,51,23,24,6,3,385,527,53,15,13,10,5,9,6,31,Schenectady County,precinct
Schenectady County,0511 RO-11,351,238,0,0,35,0,10,6,313,245,51,20,20,6,2,210,335,53,11,7,11,4,10,7,14,Schenectady County,precinct
Schenectady County,0512 RO-12,277,305,0,0,14,0,8,1,217,309,65,6,20,4,2,150,365,68,7,2,10,1,4,8,10,Schenectady County,precinct
Schenectady County,0513 RO-13,239,173,0,0,8,0,6,2,227,159,31,5,7,4,3,175,202,33,6,5,1,2,4,5,6,Schenectady County,precinct
Schenectady County,0514 RO-14,606,469,0,0,45,0,14,4,563,440,68,32,32,8,6,386,592,81,20,14,12,6,5,6,35,Schenectady County,precinct
Schenectady County,0516 RO-16,331,320,0,0,26,0,3,0,294,297,52,17,22,2,2,195,389,60,7,6,12,2,3,8,15,Schenectady County,precinct
Schenectady County,0517 RO-17,295,256,0,0,13,0,7,5,275,240,42,10,13,3,3,188,310,46,9,5,9,0,3,6,10,Schenectady County,precinct
Schenectady County,0518 RO-18,586,481,0,0,32,0,11,13,534,442,91,24,30,8,10,358,616,94,15,7,10,4,12,9,33,Schenectady County,precinct
Schenectady County,0520 RO-20,328,272,0,0,28,0,7,4,290,262,50,12,18,8,5,186,340,55,15,6,14,1,5,8,25,Schenectady County,precinct
Schenectady County,0521 RO-21,252,220,0,0,27,0,6,3,212,213,44,15,8,9,6,148,267,52,6,7,2,3,6,7,20,Schenectady County,precinct
Schenectady County,0601 SD-01,247,43,0,0,10,0,5,1,233,47,8,7,5,8,3,194,57,6,16,5,3,0,5,11,12,Schenectady County,precinct
Schenectady County,0602 SD-02,410,81,0,0,26,0,10,1,389,81,12,26,15,6,1,314,100,15,34,16,8,2,2,17,15,Schenectady County,precinct
Schenectady County,0603 SD-03,268,105,0,0,17,0,8,2,251,108,17,10,19,4,1,206,139,19,6,10,13,2,1,10,6,Schenectady County,precinct
Schenectady County,0604 SD-04,336,132,0,0,25,0,7,3,318,123,23,20,18,6,2,272,159,21,21,13,11,1,2,6,8,Schenectady County,precinct
Schenectady County,0605 SD-05,226,124,0,0,19,0,6,7,212,112,26,21,11,4,3,177,125,27,17,7,10,0,3,5,17,Schenectady County,precinct
Schenectady County,0606 SD-06,268,112,0,0,16,0,5,4,262,101,16,12,10,7,1,228,121,13,11,10,10,4,1,7,3,Schenectady County,precinct
Schenectady County,0607 SD-07,163,116,0,0,12,0,4,0,146,119,21,5,9,2,1,124,147,24,3,3,5,2,0,1,1,Schenectady County,precinct
Schenectady County,0608 SD-08,229,110,0,0,17,0,12,0,221,102,11,13,11,5,3,178,135,16,10,7,6,3,1,3,10,Schenectady County,precinct
Schenectady County,0609 SD-09,388,155,0,0,27,0,6,4,376,150,30,21,19,3,5,290,198,38,19,16,15,4,4,8,13,Schenectady County,precinct
Schenectady County,0610 SD-10,277,199,0,0,18,0,7,1,256,190,27,15,11,6,3,199,236,25,16,8,6,4,2,5,11,Schenectady County,precinct
Schenectady County,0611 SD-11,346,188,0,0,25,0,9,1,305,194,29,19,18,9,2,238,228,35,19,8,10,3,4,12,22,Schenectady County,precinct
Schenectady County,0612 SD-12,260,142,0,0,10,0,7,3,237,133,24,13,18,5,2,184,167,23,11,8,13,5,4,9,16,Schenectady County,precinct
Schenectady County,0613 SD-13,254,56,0,0,14,0,6,1,247,46,10,14,4,3,4,201,71,10,11,15,3,2,0,4,10,Schenectady County,precinct
Schenectady County,0614 SD-14,316,173,0,0,20,0,13,4,296,158,24,18,30,8,2,244,199,29,8,12,18,3,4,4,11,Schenectady County,precinct
Schenectady County,0615 SD-15,332,86,0,0,12,0,9,1,322,80,15,14,6,9,1,273,98,18,10,10,4,5,5,13,11,Schenectady County,precinct
Schenectady County,0616 SD-16,347,111,0,0,39,0,8,3,329,109,14,38,12,9,3,255,145,13,27,25,10,5,4,14,10,Schenectady County,precinct
Schenectady County,0617 SD-17,440,124,0,0,22,0,8,7,401,130,25,25,26,6,3,335,166,28,20,21,13,1,6,15,9,Schenectady County,precinct
Schenectady County,0618 SD-18,421,198,0,0,38,0,10,3,400,174,46,35,14,7,5,312,224,47,27,21,8,6,8,15,13,Schenectady County,precinct
Schenectady County,0619 SD-19,464,171,0,0,41,0,11,6,448,162,27,28,19,12,2,350,196,31,32,20,12,4,6,20,15,Schenectady County,precinct
Schenectady County,0620 SD-20,284,109,0,0,16,0,10,1,264,105,21,13,5,5,6,228,142,19,6,5,4,5,7,2,5,Schenectady County,precinct
Schenectady County,0621 SD-21,199,97,0,0,9,0,5,1,185,92,14,6,10,4,0,142,130,12,10,3,4,4,1,3,5,Schenectady County,precinct
Schenectady County,0622 SD-22,228,52,0,0,18,0,4,3,211,56,9,7,11,4,2,211,55,7,8,6,5,2,1,2,5,Schenectady County,precinct
Schenectady County,0623 SD-23,261,90,0,0,7,0,8,1,248,82,15,8,7,9,0,231,89,16,8,2,2,0,4,4,14,Schenectady County,precinct
Schenectady County,0624 SD-24,239,57,0,0,12,0,5,2,236,59,0,9,7,6,1,227,61,4,8,4,5,2,1,3,5,Schenectady County,precinct
Schenectady County,0625 SD-25,248,91,0,0,7,0,4,2,229,86,16,3,8,2,5,223,101,14,2,3,4,0,2,2,4,Schenectady County,precinct
Schenectady County,0626 SD-26,112,23,0,0,2,0,1,0,108,19,2,2,1,2,2,110,26,5,4,0,0,0,0,1,2,Schenectady County,precinct
Schenectady County,0627 SD-27,230,70,0,0,26,0,3,5,222,68,14,23,9,2,4,186,86,21,22,16,2,2,3,3,4,Schenectady County,precinct
Schenectady County,0628 SD-28,122,18,0,0,7,0,3,1,120,17,4,2,2,5,0,118,18,4,3,3,1,0,0,3,2,Schenectady County,precinct
Schenectady County,0629 SD-29,429,163,0,0,13,0,8,2,399,161,26,15,15,8,2,324,215,27,19,10,11,6,3,7,12,Schenectady County,precinct
