county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Schoharie County,Cumulative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Schoharie County,precinct
Schoharie County,Town of Blenheim 1 LD 1,53,68,11,8,4,0,5,1,60,65,12,3,2,4,1,45,71,11,4,1,2,2,1,0,8,Schoharie County,precinct
Schoharie County,Town of Broome 1 LD 1,129,220,36,11,4,4,1,1,146,207,36,6,6,0,3,92,248,40,3,3,5,0,4,6,12,Schoharie County,precinct
Schoharie County,Town of Carlisle 1 LD 1,225,381,77,16,19,1,10,2,246,356,83,24,12,6,2,138,456,92,8,11,5,2,5,6,18,Schoharie County,precinct
Schoharie County,Town of Cobleskill 1 LD 1,321,347,50,17,18,5,8,1,351,312,51,15,23,9,7,216,406,64,13,7,7,5,10,12,27,Schoharie County,precinct
Schoharie County,Town of Cobleskill 2 LD 1,577,461,60,17,33,16,12,1,614,418,62,38,31,11,11,404,558,74,29,16,11,10,12,18,57,Schoharie County,precinct
Schoharie County,Town of Conesville 1 LD 1,84,191,21,7,5,1,4,1,107,170,25,4,5,4,1,66,187,24,2,2,1,4,4,3,25,Schoharie County,precinct
Schoharie County,Town of Esperance 1 LD 1,180,294,54,20,15,4,3,4,195,284,55,19,13,5,6,110,358,59,10,6,2,2,9,6,34,Schoharie County,precinct
Schoharie County,Town of Esperance 2 LD 1,53,76,12,1,6,3,1,1,64,70,10,6,2,0,2,30,86,16,9,0,0,1,2,5,8,Schoharie County,precinct
Schoharie County,Town of Fulton 1 LD 1,158,257,60,9,14,8,2,1,168,253,57,15,12,3,4,106,303,52,13,5,9,2,4,5,15,Schoharie County,precinct
Schoharie County,Town of Gilboa 1 LD 1,142,259,39,5,8,5,8,2,158,239,41,13,5,8,3,118,269,39,7,8,4,1,5,5,23,Schoharie County,precinct
Schoharie County,Town of Jefferson 1 LD 1,155,353,50,9,18,3,6,3,177,324,59,17,8,7,3,114,353,57,6,9,4,4,3,8,39,Schoharie County,precinct
Schoharie County,Town of Middleburgh 1 LD 1,243,469,77,15,17,4,12,2,284,433,73,21,18,9,2,150,529,82,9,7,5,3,7,7,43,Schoharie County,precinct
Schoharie County,Town of Middleburgh 2 LD 1,225,269,49,13,22,6,4,2,246,253,48,16,19,2,5,147,317,56,11,3,9,3,8,4,34,Schoharie County,precinct
Schoharie County,Town of Richmondville 1 LD 1,200,336,56,15,12,11,4,4,229,308,57,15,22,4,2,142,368,71,7,3,11,1,2,7,32,Schoharie County,precinct
Schoharie County,Town of Richmondville 2 LD 1,109,112,22,6,2,2,5,0,118,101,23,4,8,2,1,66,134,30,6,0,3,1,3,5,15,Schoharie County,precinct
Schoharie County,Town of Schoharie 1 LD 1,294,511,99,26,26,14,6,2,343,454,104,23,29,5,11,200,583,116,20,6,9,1,4,10,43,Schoharie County,precinct
Schoharie County,Town of Schoharie 2 LD 1,167,153,17,3,9,4,1,0,164,141,22,8,10,0,3,100,186,28,12,4,7,0,2,4,15,Schoharie County,precinct
Schoharie County,Town of Seward 1 LD 1,236,371,67,13,16,5,3,3,284,321,65,20,13,3,6,151,418,71,7,10,6,4,6,7,33,Schoharie County,precinct
Schoharie County,Town of Sharon 1 LD 1,143,248,50,17,7,7,2,5,166,228,53,14,11,2,3,108,273,53,15,4,2,1,2,4,24,Schoharie County,precinct
Schoharie County,Town of Sharon 2 LD 1,68,65,9,5,8,3,3,3,75,66,10,4,6,4,2,54,73,13,2,3,2,2,3,0,15,Schoharie County,precinct
Schoharie County,Town of Summit 1 LD 1,153,252,57,9,13,8,4,1,169,239,58,12,14,5,3,100,301,62,8,1,4,2,4,9,16,Schoharie County,precinct
Schoharie County,Town of Wright 1 LD 1,289,353,57,8,14,7,7,4,302,335,58,15,11,4,6,160,429,68,13,7,6,1,6,13,27,Schoharie County,precinct
