county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Schuyler County,CC Catharine 1,38,24,0,0,4,0,0,0,18,12,0,1,2,0,0,16,14,0,2,1,0,0,0,0,1,Schuyler County,precinct
Schuyler County,CC Cayuta 1,2,0,4,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,Schuyler County,precinct
Schuyler County,CC Dix 1,4,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,Schuyler County,precinct
Schuyler County,CC Dix 2,66,32,0,0,0,0,0,0,30,15,2,0,0,0,0,22,17,1,1,0,0,0,1,0,5,Schuyler County,precinct
Schuyler County,CC Dix 3,30,56,0,0,0,0,0,0,16,25,0,0,0,0,0,16,25,0,1,0,0,0,0,0,1,Schuyler County,precinct
Schuyler County,CC Hector 1,80,16,4,0,2,0,0,0,38,8,0,0,3,0,0,30,12,1,4,0,2,0,0,2,0,Schuyler County,precinct
Schuyler County,CC Hector 2,14,6,0,0,0,0,0,0,8,2,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,Schuyler County,precinct
Schuyler County,CC Hector 3,12,22,6,0,2,2,0,0,6,9,4,1,1,0,0,6,7,4,0,1,0,0,0,1,3,Schuyler County,precinct
Schuyler County,CC Hector 4,44,16,4,0,6,0,0,0,21,9,2,3,0,0,0,15,11,3,1,2,0,0,0,0,1,Schuyler County,precinct
Schuyler County,CC Hector 5,6,8,0,0,0,2,0,0,3,4,0,0,1,0,0,2,3,0,0,0,1,0,0,0,0,Schuyler County,precinct
