county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
St. Lawrence County,Brasher 1,90,148,16,8,4,8,1,2,124,108,17,6,8,2,1,76,145,19,4,0,2,1,4,1,18,St. Lawrence County,precinct
St. Lawrence County,Brasher 2,192,197,16,9,11,12,6,2,217,166,16,15,9,6,0,124,212,21,11,1,4,4,3,9,42,St. Lawrence County,precinct
St. Lawrence County,Canton 1,458,99,18,5,20,4,11,0,461,84,18,16,13,7,2,362,128,19,18,16,8,4,1,21,12,St. Lawrence County,precinct
St. Lawrence County,Canton 2,282,198,25,9,16,9,4,0,298,162,24,14,16,4,1,198,244,35,9,5,6,1,7,7,9,St. Lawrence County,precinct
St. Lawrence County,Canton 3,308,110,12,7,19,4,10,2,309,95,13,17,7,8,2,240,128,19,21,14,4,8,1,8,10,St. Lawrence County,precinct
St. Lawrence County,Canton 4,46,54,5,3,2,0,0,1,59,32,3,6,2,1,1,26,54,10,8,1,0,0,1,3,2,St. Lawrence County,precinct
St. Lawrence County,Canton 5,114,127,13,7,9,1,6,0,132,98,17,10,6,3,2,65,156,16,4,6,5,3,3,4,9,St. Lawrence County,precinct
St. Lawrence County,Canton 6,314,137,21,5,12,3,1,1,323,108,23,11,7,4,1,255,151,23,8,8,5,3,2,6,12,St. Lawrence County,precinct
St. Lawrence County,Canton 7,79,84,7,8,3,2,0,1,97,65,9,3,3,1,2,68,92,11,0,0,3,1,2,1,5,St. Lawrence County,precinct
St. Lawrence County,Canton 8,292,216,32,12,19,5,8,0,309,176,33,18,13,7,2,210,238,37,27,9,7,5,4,8,11,St. Lawrence County,precinct
St. Lawrence County,Clare 1,11,28,2,3,2,0,1,1,12,22,0,2,2,2,0,8,35,3,0,0,0,0,0,0,0,St. Lawrence County,precinct
St. Lawrence County,Clifton 1,47,60,6,1,3,0,0,0,49,54,1,4,4,1,0,34,64,4,3,1,1,0,0,1,3,St. Lawrence County,precinct
St. Lawrence County,Clifton 2,56,72,11,3,4,0,3,0,63,58,9,3,7,4,0,39,80,10,1,3,1,2,1,3,4,St. Lawrence County,precinct
