county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Steuben County,City of Corning Ward 1,237,138,21,0,5,3,6,0,229,127,20,9,13,3,0,175,147,18,13,4,7,5,1,11,23,Steuben County,precinct
Steuben County,City of Corning Ward 2,289,153,16,0,13,8,10,0,290,146,16,11,13,5,6,248,157,19,8,9,8,1,1,5,23,Steuben County,precinct
Steuben County,City of Corning Ward 3,405,166,14,0,22,7,10,0,404,156,19,23,10,8,3,341,170,17,20,10,7,8,3,6,29,Steuben County,precinct
Steuben County,City of Corning Ward 4,265,211,18,0,12,8,3,0,277,191,18,8,8,3,1,228,208,16,8,6,9,1,1,6,17,Steuben County,precinct
Steuben County,City of Corning Ward 5,265,236,22,0,13,8,9,0,277,198,27,9,12,12,7,219,214,23,7,8,7,7,6,8,43,Steuben County,precinct
Steuben County,City of Corning Ward 6,178,138,9,0,13,6,6,0,177,121,14,12,13,3,2,140,127,12,8,4,7,2,5,7,35,Steuben County,precinct
Steuben County,City of Corning Ward 7,222,180,21,0,13,9,7,0,249,141,29,12,7,2,4,184,169,28,6,3,8,1,6,3,37,Steuben County,precinct
Steuben County,City of Corning Ward 8,220,223,15,0,7,5,5,0,224,199,16,11,13,5,3,180,219,19,6,3,4,3,3,8,27,Steuben County,precinct
Steuben County,City of Hornell 1,60,133,14,0,2,4,1,0,65,124,11,3,7,1,2,49,115,15,4,1,4,0,2,3,20,Steuben County,precinct
Steuben County,City of Hornell 10,98,124,16,0,10,5,4,0,108,101,16,9,5,3,6,70,126,13,7,3,1,1,2,0,26,Steuben County,precinct
Steuben County,City of Hornell 2,103,149,19,0,4,4,4,0,115,132,15,6,5,4,1,78,140,17,8,2,1,2,0,2,30,Steuben County,precinct
Steuben County,City of Hornell 3,101,95,10,0,1,6,3,0,100,91,6,7,8,0,2,75,101,10,3,2,5,0,1,1,19,Steuben County,precinct
Steuben County,City of Hornell 4,77,124,11,0,6,5,3,0,91,110,12,2,4,3,0,61,117,8,4,0,1,0,1,2,30,Steuben County,precinct
Steuben County,City of Hornell 5,145,151,10,0,3,2,0,0,151,137,13,2,3,1,2,112,159,12,6,2,2,0,1,7,12,Steuben County,precinct
Steuben County,City of Hornell 6,68,114,14,0,3,1,0,0,75,94,13,5,3,0,3,50,109,9,4,2,0,0,3,5,18,Steuben County,precinct
Steuben County,City of Hornell 7,60,143,11,0,4,1,2,0,73,126,13,3,2,1,0,47,133,8,1,1,1,2,0,2,21,Steuben County,precinct
Steuben County,City of Hornell 8,67,117,9,0,4,1,5,0,78,100,12,3,4,2,1,52,111,16,3,1,3,0,1,3,11,Steuben County,precinct
Steuben County,City of Hornell 9,97,203,14,0,5,9,1,0,111,182,10,5,5,2,4,68,192,12,2,4,3,3,0,2,34,Steuben County,precinct
Steuben County,Town of Addison 1,111,254,22,0,5,9,1,0,112,238,25,5,4,2,2,75,255,17,3,1,1,0,1,3,40,Steuben County,precinct
Steuben County,Town of Addison 2,113,211,19,0,16,3,3,0,117,202,18,14,6,1,1,68,217,19,5,4,1,0,3,5,36,Steuben County,precinct
