county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Sullivan County,Town of Bethel 1,191,219,39,5,7,3,7,3,203,200,41,9,14,3,4,156,228,40,7,3,6,4,13,4,14,Sullivan County,precinct
Sullivan County,Town of Bethel 2,86,86,12,4,6,1,1,2,86,82,10,9,2,2,3,81,94,12,1,3,1,1,3,0,3,Sullivan County,precinct
Sullivan County,Town of Bethel 3,160,112,25,5,10,5,3,1,163,102,23,13,7,1,5,137,134,21,7,5,3,2,2,4,6,Sullivan County,precinct
Sullivan County,Town of Bethel 4,270,216,18,8,18,3,7,1,277,208,19,15,6,4,4,253,220,28,8,11,5,3,3,3,7,Sullivan County,precinct
Sullivan County,Town of Callicoon 1,238,255,27,3,10,7,5,1,246,241,24,8,5,9,2,184,281,26,12,8,3,3,3,5,9,Sullivan County,precinct
Sullivan County,Town of Callicoon 2,188,160,12,5,6,4,3,0,194,151,12,10,5,2,0,150,181,15,4,4,3,1,5,3,9,Sullivan County,precinct
Sullivan County,Town of Callicoon 3,130,199,21,3,7,5,4,1,143,187,21,9,7,3,2,111,216,21,8,4,3,1,3,1,11,Sullivan County,precinct
Sullivan County,Town of Cochecton 1,263,307,31,7,14,7,6,0,268,286,34,20,14,5,1,218,337,31,13,9,9,4,1,4,10,Sullivan County,precinct
Sullivan County,Town of Delaware 1,292,216,20,3,26,3,8,2,293,189,24,32,12,6,3,243,226,28,11,21,7,4,3,4,15,Sullivan County,precinct
Sullivan County,Town of Delaware 2,149,188,26,3,13,0,2,0,164,176,26,8,3,2,1,112,207,30,6,5,1,1,5,2,8,Sullivan County,precinct
Sullivan County,Town of Fallsburg 1,120,106,7,0,6,5,4,1,121,86,5,10,9,1,1,138,87,9,1,5,4,3,2,3,0,Sullivan County,precinct
Sullivan County,Town of Fallsburg 2,169,214,20,11,9,4,6,2,177,188,19,11,8,7,2,159,217,20,6,3,2,5,3,4,10,Sullivan County,precinct
Sullivan County,Town of Fallsburg 3,216,252,39,7,13,7,2,2,221,245,35,20,10,2,2,181,277,41,8,6,6,4,2,5,11,Sullivan County,precinct
Sullivan County,Town of Fallsburg 4,177,45,3,0,6,0,3,1,162,44,2,6,2,2,3,159,48,4,3,3,1,1,2,1,3,Sullivan County,precinct
Sullivan County,Town of Fallsburg 5,128,161,13,4,13,2,3,1,136,143,20,13,4,0,0,121,162,15,4,4,1,0,2,1,15,Sullivan County,precinct
Sullivan County,Town of Fallsburg 6,212,104,6,4,21,4,7,1,217,101,6,18,10,3,1,186,90,5,12,13,5,21,6,3,9,Sullivan County,precinct
Sullivan County,Town of Fallsburg 7,157,290,18,2,5,5,0,3,176,197,11,5,5,1,4,165,212,16,1,2,3,1,2,3,4,Sullivan County,precinct
Sullivan County,Town of Fallsburg 8,107,138,8,4,7,3,0,1,110,133,9,8,3,3,1,91,141,11,5,4,3,1,1,1,10,Sullivan County,precinct
Sullivan County,Town of Fallsburg 9,180,126,15,5,8,4,5,1,194,113,15,7,5,4,0,152,137,18,9,4,2,5,3,3,11,Sullivan County,precinct
Sullivan County,Town of Forestburgh 1,172,176,16,9,9,2,1,1,183,157,19,14,11,0,2,146,199,18,6,6,6,0,2,5,5,Sullivan County,precinct
Sullivan County,Town of Fremont 1,165,218,20,10,7,2,3,1,173,211,17,11,5,4,0,131,240,19,3,7,3,1,2,8,13,Sullivan County,precinct
Sullivan County,Town of Fremont 2,70,65,4,2,1,1,5,1,73,64,5,3,1,5,0,59,73,4,7,0,1,3,2,0,3,Sullivan County,precinct
Sullivan County,Town of Highland 1,183,144,16,4,12,5,6,1,190,137,18,11,5,4,1,161,163,22,7,7,2,4,0,4,3,Sullivan County,precinct
Sullivan County,Town of Highland 2,212,258,23,4,12,2,7,1,216,246,25,16,10,5,1,176,281,26,6,8,3,4,4,3,4,Sullivan County,precinct
Sullivan County,Town of Liberty 1,206,141,15,6,12,7,4,1,218,123,16,19,12,2,0,186,157,15,3,8,9,0,3,3,11,Sullivan County,precinct
Sullivan County,Town of Liberty 2,216,139,19,2,8,3,4,0,217,128,18,11,6,0,2,191,145,17,3,5,7,0,1,4,11,Sullivan County,precinct
Sullivan County,Town of Liberty 3,98,132,9,5,8,4,2,0,105,113,14,9,5,3,1,82,136,13,11,2,2,0,1,2,6,Sullivan County,precinct
Sullivan County,Town of Liberty 4,167,201,25,7,12,7,4,1,162,201,29,14,6,6,2,143,216,32,6,6,1,4,6,5,12,Sullivan County,precinct
Sullivan County,Town of Liberty 5,106,62,11,1,9,2,2,0,105,58,11,3,5,4,0,86,68,16,4,4,3,0,2,2,3,Sullivan County,precinct
Sullivan County,Town of Liberty 6,112,62,9,4,2,2,2,0,116,61,9,2,2,2,0,106,63,9,5,2,3,1,0,2,3,Sullivan County,precinct
Sullivan County,Town of Liberty 7,170,182,19,3,8,2,3,1,186,161,19,13,7,1,2,152,197,17,2,4,3,1,2,5,5,Sullivan County,precinct
Sullivan County,Town of Liberty 8,84,153,12,4,7,1,3,0,96,108,9,5,10,1,0,85,125,15,1,0,4,0,2,2,2,Sullivan County,precinct
Sullivan County,Town of Liberty 9,61,46,1,2,1,0,0,0,62,42,1,1,4,1,0,52,54,1,0,0,2,0,0,0,3,Sullivan County,precinct
Sullivan County,Town of Lumberland 1,144,175,15,8,8,3,1,0,156,171,18,7,5,0,2,120,207,21,3,1,2,0,2,4,2,Sullivan County,precinct
Sullivan County,Town of Lumberland 2,174,209,24,14,12,4,11,2,165,212,29,19,8,6,3,144,237,26,6,9,6,4,4,3,11,Sullivan County,precinct
Sullivan County,Town of Mamakating Ward 1 1,125,147,19,4,7,3,4,1,123,144,21,7,7,4,2,99,173,21,15,1,2,1,1,0,2,Sullivan County,precinct
Sullivan County,Town of Mamakating Ward 1 2,168,225,33,14,12,6,4,4,171,229,32,11,11,7,7,129,263,37,10,5,4,4,8,4,10,Sullivan County,precinct
Sullivan County,Town of Mamakating Ward 2 3,172,207,33,7,5,2,4,0,173,207,32,5,9,6,1,137,229,32,8,5,4,2,3,4,12,Sullivan County,precinct
Sullivan County,Town of Mamakating Ward 2 4,121,129,23,3,5,2,1,0,121,130,24,6,4,2,4,96,152,26,5,3,0,0,4,4,3,Sullivan County,precinct
Sullivan County,Town of Mamakating Ward 3 5,146,126,19,5,7,3,1,3,147,124,22,9,6,2,4,120,154,21,5,4,2,3,4,0,4,Sullivan County,precinct
Sullivan County,Town of Mamakating Ward 3 6,160,183,20,10,9,4,2,0,174,177,20,10,9,3,0,136,203,21,4,4,3,0,2,7,11,Sullivan County,precinct
Sullivan County,Town of Mamakating Ward 4 7,114,139,21,0,6,4,2,0,116,136,23,4,8,1,1,93,159,24,3,1,2,1,1,2,6,Sullivan County,precinct
Sullivan County,Town of Mamakating Ward 4 8,153,188,31,2,5,7,2,4,160,178,35,2,9,3,2,121,211,31,11,2,2,0,3,2,11,Sullivan County,precinct
Sullivan County,Town of Mamakating Ward 5 10,84,86,14,2,2,1,4,1,98,76,13,2,1,4,2,80,88,14,3,2,1,1,0,0,6,Sullivan County,precinct
Sullivan County,Town of Mamakating Ward 5 9,229,170,18,7,8,3,4,1,233,166,18,7,11,2,2,186,196,31,4,1,6,0,5,4,5,Sullivan County,precinct
Sullivan County,Town of Mamakating Ward 6 11,47,76,6,3,0,118,1,1,52,69,6,0,88,0,2,39,78,8,3,0,83,0,2,1,0,Sullivan County,precinct
Sullivan County,Town of Mamakating Ward 6 12,158,175,14,10,2,3,2,0,166,167,15,4,9,2,1,144,190,12,4,0,2,1,3,4,8,Sullivan County,precinct
Sullivan County,Town of Neversink 1,212,281,38,6,7,7,6,2,228,270,35,7,13,3,5,161,315,40,6,4,4,2,6,9,15,Sullivan County,precinct
