county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Tompkins County,Caroline 1,160,102,11,0,18,3,7,0,151,99,14,18,5,5,3,128,101,8,18,8,4,2,1,7,26,Tompkins County,Caroline 1
Tompkins County,Caroline 2,430,170,24,0,43,4,9,0,424,164,19,45,10,9,1,356,157,13,35,27,3,6,3,16,55,Tompkins County,Caroline 2
Tompkins County,Caroline 3,425,139,11,0,67,6,17,0,417,127,15,66,9,11,5,356,137,17,34,52,7,8,1,13,34,Tompkins County,Caroline 3
Tompkins County,Danby 1,539,163,17,0,62,4,16,0,530,156,18,63,13,12,4,468,174,16,42,40,10,8,1,14,20,Tompkins County,Danby 1
Tompkins County,Danby 2,85,51,5,0,22,3,6,0,82,51,9,19,2,6,0,61,57,7,10,12,2,5,0,3,15,Tompkins County,Danby 2
Tompkins County,Danby 3,522,182,20,0,57,3,18,0,508,171,21,59,7,16,1,459,189,20,30,43,2,16,2,17,21,Tompkins County,Danby 3
Tompkins County,Dryden 1,336,189,18,0,28,8,13,0,319,186,22,25,19,11,4,274,172,20,11,18,12,3,3,18,53,Tompkins County,Dryden 1
Tompkins County,Dryden 10,312,255,30,0,24,23,8,0,310,241,36,21,19,11,9,252,265,38,13,12,10,4,5,15,36,Tompkins County,Dryden 10
Tompkins County,Dryden 2,392,236,39,0,45,15,21,0,387,234,44,35,17,17,7,331,234,31,24,26,11,8,5,21,49,Tompkins County,Dryden 2
Tompkins County,Dryden 3,93,81,9,0,5,1,0,0,91,79,10,3,2,0,0,71,82,8,4,1,0,0,0,6,13,Tompkins County,Dryden 3
Tompkins County,Dryden 4,456,84,13,0,42,6,18,0,442,89,10,37,15,13,3,397,90,8,39,28,5,6,3,12,19,Tompkins County,Dryden 4
Tompkins County,Dryden 5,363,170,23,0,30,9,17,0,362,162,30,27,15,14,2,297,158,24,23,19,8,10,2,25,37,Tompkins County,Dryden 5
Tompkins County,Dryden 6,373,202,28,0,22,12,17,0,368,194,27,27,16,9,11,291,217,31,14,13,8,6,11,29,33,Tompkins County,Dryden 6
Tompkins County,Dryden 7,274,232,27,0,20,17,6,0,280,220,27,15,19,8,4,234,228,31,11,9,9,5,11,7,33,Tompkins County,Dryden 7
Tompkins County,Dryden 8,526,94,20,0,81,3,11,0,509,96,21,79,8,14,1,448,101,16,35,68,5,6,3,19,21,Tompkins County,Dryden 8
Tompkins County,Dryden 9,494,76,15,0,42,2,13,0,482,75,13,39,11,12,2,435,82,15,13,34,9,9,1,12,13,Tompkins County,Dryden 9
Tompkins County,Enfield 1,223,157,20,0,29,6,6,0,213,147,19,30,14,9,1,178,140,22,21,16,7,6,0,8,43,Tompkins County,Enfield 1
Tompkins County,Enfield 2,249,139,11,0,31,9,13,0,247,135,10,32,10,7,3,206,139,11,22,18,6,8,3,4,31,Tompkins County,Enfield 2
Tompkins County,Enfield 3,264,146,11,0,41,4,8,0,254,139,11,36,10,8,3,199,135,13,24,23,3,4,3,17,47,Tompkins County,Enfield 3
Tompkins County,Groton 1,162,193,18,0,19,4,8,0,169,171,19,17,11,8,1,133,180,17,10,8,5,0,4,9,41,Tompkins County,Groton 1
Tompkins County,Groton 2,233,257,24,0,29,10,3,0,249,221,32,19,10,6,4,190,235,31,12,7,3,3,3,18,60,Tompkins County,Groton 2
Tompkins County,Groton 3,240,264,25,0,18,14,5,0,255,234,23,23,15,9,3,188,240,23,12,11,6,6,3,19,60,Tompkins County,Groton 3
Tompkins County,Groton 4,233,270,19,0,20,13,8,0,243,252,25,17,15,6,3,189,262,31,14,4,7,1,4,20,28,Tompkins County,Groton 4
