county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Ulster County,Denning 1,75,62,5,2,9,1,1,0,71,66,5,9,2,2,0,60,68,6,6,6,1,1,0,1,7,Ulster County,precinct
Ulster County,Denning 2,30,56,4,3,3,0,0,0,32,57,4,3,2,0,1,27,62,3,2,2,1,0,1,0,1,Ulster County,precinct
Ulster County,Esopus 1,421,217,41,9,25,5,10,1,424,201,47,20,18,13,2,353,268,50,7,14,13,5,7,3,11,Ulster County,precinct
Ulster County,Esopus 2,193,173,39,8,12,7,5,0,199,171,36,14,10,6,1,165,196,45,9,6,2,5,6,0,9,Ulster County,precinct
Ulster County,Esopus 3,281,185,37,7,36,11,4,1,278,182,38,37,10,6,4,243,227,38,7,27,4,2,6,1,6,Ulster County,precinct
Ulster County,Esopus 4,381,213,48,10,47,16,12,2,387,196,53,43,19,10,6,299,257,58,18,38,11,6,8,5,20,Ulster County,precinct
Ulster County,Esopus 5,220,173,48,7,22,8,5,1,232,176,40,19,9,7,4,191,211,47,14,14,1,5,6,0,9,Ulster County,precinct
Ulster County,Esopus 6,271,223,32,7,22,5,5,1,274,210,32,21,15,5,2,235,260,40,8,11,4,5,5,2,9,Ulster County,precinct
Ulster County,Esopus 7,327,266,88,7,40,22,8,5,314,261,99,41,34,7,7,255,333,109,14,18,9,7,15,0,15,Ulster County,precinct
Ulster County,Gardiner 1,423,240,57,7,40,7,26,2,429,229,59,36,19,23,5,357,279,58,24,33,12,16,9,0,7,Ulster County,precinct
Ulster County,Gardiner 2,515,203,32,16,24,4,9,1,524,196,34,27,13,9,3,452,238,41,17,24,8,11,4,2,16,Ulster County,precinct
Ulster County,Gardiner 3,555,155,38,6,59,6,19,1,555,154,38,62,13,16,1,480,198,36,29,52,9,10,5,10,7,Ulster County,precinct
Ulster County,Gardiner 4,245,167,26,8,23,4,7,2,244,164,31,25,9,4,5,196,188,28,16,19,10,2,7,2,17,Ulster County,precinct
Ulster County,Hardenburgh 1,15,8,0,1,1,0,0,0,15,9,0,0,1,0,0,16,9,0,0,0,0,0,0,0,0,Ulster County,precinct
Ulster County,Hardenburgh 2,29,36,5,1,0,0,0,1,29,35,5,0,1,0,1,25,39,3,0,3,1,0,0,0,3,Ulster County,precinct
Ulster County,Hurley 1,234,140,21,3,16,6,4,0,235,128,23,21,8,5,3,208,158,27,9,9,5,6,2,0,2,Ulster County,precinct
Ulster County,Hurley 2,247,122,22,5,18,5,9,0,251,116,26,20,12,11,1,206,157,25,14,13,7,7,0,3,10,Ulster County,precinct
Ulster County,Hurley 3,273,177,37,9,20,11,9,0,275,171,44,16,16,10,4,241,200,43,15,10,7,6,5,3,7,Ulster County,precinct
Ulster County,Hurley 4,219,195,24,6,18,7,6,1,234,175,25,19,17,3,1,166,238,27,7,12,9,1,3,3,11,Ulster County,precinct
Ulster County,Hurley 5,291,81,19,4,34,5,6,1,296,71,20,38,4,9,2,264,87,23,12,29,4,6,4,4,2,Ulster County,precinct
Ulster County,Hurley 6,152,119,21,6,11,10,3,2,161,111,23,12,10,4,4,129,143,24,6,8,8,3,7,2,2,Ulster County,precinct
Ulster County,Hurley 7,324,115,18,2,28,4,5,0,320,111,18,26,9,5,0,288,131,22,14,16,3,5,3,3,8,Ulster County,precinct
Ulster County,Hurley 8,197,148,37,0,11,8,2,2,206,136,31,15,7,4,2,163,169,37,10,7,2,0,3,4,6,Ulster County,precinct
Ulster County,Kingston Ward 1 -1,163,73,3,0,4,8,3,0,164,73,5,3,3,5,0,149,84,7,5,4,1,1,1,0,4,Ulster County,precinct
Ulster County,Kingston Ward 1 -2,286,152,22,3,24,6,12,3,300,146,18,20,10,12,5,260,180,22,6,14,6,5,10,7,6,Ulster County,precinct
Ulster County,Kingston Ward 1 -3,284,102,17,6,25,5,7,1,287,95,19,23,13,4,2,248,119,27,14,18,5,4,6,2,6,Ulster County,precinct
Ulster County,Kingston Ward 2 -1,276,70,14,7,30,1,6,0,274,64,14,30,6,8,2,240,81,19,16,25,7,7,2,3,6,Ulster County,precinct
Ulster County,Kingston Ward 2 -2,105,38,6,0,7,2,0,0,100,34,7,7,4,0,0,96,43,7,1,4,3,1,1,3,1,Ulster County,precinct
Ulster County,Kingston Ward 2 -3,273,79,14,6,26,4,5,0,282,72,20,23,2,7,0,241,99,21,10,20,2,5,2,2,7,Ulster County,precinct
Ulster County,Kingston Ward 3 -1,305,143,19,2,22,6,10,0,304,137,17,22,17,7,2,265,174,21,8,18,10,6,4,2,3,Ulster County,precinct
Ulster County,Kingston Ward 3 -2,167,36,13,2,26,1,7,0,156,36,14,28,4,10,0,137,47,14,19,22,1,6,0,2,1,Ulster County,precinct
Ulster County,Kingston Ward 3 -3,256,132,35,9,25,7,6,0,266,118,37,27,6,7,3,224,157,37,12,17,6,3,4,2,11,Ulster County,precinct
Ulster County,Kingston Ward 4 -1,280,31,8,3,48,1,3,1,277,26,9,47,6,6,1,243,43,7,25,36,2,3,2,4,6,Ulster County,precinct
Ulster County,Kingston Ward 4 -2,184,25,5,3,22,1,5,1,165,24,6,21,8,6,1,169,31,7,7,15,5,2,3,2,2,Ulster County,precinct
Ulster County,Kingston Ward 5 -1,184,40,6,5,29,1,5,2,183,37,7,29,5,5,4,161,60,8,7,27,3,4,1,1,5,Ulster County,precinct
Ulster County,Kingston Ward 5 -2,299,98,18,8,26,5,5,1,289,95,20,32,7,7,3,265,127,22,11,19,4,6,5,3,5,Ulster County,precinct
Ulster County,Kingston Ward 5 -3,106,28,6,4,15,6,3,0,111,27,7,15,5,0,0,91,48,8,2,10,2,1,1,1,3,Ulster County,precinct
Ulster County,Kingston Ward 6 -1,244,136,11,6,32,11,7,0,256,122,15,32,15,3,4,210,167,25,7,24,9,2,7,3,5,Ulster County,precinct
Ulster County,Kingston Ward 6 -2,152,32,5,1,14,0,3,0,137,31,4,13,7,4,3,133,45,6,0,10,5,2,2,1,2,Ulster County,precinct
Ulster County,Kingston Ward 6 -3,304,89,12,4,34,5,7,3,286,89,15,32,16,9,6,258,124,22,8,22,10,7,6,2,7,Ulster County,precinct
Ulster County,Kingston Ward 7 -1,177,120,20,5,19,4,3,0,203,104,14,21,6,8,1,139,153,32,12,11,2,3,2,4,7,Ulster County,precinct
