county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Warren County,B 01,207,260,28,8,13,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,B 02,235,305,27,8,10,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,Bolton ED1,0,0,0,0,0,0,0,0,231,223,26,13,15,5,0,155,306,32,5,6,6,5,4,0,9,Warren County,precinct
Warren County,Bolton ED2,0,0,0,0,0,0,0,0,265,263,23,11,13,11,1,179,329,29,21,2,9,2,4,6,13,Warren County,precinct
Warren County,C 01,267,391,33,13,12,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,C 02,189,329,50,15,9,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,Chester ED1,0,0,0,0,0,0,0,0,302,332,37,21,21,7,2,202,425,40,22,10,12,3,3,6,15,Warren County,precinct
Warren County,Chester ED2,0,0,0,0,0,0,0,0,230,275,43,17,17,6,3,164,350,50,10,2,2,2,6,3,20,Warren County,precinct
Warren County,GF W1ED1,276,224,28,15,14,11,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,GF W2ED1,363,247,12,12,22,9,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,GF W2ED2,375,227,25,23,17,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,GF W3ED1,334,200,28,13,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,GF W3ED2,552,218,31,13,24,7,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,GF W4ED1,316,160,17,14,17,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,GF W5ED1,189,152,16,13,10,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,GF W5ED2,267,213,18,13,12,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,Glens Falls Ward 1,0,0,0,0,0,0,0,0,313,185,29,14,20,6,5,236,230,36,15,6,12,2,6,9,27,Warren County,precinct
Warren County,Glens Falls Ward 2 ED1,0,0,0,0,0,0,0,0,402,198,17,23,18,9,1,283,277,22,31,8,10,6,13,9,21,Warren County,precinct
Warren County,Glens Falls Ward 2 ED2,0,0,0,0,0,0,0,0,411,190,23,27,18,8,5,290,260,27,39,7,7,3,5,3,45,Warren County,precinct
Warren County,Glens Falls Ward 3 ED1,0,0,0,0,0,0,0,0,373,158,29,9,11,4,0,262,233,30,19,5,7,4,4,5,23,Warren County,precinct
Warren County,Glens Falls Ward 3 ED2,0,0,0,0,0,0,0,0,581,184,30,27,24,9,5,416,294,39,47,11,16,7,7,8,21,Warren County,precinct
Warren County,Glens Falls Ward 4 ED1,0,0,0,0,0,0,0,0,347,113,19,14,16,14,2,283,162,24,24,6,7,7,5,5,13,Warren County,precinct
Warren County,Glens Falls Ward 5 ED1,0,0,0,0,0,0,0,0,228,113,17,12,13,4,4,144,168,21,15,9,9,2,3,2,19,Warren County,precinct
Warren County,Glens Falls Ward 5 ED2,0,0,0,0,0,0,0,0,306,156,24,15,26,6,0,227,232,31,16,5,7,4,5,4,13,Warren County,precinct
Warren County,HA,185,176,12,2,13,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,HO 01,123,169,18,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,HO 02,152,215,29,5,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,Hague,0,0,0,0,0,0,0,0,194,150,13,11,9,1,0,157,192,14,5,2,8,3,2,2,2,Warren County,precinct
Warren County,Horicon ED1,0,0,0,0,0,0,0,0,141,139,19,8,7,5,3,108,177,19,1,2,1,4,2,3,12,Warren County,precinct
Warren County,Horicon ED2,0,0,0,0,0,0,0,0,178,174,27,10,7,5,0,122,235,28,7,3,2,1,6,4,4,Warren County,precinct
Warren County,J 01,181,242,24,3,11,12,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,J 02,240,174,15,6,13,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,Johnsburg ED1,0,0,0,0,0,0,0,0,186,215,20,23,14,4,6,127,264,27,8,3,6,2,5,4,28,Warren County,precinct
Warren County,Johnsburg ED2,0,0,0,0,0,0,0,0,262,138,15,17,17,1,2,200,182,20,12,4,4,1,6,1,34,Warren County,precinct
Warren County,LG 01,283,349,55,10,9,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,LG 02,370,409,30,8,18,11,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,LL 01,235,340,45,9,14,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,LL 02,204,400,27,8,9,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,Lake George ED1,0,0,0,0,0,0,0,0,317,296,57,16,14,5,1,219,401,53,9,3,4,4,11,1,18,Warren County,precinct
Warren County,Lake George ED2,0,0,0,0,0,0,0,0,395,372,36,17,21,12,4,298,456,35,24,11,10,4,6,6,19,Warren County,precinct
Warren County,Lake Luzerne ED1,0,0,0,0,0,0,0,0,264,305,38,13,18,3,2,181,377,47,15,5,8,4,2,3,20,Warren County,precinct
Warren County,Lake Luzerne ED2,0,0,0,0,0,0,0,0,248,332,28,20,16,2,3,168,410,36,12,6,4,1,8,4,18,Warren County,precinct
Warren County,Q W1ED1,336,438,51,7,12,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,Q W1ED2,349,307,42,5,11,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,Q W1ED3,346,389,37,7,17,6,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,Q W1ED4,262,220,29,8,13,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,Q W2ED1,358,288,28,8,10,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,Q W2ED4,348,288,30,5,25,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
Warren County,Q W3ED3,281,356,37,8,14,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren County,precinct
