county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Washington County,Argyle 1,135,225,34,5,8,4,6,1,154,200,36,10,6,5,2,90,256,40,9,4,3,3,2,3,8,Washington County,Argyle 1
Washington County,Argyle 2,151,263,37,7,11,6,5,1,196,210,39,11,13,5,0,121,284,38,9,3,6,3,1,3,10,Washington County,Argyle 2
Washington County,Argyle 3,166,281,29,3,10,3,3,3,190,237,34,22,10,2,4,121,307,38,8,3,3,1,5,3,13,Washington County,Argyle 3
Washington County,Cambridge 1,236,212,33,2,22,2,5,2,250,185,33,25,10,3,2,168,242,35,24,15,0,5,1,7,13,Washington County,Cambridge 1
Washington County,Cambridge 2,208,166,37,2,11,2,6,2,219,155,36,13,5,4,2,151,184,37,18,6,3,2,2,8,17,Washington County,Cambridge 2
Washington County,Dresden 1,76,146,12,3,7,0,0,0,90,130,12,6,2,0,0,57,161,17,3,0,0,0,3,0,3,Washington County,Dresden 1
Washington County,Easton 1,185,310,62,7,10,7,5,2,235,254,61,14,14,4,2,143,329,65,16,4,4,1,2,9,13,Washington County,Easton 1
Washington County,Easton 2,159,245,62,9,12,6,2,3,178,227,62,12,10,3,3,95,283,63,17,7,5,1,4,7,17,Washington County,Easton 2
Washington County,Fort Ann 1 and 2,69,154,14,8,3,4,1,1,93,133,15,6,4,1,0,51,169,9,5,1,4,1,0,3,10,Washington County,Fort Ann 1 and 2
Washington County,Fort Ann 2,126,228,28,3,5,10,0,2,158,189,26,8,8,1,4,96,248,26,7,2,4,0,3,4,14,Washington County,Fort Ann 2
Washington County,Fort Ann 3,246,468,36,17,13,10,7,3,320,394,36,24,14,6,6,185,523,44,10,7,5,1,8,7,14,Washington County,Fort Ann 3
