county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Westchester County,City of Mount Vernon - 1,238,0,0,0,1,0,1,0,235,3,0,2,1,0,0,236,3,0,0,0,1,0,0,0,1,Westchester County,City of Mount Vernon - 1
Westchester County,City of Mount Vernon - 10,335,0,0,0,2,0,0,0,334,3,0,2,2,0,0,335,4,0,1,2,2,0,0,0,0,Westchester County,City of Mount Vernon - 10
Westchester County,City of Mount Vernon - 11,338,0,0,0,3,0,1,0,338,13,1,1,2,1,1,332,15,1,1,2,2,0,0,2,0,Westchester County,City of Mount Vernon - 11
Westchester County,City of Mount Vernon - 12,322,0,0,0,4,0,2,0,327,7,0,3,4,1,0,331,5,1,1,2,3,2,0,0,1,Westchester County,City of Mount Vernon - 12
Westchester County,City of Mount Vernon - 13,245,0,0,0,0,0,0,0,240,1,0,0,5,0,0,245,1,0,0,5,0,0,1,1,0,Westchester County,City of Mount Vernon - 13
Westchester County,City of Mount Vernon - 14,235,0,0,0,0,0,0,0,229,3,0,1,0,0,0,226,1,0,1,0,0,1,0,0,0,Westchester County,City of Mount Vernon - 14
Westchester County,City of Mount Vernon - 15,350,0,0,0,4,0,1,0,350,11,1,3,4,2,0,351,11,1,0,2,3,2,0,0,1,Westchester County,City of Mount Vernon - 15
Westchester County,City of Mount Vernon - 16,225,0,0,0,1,0,0,0,224,6,1,1,1,0,0,234,4,0,1,1,1,0,0,0,0,Westchester County,City of Mount Vernon - 16
Westchester County,City of Mount Vernon - 17,326,0,0,0,2,0,1,0,328,6,0,2,1,0,0,326,5,1,0,1,2,0,1,0,1,Westchester County,City of Mount Vernon - 17
Westchester County,City of Mount Vernon - 18,318,0,0,0,2,0,2,0,313,6,1,0,3,0,0,309,6,1,0,2,0,0,0,2,0,Westchester County,City of Mount Vernon - 18
Westchester County,City of Mount Vernon - 19,226,0,0,0,5,0,0,0,230,7,0,3,1,1,0,241,7,0,0,0,1,1,0,0,0,Westchester County,City of Mount Vernon - 19
Westchester County,City of Mount Vernon - 2,461,0,0,0,7,0,1,0,459,12,1,6,0,1,1,461,13,0,0,0,5,0,0,0,0,Westchester County,City of Mount Vernon - 2
Westchester County,City of Mount Vernon - 20,511,0,0,0,5,0,1,0,510,18,1,5,4,1,0,512,20,3,1,1,4,0,1,4,3,Westchester County,City of Mount Vernon - 20
