county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Wyoming County,Arcade 1 1,163,181,16,0,16,2,3,10,149,206,17,10,6,4,0,123,236,17,0,2,5,2,0,4,5,Wyoming County,precinct
Wyoming County,Arcade 2 1,60,159,26,0,16,1,4,10,54,173,25,7,7,3,4,29,205,27,6,1,1,1,3,2,5,Wyoming County,precinct
Wyoming County,Arcade 3 1,114,137,23,0,10,2,0,11,100,154,26,9,4,3,2,73,183,23,2,1,3,0,0,3,10,Wyoming County,precinct
Wyoming County,Arcade 4 1,121,224,22,0,7,2,4,7,113,220,28,12,8,3,1,83,260,25,2,2,5,0,2,3,8,Wyoming County,precinct
Wyoming County,Attica 1 1,96,165,33,0,11,2,1,8,81,180,37,8,5,2,1,45,208,38,2,0,0,0,4,4,21,Wyoming County,precinct
Wyoming County,Attica 2 1,72,154,11,0,7,2,2,6,66,158,12,6,4,1,1,40,185,13,2,1,1,0,0,1,11,Wyoming County,precinct
Wyoming County,Attica 3 1,117,228,28,0,20,1,8,16,107,253,32,10,4,7,2,72,272,34,7,4,1,3,3,5,25,Wyoming County,precinct
Wyoming County,Attica 4 1,114,245,59,0,8,4,5,4,98,265,66,2,7,0,3,49,313,57,2,1,4,0,4,3,12,Wyoming County,precinct
Wyoming County,Bennington 1 1,101,219,58,0,17,7,3,16,94,244,62,9,4,3,0,64,270,63,3,6,1,0,3,1,15,Wyoming County,precinct
Wyoming County,Bennington 2 1,136,221,59,0,10,5,2,12,121,232,63,15,6,3,1,79,274,72,1,1,1,0,3,6,10,Wyoming County,precinct
Wyoming County,Bennington 3 1,111,253,67,0,19,1,1,13,101,271,69,8,5,1,2,65,301,77,2,5,2,0,1,3,13,Wyoming County,precinct
