county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Yates County,Barrington 1 ,188,258,30,0,7,5,6,0,206,234,28,6,4,6,3,135,263,27,3,1,2,3,3,5,49,Yates County,precinct
Yates County,Benton 1 ,113,197,24,0,5,2,4,0,128,176,23,6,7,2,1,80,223,21,5,0,2,2,1,4,10,Yates County,precinct
Yates County,Benton 2 ,191,235,25,0,8,5,3,0,194,207,27,10,9,4,2,128,263,30,7,0,6,2,1,5,21,Yates County,precinct
Yates County,Italy 1 ,146,234,28,0,13,4,2,0,148,224,31,10,3,5,3,110,243,33,9,9,4,1,3,5,16,Yates County,precinct
Yates County,Jerusalem 1 ,244,225,32,0,9,3,6,0,246,216,35,10,5,4,0,195,245,34,4,5,2,6,1,12,10,Yates County,precinct
Yates County,Jerusalem 2 ,147,206,19,0,9,3,2,0,152,191,19,13,3,3,1,113,222,25,11,6,1,2,2,3,3,Yates County,precinct
Yates County,Jerusalem 3 ,162,185,42,0,5,9,4,0,152,181,39,9,9,3,4,102,202,40,8,2,5,1,7,9,23,Yates County,precinct
Yates County,Jerusalem 4 ,173,189,16,0,7,1,7,0,185,174,14,3,7,4,3,129,216,19,2,3,3,4,2,5,7,Yates County,precinct
Yates County,Middlesex 1 ,208,325,49,0,14,5,4,0,221,305,49,11,11,3,3,156,344,48,12,6,3,0,4,12,23,Yates County,precinct
Yates County,Milo 2 ,247,217,27,0,9,5,5,0,251,191,25,12,13,3,2,187,241,33,6,7,6,3,3,2,22,Yates County,precinct
Yates County,Milo 3 ,201,177,17,0,12,2,7,0,215,152,20,13,7,6,0,160,194,20,8,3,2,3,0,4,18,Yates County,precinct
Yates County,Milo 4 ,109,149,22,0,7,2,2,0,116,138,22,4,6,1,0,77,157,27,3,1,3,1,3,6,15,Yates County,precinct
Yates County,Milo 5 ,207,195,31,0,15,3,8,0,211,182,31,16,8,5,3,158,215,32,6,7,5,3,3,8,23,Yates County,precinct
Yates County,Milo 6 ,220,248,30,0,3,8,1,0,231,230,30,5,5,1,2,164,276,35,2,1,3,1,0,3,21,Yates County,precinct
Yates County,Potter 1 ,137,320,40,0,6,2,4,0,145,299,47,4,2,5,1,83,332,48,7,1,0,2,1,4,31,Yates County,precinct
Yates County,Starkey 1 ,172,241,15,0,15,9,7,0,186,222,16,7,14,7,6,127,253,19,4,1,2,2,9,5,39,Yates County,precinct
Yates County,Starkey 2 ,185,280,29,0,12,5,3,0,192,271,26,8,8,0,4,136,267,34,8,2,2,1,1,6,55,Yates County,precinct
Yates County,Torrey 1 ,207,220,27,0,7,2,7,0,214,203,27,8,9,3,1,159,230,35,5,8,4,4,1,6,15,Yates County,precinct
